vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
2008 2015,AISLAPOOL,Aislapool,,VENDIDO,,25000.0,15000.0,,,Sin ubicación especificada,2025-05-06 02:14:41,feabd1b7b74c2d919160c6e396153622314af14f8ea327e66940c6b51f4747eb,90,NO
2008 2015,ALERÓN COMPLETO CON LUZ,Alerón Completo CON LUZ,,DISPONIBLE,,85000.0,80000.0,,,Sin ubicación especificada,2025-06-05 02:14:41,3c4b0d5784c2609eece5224439442af7ceea372159b9df3be81569a4910d0adf,90,NO
2008 2015,ALFOMBRA CUBRE RUEDA DE REPUESTO,Alfombra Cubre Rueda DE Repuesto,,VENDIDO,SANTIAGO,35000.0,30000.0,,,,2025-05-06 02:14:41,fe95ee657140d84a92ead4dbca8b1a9fef220ab56897bc775865ec7449661ebc,100,NO
2008 2015,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-06-05 02:14:41,0ba66dd924cc21a05747e943185d7b639f145bc63c6653005c91957ee6c9cf7b,90,NO
2008 2015,APOLLA BRASOS,Apoya Brazos,,DISPONIBLE,,60000.0,50000.0,,,APOLLA mal escrito (debería ser APOYA); BRASOS mal escrito (debería ser BRAZOS); BRASO mal escrito (debería ser BRAZO); Sin ubicación especificada,2025-06-05 02:14:41,d5a52a1b9ff1974c8ce9f778f3683f9c065b32eaca8255c71e810c3b8f64f718,80,NO
2008 2015,APOYA BRAZO,Apoya Brazo,,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,BRAZO mal escrito (debería ser BRAZO),2025-06-05 02:14:41,603bb2481fcad6134f46a0eae2f520a38553492bbfb7dc1d744c10c80eb2e5be,90,NO
2008 2015,ASIENTOS JUEGO COMPLETO,Asientos Juego Completo,,DISPONIBLE,,280000.0,270000.0,,,JUEGO indica múltiples piezas; Sin ubicación especificada,2025-06-05 02:14:41,fe3e1cca30ce6d9cf6fd9d0ee3bd1a1e96e787fe0c8a46956c9196c55fb3944e,90,NO
2008 2015,AUXILIAR USB,Auxiliar USB,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-06-05 02:14:41,ec1e58ae41a560fe4b0080c10950ef2cb77e0ecbc77888bdd50e9f81767f09a6,100,NO
2008 2015,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-06-05 02:14:41,7a35b7c95e9c4bf608810e7a5285302dbf6bdb8335ab15c57420aa15d10c5be4,90,NO
2008 2015,BARRA TECHO LH,Barra Techo,Izquierda,VENDIDO,,45000.0,40000.0,,,Posición LH detectada; Sin ubicación especificada,2025-05-06 02:14:41,3d10831edf878593e5d104e94bc25ab94979bf747c69cd68c9bb2eb90319b7df,90,NO
2008 2015,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,Posición RH detectada,2025-06-05 02:14:41,e208ad44b25e2c2a3dd5d3a918d233dfc805c069ea0ca4240c907674ea1728b7,100,NO
2008 2015,BASE DE TERMOSTATO,BASE DE Termostato,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-06-05 02:14:41,67635ee6a523b4d16c88e6da7f0207dfbe7cdf44fcf84f6c6b4e27ccec544b0f,100,NO
2008 2015,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control DE AIRE,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,ESCRITO ASÍ EN INVENTARIO Y CON DETALLE,AIRE mal escrito (debería ser AIRE); CONTROL mal escrito (debería ser CONTROL),2025-06-05 02:14:41,2bca07cc430d39fc547ddc2ad0ca38c7b5341364af7967e7a351eabc8de21740,90,NO
2008 2015,BOMBA DE PETROLEO,Bomba DE Petróleo,,DISPONIBLE,SANTIAGO,120000.0,100000.0,,,PETROLEO mal escrito (debería ser PETRÓLEO); BOMBA mal escrito (debería ser BOMBA),2025-06-05 02:14:41,01992b9ca1d724b4638af797d8d329e60d538b239d54303976a46f6500ce9acd,90,NO
2008 2015,BOTÓN ECO,Botón ECO,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-06-05 02:14:41,938ce3faedc55a1295371a49698a04205223f7be4056ab53ebf14957c33f79a5,100,NO
2008 2015,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisass,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición LH detectada,2025-06-05 02:14:41,59f706cadd2e05303273e7e7a6eae8d25ff7424b24a4a7a7db3f9605f2acdfc9,90,NO
2008 2015,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisass,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición RH detectada,2025-06-05 02:14:41,441506d48afae62afa9aca225afc251246c6114c5d5a70b1ffaf7566063c8d22,90,NO
2008 2015,CALIPER DELANTERO LH,Caliper,Izquierda Delantera,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-06-05 02:14:41,80c41a8784c52a6f682e680d63b3030ca90ef2243ccc3679c139e62d372cb990,100,NO
2008 2015,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-06-05 02:14:41,a828569d371b7549338ef84f018e5ef78636050c17de3549b3a741e419a86d88,100,NO
2008 2015,CATALÍTICO,Catalítico,,DISPONIBLE,SANTIAGO,0,0,,VENDIDO,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Stock DISPONIBLE pero nota dice VENDIDO - inconsistencia,2025-06-05 02:14:41,00831b379d213bdd0762356e404ac563a3bacb9f08788abb8d1e914d1fbd2ddb,75,NO
2008 2015,CHAPA CAPOT,Chapa CAPÓ,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-06-05 02:14:41,ee0b969021d7c61b3291ac57a7eb2ef3444460a090f67d9c2b81dcb3be80313f,90,NO
2008 2015,CHAPA DE CONTACTO,Chapa DE Contacto,,,,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-06-05 02:14:41,f4b9e23b9b73ba9a913209b4bf6e4e1f482f4caac7f44e848399d4f6c8364b18,75,NO
2008 2015,CHAPA PUERTA,Chapa Puerta,,DISPONIBLE,,45000.0,40000.0,,,Sin ubicación especificada,2025-06-05 02:14:41,4badea15127285db76dc08f2553417f9e943553c206422ce0e2eebbad7041967,90,NO
2008 2015,COLUMNA DE DIRECCIÓN,Columna DE Dirección,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-05 02:14:41,5447bf2755fa1983c53d762de678ad593e5c8d9f119213595e011d7d30f30466,75,NO
2008 2015,CONTROL ESPEJOS,Control Espejos,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,CONTROL mal escrito (debería ser CONTROL),2025-06-05 02:14:41,033b074340ddcdf77773d74e588ed2636da09f0e890bd74d0dadf4f66dc4997f,90,NO
2008 2015,CREMALLERA DE ALZAVIDRIO DELANTERA RH,Cremallera DE Alzavidrio,Derecha Delantera,DISPONIBLE,SANTIAGO,60000.0,55000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición RH detectada; Posición DELANTERA detectada,2025-06-05 02:14:41,ea88342e4ccb8007a70cd857c2c0aab2e7b343ff4313b1fd21c707c10cb1d01a,90,NO
2008 2015,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera DE Alzavidrio,Izquierda Trasera,DISPONIBLE,SANTIAGO,60000.0,55000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición TRASERA detectada,2025-06-05 02:14:41,a1d43073392732f65a8496ab9e3265acc8bd1741a204a2adfde712dd68fb44e5,90,NO
2008 2015,CREMALLERA DE ALZAVIDRIO TRASERA RH,Cremallera DE Alzavidrio,Derecha Trasera,DISPONIBLE,SANTIAGO,60000.0,55000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición RH detectada; Posición TRASERA detectada,2025-06-05 02:14:41,2ba5592587bbc544a8ddab90ecdf476774710f2ae8f580479e09850ddba6c27e,90,NO
2008 2015,CUBRE EQUIPAJE,Cubre Equipaje,,NO DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-05 02:14:41,28b6ffde72d10b0f3412148216c4267c33e052f773d2b97ab950a7f66616349c,85,NO
2008 2015,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,,2025-06-05 02:14:41,840ab2f4320f81e0066d66d3857085387c43ac2d87a04984c7fba76cb26f2627,100,NO
