vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
2008 2015,AISLAPOOL,Aislapool,,VENDIDO,,25000,15000,,,Sin ubicación; probablemente mal escrito
2008 2015,ALERÓN COMPLETO CON LUZ,Alerón Completo Con Luz,,DISPONIBLE,,85000,80000,,,Sin ubicación; CON LUZ indica incluye luz
2008 2015,ALFOMBRA CUBRE RUEDA DE REPUESTO,Alfombra Cubre Rueda De Repuesto,,VENDIDO,SANTIAGO,35000,30000,,,
2008 2015,AMORTIGUADOR DELANTERO LH,Amortiguador,Delantera Izquierda,DISPONIBLE,SANTIAGO,60000,50000,,,
2008 2015,APOLLA BRASOS,Apoya Brazos,,DISPONIBLE,,60000,50000,,,APOLLA mal escrito (APOYA); BRASOS mal escrito (BRAZOS)
2008 2015,APOYA BRAZO,Apoya Brazo,,DISPONIBLE,SANTIAGO,55000,50000,,,
2008 2015,ASIENTOS JUEGO COMPLETO,Asientos,,DISPONIBLE,,280000,270000,,,JUEGO COMPLETO indica son múltiples asientos; sin ubicación
2008 2015,AUXILIAR USB,Auxiliar Usb,,DISPONIBLE,SANTIAGO,25000,20000,,,Espacio extra al final
2008 2015,BANDEJA DELANTERA LH,Bandeja,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
2008 2015,BARRA TECHO LH,Barra Techo,Izquierda,VENDIDO,,45000,40000,,,Sin ubicación
2008 2015,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
2008 2015,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,35000,30000,ESCRITO ASÍ EN INVENTARIO Y CON DET,ALLE,Nota truncada CON DET-ALLE probablemente CON DETALLE
2008 2015,BOMBA DE PETROLEO,Bomba De Petróleo,,DISPONIBLE,SANTIAGO,120000,100000,,,PETROLEO sin tilde
2008 2015,BOTÓN ECO,Botón Eco,,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,CALIPER DELANTERO LH,Caliper,Delantera Izquierda,DISPONIBLE,SANTIAGO,50000,40000,,,
2008 2015,CALIPER DELANTERO RH,Caliper,Delantera Derecha,DISPONIBLE,SANTIAGO,50000,40000,,,
2008 2015,CATALÍTICO,Catalítico,,DISPONIBLE,SANTIAGO,,,VENDIDO,,Espacio extra al final; stock DISPONIBLE pero nota dice VENDIDO - inconsistencia
2008 2015,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,25000,20000,,,
2008 2015,CHAPA DE CONTACTO,Chapa De Contacto,,,,,,,,Todos los campos vacíos excepto nombre
2008 2015,CHAPA PUERTA,Chapa Puerta,,DISPONIBLE,,45000,40000,,,Sin ubicación ni posición específica
2008 2015,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,SANTIAGO,,,,,Espacio extra al final
2008 2015,CONTROL ESPEJOS,Control Espejos,,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,CREMALLERA DE ALZAVIDRIO DELANTERA RH,Cremallera De Alzavidrio,Delantera Derecha,DISPONIBLE,SANTIAGO,60000,55000,,,
2008 2015,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera De Alzavidrio,Trasera Izquierda,DISPONIBLE,SANTIAGO,60000,55000,,,
2008 2015,CREMALLERA DE ALZAVIDRIO TRASERA RH,Cremallera De Alzavidrio,Trasera Derecha,DISPONIBLE,SANTIAGO,60000,55000,,,
2008 2015,CUBRE EQUIPAJE,Cubre Equipaje,,NO DISPONIBLE,SANTIAGO,,,,,Espacio extra al final
2008 2015,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,75000,70000,,,
2008 2015,CUERPO DE RADIO,Cuerpo De Radio,,VENDIDO,SANTIAGO,35000,30000,,,
2008 2015,DEPÓSITO DE AGUA O LÍQUIDO REFRIGERANTE,Depósito De Agua O Líquido Refrigerante,,DISPONIBLE,SANTIAGO,20000,15000,,,Espacio extra al final; nombre con alternativa
2008 2015,DEPÓSITO DE LIMPIAPARABRISAS (SOLO TUBO),Depósito De Limpiaparabrisas,,DISPONIBLE,SANTIAGO,6000,5000,,,(SOLO TUBO) indica componente incompleto
2008 2015,DISCO DE FRENO DELANTERO LH,Disco De Freno,Delantera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,DISCO DE FRENO DELANTERO RH,Disco De Freno,Delantera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,DISCO DE FRENO TRASERO LH,Disco De Freno,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,DISCO DE FRENO TRASERO RH,Disco De Freno,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,ECU,Ecu,,DISPONIBLE,SANTIAGO,140000,130000,,,
2008 2015,EJE PALIER LH,Eje Palier,Izquierda,DISPONIBLE,SANTIAGO,71400,60000,,,
2008 2015,ELECTROVENTILADOR,Electroventilador,,DISPONIBLE,SANTIAGO,90000,85000,,,Espacio extra al final
2008 2015,ENCENDEDOR DE CIGARROS,Encendedor De Cigarros,,DISPONIBLE,SANTIAGO,15000,10000,,,Espacio extra al final
2008 2015,ESPEJO CENTRAL,Espejo,Central,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,FOCO INTERIOR LUZ TECHO CENTRAL,Foco Interior Luz Techo,Central,DISPONIBLE,SANTIAGO,20000,15000,,,Espacio extra al final
2008 2015,FOCO INTERIOR LUZ TECHO DELANTERA,Foco Interior Luz Techo,Delantera,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,FUNDA DE PARACHOQUE TRASERA,Funda De Parachoque,Trasera,VENDIDO,SANTIAGO,75000,70000,,con detalle,
2008 2015,GOMAS PUERTAS,Gomas Puertas,,DISPONIBLE,,25000,20000,,,Plural indica múltiples; sin ubicación
2008 2015,LUZ INTERIOR MALETA,Luz Interior Maleta,,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,LUZ PATENTE LH,Luz Patente,Izquierda,DISPONIBLE,SANTIAGO,7000,5000,,,
2008 2015,LUZ PATENTE RH,Luz Patente,Derecha,DISPONIBLE,SANTIAGO,7000,5000,,,
2008 2015,MANGUERA,Manguera,,VENDIDO,,25000,25000,,SE VENDIÓ EN 20000,Espacio extra al final; sin ubicación; nota indica precio venta real diferente
2008 2015,MANILLA DELANTERA EXTERIOR RH,Manilla Exterior,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
2008 2015,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,MANILLA INTERIOR PUERTA TRASERA LH,Manilla Interior Puerta,Trasera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,MANILLA TRASERA EXTERIOR LH,Manilla Exterior,Trasera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
2008 2015,MÉNSULA DELANTERA RH,Ménsula,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,MÉNSULA TRASERA CENTRAL DE PARACHOQUE LH,Ménsula De Parachoque,Trasera Central Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,CENTRAL y LH juntos - posición compuesta
2008 2015,MÉNSULA TRASERA CENTRAL DE PARACHOQUE RH,Ménsula De Parachoque,Trasera Central Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,CENTRAL y RH juntos - posición compuesta
2008 2015,MÓDULO ABS,Módulo Abs,,DISPONIBLE,,150000,140000,,,Sin ubicación
2008 2015,MOTOR DE CREMALLERA,Motor De Cremallera,,DISPONIBLE,SANTIAGO,90000,80000,,,
2008 2015,MOTOR DE PARTIDA,Motor De Partida,,DISPONIBLE,SANTIAGO,60000,55000,,,
2008 2015,NEBLINERO TRASERO RH,Neblinero,Trasera Derecha,VENDIDO,SANTIAGO,15000,15000,,,
2008 2015,PALANCA DE CAMBIOS,Palanca De Cambios,,DISPONIBLE,SANTIAGO,,,REVISAR ESTADO,,Nota indica necesita revisión
2008 2015,PARACHOQUE TRASERO CON DETALLE,Parachoque,Trasera,DISPONIBLE,,90000,80000,,,CON DETALLE en nombre indica tiene daños; sin ubicación
2008 2015,PARASOL LH,Parasol,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
2008 2015,PARASOL RH,Parasol,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
2008 2015,PORTA FILTRO,Porta Filtro,,DISPONIBLE,SANTIAGO,50000,40000,,,
2008 2015,PORTALÓN,Portalón,,VENDIDO,SANTIAGO,130000,110000,,,
2008 2015,PUERTA TRASERA RH,Puerta,Trasera Derecha,DISPONIBLE,SANTIAGO,80000,70000,,,
2008 2015,REFUERZO DE PARACHOQUE TRASERO,Refuerzo De Parachoque,Trasera,DISPONIBLE,SANTIAGO,50000,40000,,,Espacio extra al final
2008 2015,RODAMIENTO TENSOR DE CORREA DE ACCESORIOS,Rodamiento Tensor De Correa De Accesorios,,DISPONIBLE,SANTIAGO,15000,10000,,,Espacio extra al final
2008 2015,RUEDA DE REPUESTO,Rueda De Repuesto,,VENDIDO,SANTIAGO,45000,40000,,,
2008 2015,SENSOR ABS,Sensor Abs,,DISPONIBLE,SANTIAGO,20000,15000,,,Sin posición específica
2008 2015,SENSORES DE ESTACIONAMIENTO TRASERO,Sensores De Estacionamiento,Trasera,DISPONIBLE,,85000,75000,,,Plural indica múltiples sensores; sin ubicación
2008 2015,SINÓPTICO,Sinóptico,,DISPONIBLE,,90000,80000,,,Sin ubicación
2008 2015,TAPA DE BENCINA EXTERIOR,Tapa De Bencina Exterior,,DISPONIBLE,SANTIAGO,20000,15000,,,
2008 2015,TAPA DE BENCINA INTERIOR,Tapa De Bencina Interior,,DISPONIBLE,SANTIAGO,15000,10000,,,
2008 2015,TAPIZ PORTALON,Tapiz Portalón,,DISPONIBLE,,20000,20000,,,PORTALON sin tilde; sin ubicación
2008 2015,TELECOMANDO,Telecomando,,DISPONIBLE,SANTIAGO,,,,,Espacio extra al final
2008 2015,TURBO,Turbo,,VENDIDO,SANTIAGO,85000,80000,,,
2008 2015,VIDRIO PUERTA TRASERA LH,Vidrio Puerta,Trasera Izquierda,VENDIDO,SANTIAGO,45000,40000,,,
2008 2015,VIDRIO PUERTA TRASERA RH,Vidrio Puerta,Trasera Derecha,VENDIDO,SANTIAGO,45000,40000,,,
2008 2015,VIDRIO TRASERA LUNETA LH,Vidrio Luneta,Trasera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
2008 2015,VIDRIO TRASERA LUNETA RH,Vidrio Luneta,Trasera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
2008 2015,VOLANTE (MANUBRIO),Volante,,DISPONIBLE,SANTIAGO,50000,45000,,,(MANUBRIO) es sinónimo entre paréntesis
