vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
A3 2017,ALERÓN MALETA,Alerón Maleta,,VENDIDO,SANTIAGO,45000.0,40000.0,,,,2025-05-22 02:14:41,dd3b518ceebc92d07900356c2ca6fd995e2c1bc7b15a639f0a1a1bda59254ea5,100,NO
A3 2017,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,110000.0,100000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-06-21 02:14:41,01efd519451b42c26d08dbcd6835259e4beae4d8f7a00e00a1b337a14e610d37,90,NO
A3 2017,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,NO DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,76dc521f907ecbc1ebd7cdfcfb3673a6fce7176f127966b611ea3a5715662e92,75,NO
A3 2017,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,c4c98072df65f483613b21c2d066389933f30ca83a6a6e61e86e74c67d5e7ecf,65,SI
A3 2017,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,8e130a43b7466ba7ad1405bfb8f70e64b60e0a2be31621350f969f8f69e497c8,65,SI
A3 2017,BASE DE PLIMAVIT RUEDA DE REPUESTO,BASE DE Plimavit Rueda DE Repuesto,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,f5aecafec12fa5cbfa24ba4c71db9862ce82dcfbe9b55b795c8ec8e252eb1974,75,NO
A3 2017,BASE DE TELA REDONDA RUEDA DE REPUESTO,BASE DE TELA Redonda Rueda DE Repuesto,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,1108fc2d4945c3bfdc033bf598fa0038fb5662ed68e3779859a24c85f7853cb7,75,NO
A3 2017,BISAGRA DE MALETA LH,Bisagra DE Maleta,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,982ab1291898da971c113c3b2596731c9d0c33b1b340ba36ab5ee79eaa1173e0,75,NO
A3 2017,BISAGRA DE MALETA RH,Bisagra DE Maleta,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,1dcfccf7822ac4261172639a3a61c59a87e5f6690d422da30d052f6ab47725b6,75,NO
A3 2017,BOCINA,Bocina,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,5f23a0cee5cf35f7a73244f40b1597a715d72f8d7c41a2f8383da1541624136b,75,NO
A3 2017,BOMBA DE ALTA PRESIÓN DE COMBUSTIBLE,Bomba DE ALTA Presión DE Combustible,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); COMBUSTIBLE mal escrito (debería ser COMBUSTIBLE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,8db83a4820f2eb3bcb5c63f82db9c7444ec22abe2238e28f593fe0a62080b623,65,SI
A3 2017,BOMBA ELECTRÓNICA DE AGUA,Bomba Electrónica DE AGUA,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,9d4075c963554256e1c1a78a8ca8351be8ee348e44813b92e3b60ec314ae5273,65,SI
A3 2017,BOTÓN DE MALETA CON LUZ DE PATENTE,Botón DE Maleta CON LUZ DE Patente,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,b9e9f2a1fced1198b1ec6361f4df01a3b7c436d8ca2ef3b26cef0767e78e12ab,75,NO
A3 2017,BRAZO LIMPIAPARABRISAS LH (SIN PLUMILLA),Brazo Limpiaparabrisass (SIN Plumilla),Izquierda,DISPONIBLE,SANTIAGO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,e73822bec73df23576e8dea01c1dba269e60a62e09cd4b0be2873d97bb25cbec,65,SI
A3 2017,CAJA CARCASA ROTA,CAJA Carcasa ROTA,,VENDIDO,SANTIAGO,280000.0,280000.0,,,Estado 'ROTA' detectado - revisar si es válido,2025-05-22 02:14:41,c9645e4808ac53880f01c03b5fc5529e59efd95a9cfd99c49df1c15af0ec05d5,100,NO
A3 2017,CALIPER DELANTERO LH,Caliper,Izquierda Delantera,NO DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,ebf53a01dc10bea82e77add3db57c136ad365162db1b39853bd28ed48fab2d2c,85,NO
A3 2017,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,a115d2b05a599ecd638f751cbe633ac70353b09d042339e25e043ad78162d4b9,75,NO
A3 2017,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,ef8a12e2f0b189401334888d4f1495c8b31b048c76f28c6fa5234ec9279b4b59,75,NO
A3 2017,CHAPA PUERTA LH,Chapa Puerta,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,850efad1a0f60d54120cb82f11cff138e76ea726a914fb052235d414a548dda1,75,NO
A3 2017,COMPRESOR DE AIRE ACONDICIONADO,Compresor DE AIRE Acondicionado,,VENDIDO,SANTIAGO,160000.0,160000.0,,,COMPRESOR mal escrito (debería ser COMPRESOR); AIRE mal escrito (debería ser AIRE),2025-05-22 02:14:41,f7aba37ba2515914bdada1446f1d61a7defc21404c8baea8456ccf2f4f3091bc,90,NO
A3 2017,CONTROL DE LUCES,Control DE Luces,,DISPONIBLE,SANTIAGO,0,0,,,CONTROL mal escrito (debería ser CONTROL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,9fe208e03f02e6b4115efa8469565d6198fba170ef99f06e15d5141c22ffde97,65,SI
A3 2017,CUBRE CARTER METÁLICO,Cubre Cárter Metálico,,DISPONIBLE,SANTIAGO,0,0,,,CARTER mal escrito (debería ser CÁRTER); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,f7865d7a29eae8662f084b42265ea0281c12c53a9f388bc90435f45f2db53c7b,65,SI
A3 2017,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,NO DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-21 02:14:41,cf244f5775137ee22144604c451bb256adae63469f1bc2bf5935f0f38a43ca48,85,NO
A3 2017,DIFUSOR TRASERO,Difusor,Trasera,VENDIDO,SANTIAGO,85000.0,85000.0,,,Posición TRASERO detectada,2025-05-22 02:14:41,9518266bbb62ff15977970366ce767eab565ecca43cc5a9deff184f58eebcd55,100,NO
