vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
A3 2017,ALERÓN MALETA,Alerón Maleta,,VENDIDO,SANTIAGO,45000,40000,,,
A3 2017,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,110000,100000,,,
A3 2017,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BASE DE PLIMAVIT RUEDA DE REPUESTO,Base De Plimavit Rueda De Repuesto,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BASE DE TELA REDONDA RUEDA DE REPUESTO,Base De Tela Redonda Rueda De Repuesto,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BISAGRA DE MALETA LH,Bisagra De Maleta,Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BISAGRA DE MALETA RH,Bisagra De Maleta,Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BOCINA,Bocina,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BOMBA DE ALTA PRESIÓN DE COMBUSTIBLE,Bomba De Alta Presión De Combustible,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BOMBA ELECTRÓNICA DE AGUA,Bomba Electrónica De Agua,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BOTÓN DE MALETA CON LUZ DE PATENTE,Botón De Maleta Con Luz De Patente,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,BRAZO LIMPIAPARABRISAS LH (SIN PLUMILLA),Brazo Limpiaparabrisas (Sin Plumilla),Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,CAJA CARCASA ROTA,Caja Carcasa Rota,,VENDIDO,SANTIAGO,280000,280000,,,
A3 2017,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,CHAPA PUERTA LH,Chapa Puerta,Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,COMPRESOR DE AIRE ACONDICIONADO,Compresor De Aire Acondicionado,,VENDIDO,SANTIAGO,160000,160000,,,
A3 2017,CONTROL DE LUCES,Control De Luces,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,CUBRE CARTER METÁLICO,Cubre Carter Metálico,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,DIFUSOR TRASERO,Difusor Trasero,Trasera,VENDIDO,SANTIAGO,85000,85000,,,
A3 2017,DISCO DE FRENO DELANTERO RH,Disco De Freno Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,EJE PALIER DELANTERO LH,Eje Palier Delantero,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,EJE PALIER RH SOLO LA PUNTA QUE VA AL MUÑÓN ESTÁ BUENA,Eje Palier Solo La Punta Que Va Al Muñón Está Buena,Derecha,DISPONIBLE,SANTIAGO,,,,,
A3 2017,ESPEJO RH ,Espejo ,Derecha,VENDIDO,SANTIAGO,160000,150000,,,
A3 2017,FOCO MALETA LH,Foco Maleta,Izquierda,DISPONIBLE,SANTIAGO,110000,100000,,,
A3 2017,FOCO MALETA RH,Foco Maleta,Derecha,DISPONIBLE,SANTIAGO,110000,100000,,,
A3 2017,FOCO TRASERO EXTERIOR LH,Foco Trasero Exterior,Trasera Izquierda,VENDIDO,SANTIAGO,130000,120000,,,
A3 2017,FOCO TRASERO EXTERIOR RH,Foco Trasero Exterior,Trasera Derecha,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,FUNDA DE PARACHOQUE DELANTERA,Funda De Parachoque Delantera,Delantera,NO DISPONIBLE,SANTIAGO,,,,,
A3 2017,LECTOR DE CD,Lector De Cd,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,LETRAS A3,Letras A3,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,LLANTA (SOLO UNA),Llanta (Solo Una),,VENDIDO,SANTIAGO,100000,90000,,,
A3 2017,LLANTA CON DETALLE POR REPARAR,Llanta Con Detalle Por Reparar,,VENDIDO,SANTIAGO,50000,50000,,,Tiene daños o estado especial
A3 2017,LOGO MALETA (CIRCULOS),Logo Maleta (Circulos),,POR CONFIRMAR,SANTIAGO,,,,,
A3 2017,MALETA (SOLO LATA),Maleta (Solo Lata),,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MANGUERAS DE AGUA,Mangueras De Agua,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MANILLA EXTERIOR LH,Manilla Exterior,Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MÓDULO ELECTRÓNICO DE PUERTA LH,Módulo Electrónico De Puerta,Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MOTOR DE ALZAVIDRIO LH,Motor De Alzavidrio,Izquierda,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MOTOR DE PARTIDA,Motor De Partida,,DISPONIBLE,SANTIAGO,,,,,
A3 2017,MOTOR FACTURABLE,Motor Facturable,,VENDIDO,SANTIAGO,790000,750000,,,
A3 2017,MUÑÓN Y MAZA DELANTERO LH,Muñón Y Maza Delantero,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,,,,,
