vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
ARRIZO 3 2020,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,100000.0,90000.0,,PRECIO ACTUALIZADO,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-05-30 02:14:41,66bd7e8c46819d3b826097f90864914f916f2a68e487b3383106acbb46bf2126,90,NO
ARRIZO 3 2020,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-06-29 02:14:41,0419d970e3f73a112485f4996c62d5aa702157e3aa834d9b91dd4ac5ab22fdb7,90,NO
ARRIZO 3 2020,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,NO DISPONIBLE,,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-06-29 02:14:41,195a7063d93187dc76ad1c312f64bbd93d11adf3e0c8568352aeb881e09424b1,65,SI
ARRIZO 3 2020,BOBINA,Bobina,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-06-29 02:14:41,0c5b36ca348cff20959d88fcdbc98edda9b5eda41a15cfcdf193868c9dfb68e5,90,NO
ARRIZO 3 2020,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,50000.0,45000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-06-29 02:14:41,885c999d3d62c6956c41de2c22f35951648eeeb1accfab27da10197cbe57d70a,90,NO
ARRIZO 3 2020,BOTÓN PUERTA DELANTERA RH,Botón Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-06-29 02:14:41,082d56f2b9052a24f2494d92cecb548938edd02afc0e31ea4853391ed4a4b9a3,100,NO
ARRIZO 3 2020,BOTÓN PUERTA TRASERA LH,Botón Puerta,Izquierda Trasera,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición LH detectada; Posición TRASERA detectada,2025-06-29 02:14:41,f3b1ba31fb7e4681d6c6ad4b08805e35988a2dbaf39ec63defda538ac101039e,100,NO
ARRIZO 3 2020,BOTÓN PUERTA TRASERA RH,Botón Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-06-29 02:14:41,c2b10d4ff6b7fd72750c6b9a0bfe15a3cdf47112bbfb879f92ff71f73d8f96de,100,NO
ARRIZO 3 2020,BOTONERA PUERTA DELANTERA LH,Botonera Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,40000.0,30000.0,,,Posición LH detectada; Posición DELANTERA detectada,2025-06-29 02:14:41,6341ee424f4f5bee16a2e0d7d6edf738bf625e929d51fc0239f5ba7c767f34fd,100,NO
ARRIZO 3 2020,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisass,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición LH detectada,2025-06-29 02:14:41,4c7ec53f175b0c5b8ad15240d4e6dc828a20d946dfe26e70505f1868cd593a35,90,NO
ARRIZO 3 2020,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisass,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición RH detectada,2025-06-29 02:14:41,6f475cd26d721e43417059a74aed47de02cd9f35eb5fcb99fdb344d078129bc2,90,NO
ARRIZO 3 2020,CAJA CAMBIOS,CAJA Cambios,,VENDIDO,,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-05-30 02:14:41,691a17bd2055fd8c7d285bccbc1c7c018010b956a06a8f487f395fd49786d488,75,NO
ARRIZO 3 2020,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías DE AIRE Acondicionado,,DISPONIBLE,SANTIAGO,60000.0,55000.0,,,AIRE mal escrito (debería ser AIRE),2025-06-29 02:14:41,4023d7894943d24c6bf95e784149efa4722b700cb282f64eb25277ab56eaf418,90,NO
ARRIZO 3 2020,CARTER,Cárter,,DISPONIBLE,,60000.0,55000.0,,,CARTER mal escrito (debería ser CÁRTER); Sin ubicación especificada,2025-06-29 02:14:41,f7667cc41293be6efcf66b6cf66fa0da0ebb89b7ebc2ea389edf9734650e5896,80,NO
ARRIZO 3 2020,CHAPA CAPOT,Chapa CAPÓ,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-06-29 02:14:41,16a16b66fe98e6925873cbbfa99981b5346c1886afb23b4602b6e0abdae61cb9,90,NO
ARRIZO 3 2020,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-06-29 02:14:41,082305ba684131f638ca199606fff9fc5b3154ce9036f55718422a566c40ea0f,100,NO
ARRIZO 3 2020,CIGÜEÑAL,Cigüeñal,,DISPONIBLE,,90000.0,80000.0,,,Sin ubicación especificada,2025-06-29 02:14:41,5166d82ff2a4a7ef40c272b1f2cf2f22d62c739d72db016e445833252b1b0f6c,90,NO
ARRIZO 3 2020,COLUMNA DE DIRECCIÓN,Columna DE Dirección,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,,2025-06-29 02:14:41,82a440fbc21396c9ada58244502400831d1d29e873818f481a0cb4e0fedf97c3,100,NO
ARRIZO 3 2020,CONTROL DE CALEFACCIÓN,Control DE Calefacción,,DISPONIBLE,,35700.0,30000.0,,,CONTROL mal escrito (debería ser CONTROL); Sin ubicación especificada,2025-06-29 02:14:41,6aae61d95bfac388bd664fec5abb3a27cea63f1abd044ca22c97a25fd627044c,80,NO
ARRIZO 3 2020,CREMALLERA DE ALZAVIDRIO DELANTERA LH,Cremallera DE Alzavidrio,Izquierda Delantera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición DELANTERA detectada,2025-06-29 02:14:41,04d6638d6d5e8054661e4008465d75722921d28f21249dd984e8555541478adb,90,NO
ARRIZO 3 2020,CREMALLERA DE ALZAVIDRIO DELANTERA RH,Cremallera DE Alzavidrio,Derecha Delantera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición RH detectada; Posición DELANTERA detectada,2025-06-29 02:14:41,cd7afeb342ebf081fb6f0379a9a1204de03463c37670c7942651bbc71f3dd7a5,90,NO
ARRIZO 3 2020,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera DE Alzavidrio,Izquierda Trasera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición TRASERA detectada,2025-06-29 02:14:41,881bff5af49f227dd5f4d2929163db527b682aba782e731a83650ef27449e1af,90,NO
ARRIZO 3 2020,CREMALLERA DE ALZAVIDRIO TRASERA RH,Cremallera DE Alzavidrio,Derecha Trasera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición RH detectada; Posición TRASERA detectada,2025-06-29 02:14:41,fbcbd92883b6512e79f779560fd8be0bbfd024425b53f47f8fcf8d4cdee63fd6,90,NO
ARRIZO 3 2020,CROMADO MÁSCARA,Cromado Máscara,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-06-29 02:14:41,ed6251f869bec4c5373e60ef0febb20d0402dcc48e30964f3760436be467c7bf,100,NO
ARRIZO 3 2020,CUBRE CHAPA TRASERO,Cubre Chapa,Trasera,DISPONIBLE,,20000.0,20000.0,,,Posición TRASERO detectada; Sin ubicación especificada,2025-06-29 02:14:41,195e577575a5cd00cc9b35e9aa3ec1509f41ca2357fa5a0da45944a17a5cd35a,90,NO
ARRIZO 3 2020,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,VENDIDO,SANTIAGO,95000.0,50000.0,,,,2025-05-30 02:14:41,5ca9d6eb44c8534e8c2890a1e868faaacd446594177021e37044a7ec373d03f9,100,NO
ARRIZO 3 2020,CULATA,Culata,,DISPONIBLE,,320000.0,310000.0,,,Sin ubicación especificada,2025-06-29 02:14:41,eaa87bf38f144b7758d4abc457828ae4b64d2749defe5c3a86fc78b167a03756,90,NO
ARRIZO 3 2020,CUNA,CUNA,,DISPONIBLE,SANTIAGO,6000.0,5000.0,,,,2025-06-29 02:14:41,be855dfa821a1ed3941ca64f252a8e6ecaac593bf90f4f8730de15dcc7bd1b27,100,NO
ARRIZO 3 2020,DEPÓSITO DE LIMPIAPARABRISAS (SOLO TUBO),Depósito DE Limpiaparabrisass (Solo Tubo),,DISPONIBLE,SANTIAGO,142800.0,120000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); TUBO mal escrito (debería ser TUBO),2025-06-29 02:14:41,23073c9268730043980e5f8af1fb30164bdfe6a38b7886734f9238e4729c0766,90,NO
ARRIZO 3 2020,ECU,ECU,,DISPONIBLE,SANTIAGO,155000.0,145000.0,,,ECU mal escrito (debería ser ECU),2025-06-29 02:14:41,f6c61e9e0c1170c3d92b75f51993d9d7eed7fd72135672d8ba72b2a3cab377f5,90,NO
ARRIZO 3 2020,EJE PALIER DERECHO CON DETALLE,EJE Palier CON Detalle,Derecha,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición DERECHO detectada; Estado 'CON DETALLE' detectado - revisar si es válido; Estado 'DETALLE' detectado - revisar si es válido,2025-06-29 02:14:41,2ca19c98180da19e0f89f97796bba3c6a80dde803135be60c67e5b3218c19fb9,80,NO
ARRIZO 3 2020,EJE PALIER IZQUIERDO,EJE Palier,Izquierda,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,Posición IZQUIERDO detectada,2025-06-29 02:14:41,24976f96e5908d359de76cec056a51c3c30945341178b0268a7f7e98af8f929c,100,NO
ARRIZO 3 2020,ELECTROVENTILADOR,Electroventilador,,DISPONIBLE,SANTIAGO,60000.0,60000.0,,,,2025-06-29 02:14:41,2f9dcfb876c12f032e7edd0d156b4a451f3fd215be8544d191b697da61fe170c,100,NO
ARRIZO 3 2020,ESPEJO CENTRAL,Espejo,Central,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición CENTRAL detectada,2025-06-29 02:14:41,7bf52482831302af89a1aacfb7ab77cdc1584b84cf96bc115d5260f1e5502431,100,NO
ARRIZO 3 2020,ESPEJOS LATERALES,Espejos Laterales,,NO DISPONIBLE,N/A,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-29 02:14:41,125c0f35b3fc19bace840d86cdda69ea209acbb2f598788a63d9ea3554ecb155,85,NO
ARRIZO 3 2020,ESTANQUE BENCINA,Estanque Bencina,,VENDIDO,,30000.0,30000.0,,,Sin ubicación especificada,2025-05-30 02:14:41,88532f1626f18b74285608b46e8cf4423ce350ae0c1f65f30487c26b9fd99f4e,90,NO
ARRIZO 3 2020,FOCO INTERIOR LUZ TECHO,FOCO Interior LUZ Techo,,DISPONIBLE,SANTIAGO,12000.0,10000.0,,,,2025-06-29 02:14:41,9329db524670f65cd2cc21f001166472417584b3a664f55114585c9851453965,100,NO
ARRIZO 3 2020,FRONTAL SUPERIOR,,Superior Frontal,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,Posición SUPERIOR detectada; Posición FRONTAL detectada,2025-06-29 02:14:41,fdea41a90b84d4673f81d701b3e982f5d7d8cf2d5c3bf918fb85ccc0e06bdd57,70,NO
