vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
ARRIZO 3 2020,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,100000,90000,,PRECIO ACTUALIZADO ,
ARRIZO 3 2020,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,65000,60000,,,
ARRIZO 3 2020,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,NO DISPONIBLE,,,,,,Sin ubicación
ARRIZO 3 2020,BOBINA ,Bobina ,,DISPONIBLE,SANTIAGO,25000,20000,,,
ARRIZO 3 2020,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,50000,45000,,,
ARRIZO 3 2020,BOTÓN PUERTA DELANTERA RH,Botón Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
ARRIZO 3 2020,BOTÓN PUERTA TRASERA LH,Botón Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
ARRIZO 3 2020,BOTÓN PUERTA TRASERA RH,Botón Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
ARRIZO 3 2020,BOTONERA PUERTA DELANTERA LH,Botonera Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,40000,30000,,,
ARRIZO 3 2020,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
ARRIZO 3 2020,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
ARRIZO 3 2020,CAJA CAMBIOS,Caja Cambios,,VENDIDO,,,,,,Sin ubicación
ARRIZO 3 2020,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,60000,55000,,,
ARRIZO 3 2020,CARTER,Carter,,DISPONIBLE,,60000,55000,,,Sin ubicación
ARRIZO 3 2020,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,25000,20000,,,
ARRIZO 3 2020,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,20000,15000,,,
ARRIZO 3 2020,CIGÜEÑAL ,Cigüeñal ,,DISPONIBLE,,90000,80000,,,Sin ubicación
ARRIZO 3 2020,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,SANTIAGO,35000,30000,,,
