vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
BORA 2012,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,tapa trasera rota,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-07-03 02:14:41,461e2d80fc3e7c049287fb0ad4269ba44182ef97eea57ff4e5a7ee14438e0f97,90,NO
BORA 2012,AMORTIGUADOR DE CAPOT,Amortiguador DE CAPÓ,,DISPONIBLE,,15000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Sin ubicación especificada,2025-07-03 02:14:41,6930f616927d061708e83d2f0fb21b78242919cf50d5bdd5dc1f3ff9a4a807b3,80,NO
BORA 2012,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-06-03 02:14:41,cc5910eeeab481f7b89f7d3a42b9691b5df85d62da37c87a5ca86d12c2589c07,90,NO
BORA 2012,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-06-03 02:14:41,6ea67719fce3609c31b061bcd358f073d23baf1b30cd720c512ad06670098677,90,NO
BORA 2012,AMORTIGUADOR MALETA,Amortiguador Maleta,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR),2025-07-03 02:14:41,fb11aa914377b9ae4788cf9ff9832070a3888e651688ef25d568fbd235f81345,90,NO
BORA 2012,"AMORTIGUADOR MALETA LH (PAR 35,000)","Amortiguador Maleta (PAR 35,000)",Izquierda,DISPONIBLE,,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; PAR indica múltiples piezas; Sin ubicación especificada,2025-07-03 02:14:41,565b171386ea8be5affe45b9dbd738dc593789684ce8cdf3429a447c76091e1c,80,NO
BORA 2012,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Sin ubicación especificada,2025-07-03 02:14:41,2534e2a17ae76f345fa947d4c5e277de6e909567277711ea024bacae7325d508,80,NO
BORA 2012,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-07-03 02:14:41,308d2eccd2f72161672206ea57e96b46961e6a45195ff7fca4e00407ea15ef3a,90,NO
BORA 2012,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-07-03 02:14:41,8e0bf989f9032ca17745a9367a90ee9f402c8c546c9da8537d31eeba8d9a7c01,90,NO
BORA 2012,APOYA BRAZO,Apoya Brazo,,VENDIDO,SANTIAGO,20000.0,20000.0,,,BRAZO mal escrito (debería ser BRAZO),2025-06-03 02:14:41,4a3370ba0e211cd72737ae22d64b6df40f35e63e3a3a203ac2a1479bbc048fff,90,NO
BORA 2012,ASEINTO TRASERO,Aseinto,Trasera,DISPONIBLE,,70000.0,65000.0,,,Posición TRASERO detectada; Sin ubicación especificada,2025-07-03 02:14:41,543170fadac054ddafb61da225759089e1ab4400647878a0d67009c0fb0c7298,90,NO
BORA 2012,ASIENTO CHOFER,Asiento Chofer,,VENDIDO,SANTIAGO,80000.0,75000.0,,,,2025-06-03 02:14:41,1a715cb045a2738fea098c17863d4ff1f23b82cadf2264116062f8c9e4492514,100,NO
BORA 2012,ASIENTO COPILOTO,Asiento Copiloto,,VENDIDO,SANTIAGO,70000.0,65000.0,,,,2025-06-03 02:14:41,bf3406bd4e03b5dc6a57ef70ffc5c27dc46ec10debde46dca72346b2fefeacbc,100,NO
BORA 2012,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,NO DISPONIBLE,SANTIAGO,0,0,,MALA,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-03 02:14:41,4ac947b53b54a7d281f7c5abad9f556d3a2d28b8e52d1d63837f9fc500201c53,75,NO
BORA 2012,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,NO DISPONIBLE,SANTIAGO,0,0,,MALA,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-03 02:14:41,1057a30eae402e750a221cf34357932396e77c06c568a23cf968b404c62fb77b,75,NO
BORA 2012,BANDEJA TRASERA LH,Bandeja,Izquierda Trasera,DISPONIBLE,,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-07-03 02:14:41,e724886f41718bf4e1acaa8d3c5b1dfa9ed38e01314a449fa7a2fb576cae3cb9,55,SI
BORA 2012,BANDEJA TRASERA RH,Bandeja,Derecha Trasera,DISPONIBLE,,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-07-03 02:14:41,60da35bb1aa9c175a89810989785303652b33c6e9f2d04683d02fbfa6a8f88ec,55,SI
BORA 2012,BARRA ESTABILIZADORA DELANTERA,Barra Estabilizadora,Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición DELANTERA detectada,2025-07-03 02:14:41,97dbb00d138bea07b69f3415f49afbfe1d9271d9c3d220ca202b408edacb44f8,100,NO
BORA 2012,BCM,BCM,,VENDIDO,SANTIAGO,160000.0,155000.0,,,,2025-06-03 02:14:41,0c1f5f8151dc9a0909c0e4f1c8ce8b3a5e38baf8d7313e03c77aab9bcba49ef4,100,NO
BORA 2012,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición LH detectada,2025-07-03 02:14:41,8605bf07785429e74b04bcd7af800411ea8c10dc3390002e2d30fab513594bb3,100,NO
BORA 2012,BISAGRA MALETA RH,Bisagra Maleta,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición RH detectada,2025-07-03 02:14:41,7bf37400c034bea9fab331b92420866f31cb9740253e48e6dcf68be175aedc39,100,NO
BORA 2012,BOBINA,Bobina,,NO DISPONIBLE,,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-07-03 02:14:41,f38bb1a822c5fb4baf59e048b55bd52d7eb17623b0183d5533b337dc302193ba,65,SI
BORA 2012,BOCINA,Bocina,,VENDIDO,SANTIAGO,15000.0,10000.0,,,,2025-06-03 02:14:41,29eb719fa9c740d20e6ccd96c1063170d1e234eb64f1efd47b57b4e891839616,100,NO
BORA 2012,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-07-03 02:14:41,d9345ddc14d32d37bd76bd7b573bbb03607076dd6b78a24ef0298d9c2568d351,90,NO
BORA 2012,BOMBA DE FRENO CON DEPÓSITO,Bomba DE Freno CON Depósito,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,FRENO mal escrito (debería ser FRENO); BOMBA mal escrito (debería ser BOMBA),2025-07-03 02:14:41,1b3314cf7a7876175e41fb9f6478323463c7948dfdea784f206281b7e5495fdc,90,NO
BORA 2012,BOMBA DE PEDAL DE EMBRAGUE,Bomba DE Pedal DE Embrague,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-07-03 02:14:41,429868067c96c4925fa84ad8c08894661176e6859d48add974b13765093f91b3,90,NO
BORA 2012,BOTÓN HAZARD O INTERMITENTE,Botón Hazard O Intermitente,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-07-03 02:14:41,c68fa7555cc1863468b849a32f6332ae2b5c00dd9516a2d929f7a18996e2eebf,100,NO
BORA 2012,BOTONERA PUERTA DELANTERA LH,Botonera Puerta,Izquierda Delantera,VENDIDO,SANTIAGO,45000.0,40000.0,,,Posición LH detectada; Posición DELANTERA detectada,2025-06-03 02:14:41,ace4e06379c601eef31a1bb62343b158957dba132a83cf1c02fa6cf89053da7c,100,NO
BORA 2012,BOTONERA PUERTA DELANTERA RH,Botonera Puerta,Derecha Delantera,DISPONIBLE,,20000.0,15000.0,,,Posición RH detectada; Posición DELANTERA detectada; Sin ubicación especificada,2025-07-03 02:14:41,c78e60b88dd2eb82f7fe6f446452d31eaae76a2f81422ab3638f994ff39b3b71,90,NO
BORA 2012,BOTONERA PUERTA TRASERA LH,Botonera Puerta,Izquierda Trasera,DISPONIBLE,,20000.0,15000.0,,,Posición LH detectada; Posición TRASERA detectada; Sin ubicación especificada,2025-07-03 02:14:41,f7af83e5a3388bfa20aeda9401b15e78cde72db0a5b42d1898d1ee8f9171902f,90,NO
BORA 2012,BOTONERA PUERTA TRASERA RH,Botonera Puerta,Derecha Trasera,DISPONIBLE,,20000.0,15000.0,,,Posición RH detectada; Posición TRASERA detectada; Sin ubicación especificada,2025-07-03 02:14:41,df6ca35a78dee4dd741665d33cdc0df7c4e1c9a50033f07abf3ae35f50c85936,90,NO
BORA 2012,BRAZO LIMPIAPARABRISAS CON PLUMILLA LH,Brazo Limpiaparabrisass CON Plumilla,Izquierda,VENDIDO,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición LH detectada,2025-06-03 02:14:41,bd4e200b82d05de92e6f24ea0ffdc2ed9db1a5446a9dde71e0291d45b12b8d08,90,NO
BORA 2012,BRAZO LIMPIAPARABRISAS CON PLUMILLA RH,Brazo Limpiaparabrisass CON Plumilla,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición RH detectada,2025-07-03 02:14:41,1864f0194aeab0ec481336c0e63e841ab3e06401cffb9b8488244901c7fb1b09,90,NO
BORA 2012,CAJA DE CAMBIOS,CAJA DE Cambios,,VENDIDO,SANTIAGO,400000.0,350000.0,,,,2025-06-03 02:14:41,7529d67bc7a4b9f566a8c3d1b75e1666044653f5e666f0be9066a5bbe617a720,100,NO
