vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
BORA 2012,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,35000,30000,,tapa trasera rota,
BORA 2012,AMORTIGUADOR DE CAPOT,Amortiguador De Capot,,DISPONIBLE,,15000,15000,,,Sin ubicación
BORA 2012,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,50000,,,
BORA 2012,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,VENDIDO,SANTIAGO,60000,50000,,,
BORA 2012,AMORTIGUADOR MALETA,Amortiguador Maleta,,DISPONIBLE,SANTIAGO,20000,15000,,,
BORA 2012,"AMORTIGUADOR MALETA  LH (PAR 35,000)","Amortiguador Maleta  (Par 35,000)",Izquierda,DISPONIBLE,,25000,20000,,,Múltiples piezas; Sin ubicación
BORA 2012,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,,25000,20000,,,Sin ubicación
BORA 2012,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
BORA 2012,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
BORA 2012,APOYA BRAZO,Apoya Brazo,,VENDIDO,SANTIAGO,20000,20000,,,
BORA 2012,ASEINTO TRASERO,Aseinto Trasero,Trasera,DISPONIBLE,,70000,65000,,,Sin ubicación
BORA 2012,ASIENTO CHOFER,Asiento Chofer,,VENDIDO,SANTIAGO,80000,75000,,,
BORA 2012,ASIENTO COPILOTO,Asiento Copiloto,,VENDIDO,SANTIAGO,70000,65000,,,
BORA 2012,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,,,,MALA,
BORA 2012,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,SANTIAGO,,,,MALA,
BORA 2012,BANDEJA TRASERA LH,Bandeja Trasera,Trasera Izquierda,DISPONIBLE,,,,,,Sin ubicación
BORA 2012,BANDEJA TRASERA RH,Bandeja Trasera,Trasera Derecha,DISPONIBLE,,,,,,Sin ubicación
BORA 2012,BARRA ESTABILIZADORA DELANTERA,Barra Estabilizadora Delantera,Delantera,DISPONIBLE,SANTIAGO,25000,20000,,,
BORA 2012,BCM,Bcm,,VENDIDO,SANTIAGO,160000,155000,,,
BORA 2012,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
