vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
C30 2008,AIRBAG DE CORTINA RH,Airbag DE Cortina,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-11 02:14:41,f1613bab663fdb16a7195a66c5d9fa9a2df487f597cc8d329f365f6b8f4605cd,75,NO
C30 2008,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-07-11 02:14:41,43a38d9a5feffb270dc41419f74702c082cca961d8ab992866d07723b6bac9dd,90,NO
C30 2008,AMORTIGUADOR CAPOT,Amortiguador CAPÓ,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-07-11 02:14:41,e63b0844ffcaec967c26d8e6ed26b31d1c9cfe95cd4b1123705c3404aff86836,90,NO
C30 2008,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-07-11 02:14:41,0844ed9ac2c9ac82d446e32c2abc9bc9e64059b21e1ef85bd9100f1b290d10b2,90,NO
C30 2008,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-07-11 02:14:41,75c363fa6c1134029f9f97d0081f8dfbfd70102c18a509d5a896872fefa96979,90,NO
C30 2008,AMORTIGUADOR PORTALÓN LH,Amortiguador Portalón,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada,2025-07-11 02:14:41,d557a7fc88de34a9fcd59e5376475e7368b07b61c92dac9bd95af2356373fd69,90,NO
C30 2008,AMORTIGUADOR PORTALÓN RH,Amortiguador Portalón,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada,2025-07-11 02:14:41,d404e3570cc7f5b4f9f9c79ed560e55b7aa08cc79f43564d87ee24b6d5a07c0f,90,NO
C30 2008,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-07-11 02:14:41,b47e9918837ea176ae36784bb5640f7d2d6686a7a0e0d627968f68f41a8c604b,90,NO
C30 2008,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-07-11 02:14:41,8e62bea7f08ff134cc7d33b896d2859f93fc2514851f6b8fb3b9ca43b50d6ccc,90,NO
C30 2008,AMPLIFICADOR TRASERO RH,Amplificador,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-11 02:14:41,80c0e263bf0bab8a1d774c33c8e59ce76d4cd259c288e3cc0cc826b922a9e6e2,75,NO
