vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
C30 2008,AIRBAG DE CORTINA RH,Airbag De Cortina,Derecha,DISPONIBLE,SANTIAGO,,,,,
C30 2008,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000,70000,,,
C30 2008,AMORTIGUADOR CAPOT,Amortiguador Capot,,DISPONIBLE,SANTIAGO,20000,15000,,,
C30 2008,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,60000,50000,,,
C30 2008,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,60000,50000,,,
C30 2008,AMORTIGUADOR PORTALÓN LH,Amortiguador Portalón,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
C30 2008,AMORTIGUADOR PORTALÓN RH,Amortiguador Portalón,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
C30 2008,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
C30 2008,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
C30 2008,AMPLIFICADOR TRASERO RH,Amplificador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
C30 2008,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,ROTO LADO  AIRBAG,
C30 2008,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
C30 2008,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,30000,25000,,,
C30 2008,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,SANTIAGO,30000,25000,,,
C30 2008,BANDEJA TRASERA LH (CURVA),Bandeja Trasera (Curva),Trasera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
C30 2008,BANDEJA TRASERA RH (CURVA),Bandeja Trasera (Curva),Trasera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
C30 2008,BARRA DE BANDEJA TRASERA LH,Barra De Bandeja Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
C30 2008,BARRA DE BANDEJA TRASERA RH,Barra De Bandeja Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
C30 2008,BARRA ESTABILIZADORA,Barra Estabilizadora,,DISPONIBLE,SANTIAGO,,,,,
C30 2008,BASE ALTERNADOR,Base Alternador,,DISPONIBLE,SANTIAGO,25000,20000,,,
C30 2008,BASE BATERÍA,Base Batería,,DISPONIBLE,SANTIAGO,35700,30000,,,
C30 2008,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,35700,30000,,,
C30 2008,BISEL NEBLINERO DELANTERO LH ,Bisel Neblinero Delantero ,Delantera Izquierda,DISPONIBLE,SANTIAGO,35700,30000,,,
C30 2008,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO (REVISAR),Requiere revisión
C30 2008,BOBINA 1,Bobina 1,,VENDIDO,SANTIAGO,25000,20000,,,
C30 2008,BOBINA 2,Bobina 2,,VENDIDO,SANTIAGO,25000,20000,,,
C30 2008,BOBINA 3,Bobina 3,,VENDIDO,SANTIAGO,25000,20000,,,
C30 2008,BOBINA 4,Bobina 4,,VENDIDO,SANTIAGO,25000,20000,,,
C30 2008,BOBINA 5,Bobina 5,,VENDIDO,SANTIAGO,25000,20000,,,
C30 2008,BOMBA DE ALTA,Bomba De Alta,,DISPONIBLE,SANTIAGO,160000,150000,,,
C30 2008,BOMBA DE BENCINA ,Bomba De Bencina ,,NO DISPONIBLE,,,,,,Sin ubicación
C30 2008,BOMBA DE FRENO,Bomba De Freno,,DISPONIBLE,SANTIAGO,,,,,
C30 2008,BOMBA HIDRÁULICA ELECTRONICA,Bomba Hidráulica Electronica,,VENDIDO,SANTIAGO,150000,140000,,,
C30 2008,BOTA AGUA PUERTA DELANTERA RH,Bota Agua Puerta Delantera,Delantera Derecha,VENDIDO,SANTIAGO,10000,10000,,,
C30 2008,BOTÓN DE SENSOR DE ESTACIONAMIENTO,Botón De Sensor De Estacionamiento,,DISPONIBLE,SANTIAGO,,,,,
C30 2008,BOTÓN PUERTA RH,Botón Puerta,Derecha,DISPONIBLE,,15000,10000,,,Sin ubicación
C30 2008,BOTONERA PUERTA LH,Botonera Puerta,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
C30 2008,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,CON  PLUMILLA,
C30 2008,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,CON  PLUMILLA,
C30 2008,BRAZO LIMPIAPARABRISAS TRASERO,Brazo Limpiaparabrisas Trasero,Trasera,VENDIDO,SANTIAGO,20000,15000,,,
C30 2008,CAJA AUTOMATICA,Caja Automatica,,VENDIDO,SANTIAGO,750000,720000,,,
C30 2008,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,65000,60000,,,
C30 2008,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,65000,60000,,,
C30 2008,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
C30 2008,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
C30 2008,CANISTER,Canister,,DISPONIBLE,SANTIAGO,,,,,
C30 2008,CAÑERÍA HIDRÁULICA,Cañería Hidráulica,,DISPONIBLE,SANTIAGO,35700,30000,,,
C30 2008,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,60000,50000,,,
C30 2008,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,,,,,
C30 2008,CAPOT,Capot,,VENDIDO,SANTIAGO,110000,100000,,,
C30 2008,CARCASA TERMOSTATO,Carcasa Termostato,,DISPONIBLE,,50000,45000,,,Sin ubicación
C30 2008,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,,,,,
