vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
COMBO 2009,ALTERNADOR,Alternador,,DISPONIBLE,REVISADO,0,0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,48b93da23cd81a66e69f62b6d30f2c9e97177e162d64e3e22b8f05ebac10e132,65,SI
COMBO 2009,AMORTIGUADOR DELANTERO DERECHO,Amortiguador,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,d33197e8bd9ddc87ec7c29f349f2df8dc6db7571e21bc0e817651bbd89ef3663,65,SI
COMBO 2009,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,d999a4d180b0b64dac303cadaf8dcf0c9a6a6e5e92c66c7b7f98dd8d2bced710,65,SI
COMBO 2009,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,NO DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,8501cf5c7a87c3e168890b54551954c8386c590c5f97d38d214afa35365de240,75,NO
COMBO 2009,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,NO DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,01664d3327f7928e6ee31d77240b231a352d04e137e0216dd5eed52d2fd19db8,75,NO
COMBO 2009,ASIENTO DELANTERO DERECHO,Asiento,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,2a2560b00372ed74f83a6a63cd416b761ca6601259ed53c5a60bba30529a9c71,75,NO
COMBO 2009,ASIENTO DELANTERO IZQUIERDO,Asiento,Izquierda Delantera,NO DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,275fcfcdade3f3e12d3b0f72f808d4baa1c87a0965d93d24bec52c50c4241aef,85,NO
COMBO 2009,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,VENDIDO,REVISADO,15000.0,15000.0,,NO ORIGINAL,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-06-14 02:14:41,25653573c0b1dfb2e56aaed45cf5439cdd0a9104b2efb3369a1a5dc5547a2d04,90,NO
COMBO 2009,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,DISPONIBLE,REVISADO,15000.0,15000.0,,NO ORIGINAL,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada,2025-07-14 02:14:41,8910dfa75ce846c45c6ffe76143252f65b2d33a918af3220102fb86925831fdd,90,NO
COMBO 2009,BOMBA DE FRENO CON SERVO,Bomba DE Freno CON Servo,,DISPONIBLE,REVISADO,0,0,,,FRENO mal escrito (debería ser FRENO); BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,782a13a10efa2380a7be111e46ce17cdefdf03a67d70880f44535736412b85b6,65,SI
COMBO 2009,BOMBA DE INYECCIÓN,Bomba DE Inyección,,VENDIDO,REVISADO,95000.0,95000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-06-14 02:14:41,b4d940697ed15dae6ceaf1efc67596f4312331d861cd04d26d4cade81b7a4a69,90,NO
COMBO 2009,BOMBA ELEVADORA DE PRESIÓN,Bomba Elevadora DE Presión,,DISPONIBLE,REVISADO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,3486482c24ad8fbaa6d7cef7003856f7c7066835d077b9d439c8b180c7946303,65,SI
COMBO 2009,BOTÓN O MANILLA ALZAVIDRIO PUERTA DELANTERA LH,Botón O Manilla Alzavidrio Puerta,Izquierda Delantera,VENDIDO,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-14 02:14:41,c82725f0c42ec464e3468cd155e8170df6f2293e1b8407059087292471547b35,85,NO
COMBO 2009,CALIPER DELANTERO DERECHO,Caliper,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,c5363ff9ff3f12fb17d9dd7c9bae3e7e29774582aace3889572c8462eadd57e4,75,NO
COMBO 2009,CALIPER DELANTERO IZQUIERDO,Caliper,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,80896d299f9ceb6de733ed718a25c371bf28e7ac5f48c229285115d86567f832,75,NO
COMBO 2009,CHAPA PUERTA DELANTERA LH,Chapa Puerta,Izquierda Delantera,VENDIDO,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-14 02:14:41,787bf31eaf24be5f0a59dd347bb84a963c269b349fc71afa49a42387eab2f7d1,85,NO
COMBO 2009,CHAPA PUERTA TRASERA RH,Chapa Puerta,Derecha Trasera,VENDIDO,REVISADO,20000.0,20000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-06-14 02:14:41,7fc9d0e832f1484f7e030bf076710566999d4d44081f751665ff031bbfda0c03,100,NO
COMBO 2009,CIGÜEÑAL,Cigüeñal,,VENDIDO,REVISADO,55000.0,50000.0,,,,2025-06-14 02:14:41,40e2ff8633a356e1b223483112d222436d4b873d3d25c0f226bfa63fe4efaf61,100,NO
COMBO 2009,CINTA DE AIRBAG,Cinta DE Airbag,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,b65944176dd173e92091a7d0e423b89b840c86ef8cf87e23e2d50192dacefc8b,75,NO
COMBO 2009,CINTURÓN DELANTERO LH,Cinturón,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,165308f9c9824f216bf03eb4580e29ee82ceae42916006eb790358132735ef3f,75,NO
COMBO 2009,CINTURÓN DELANTERO RH,Cinturón,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,d63d2c61a7c02e83df1ea729d9c96b0b78d18382f0eb1dd692c5f45d33ebc292,75,NO
COMBO 2009,COFIA,Cofia,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,7be0486714cc37240ef7472941f2a1261eb955b79d284fbb0bfac6b08e358ac9,75,NO
COMBO 2009,COLUMNA DE DIRECCIÓN ELECTRÓNICA,Columna DE Dirección Electrónica,,VENDIDO,REVISADO,80000.0,80000.0,,,,2025-06-14 02:14:41,74ebb0585575d5d103507319321914e75232c506f6d9488b9ede55bc510783c5,100,NO
COMBO 2009,CONSOLA CENTRAL,Consola,Central,DISPONIBLE,REVISADO,0,0,,,Posición CENTRAL detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-14 02:14:41,6e77cdf1bd6736493715de95ecb62f9aa1720190dd08ee90d3ccdd3cc6f39ebe,75,NO
