vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
COMBO 2009,ALTERNADOR,Alternador,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,AMORTIGUADOR DELANTERO DERECHO,Amortiguador Delantero Derecho,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador Delantero Izquierdo,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,NO DISPONIBLE,REVISADO,,,,,
COMBO 2009,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,NO DISPONIBLE,REVISADO,,,,,
COMBO 2009,ASIENTO DELANTERO DERECHO,Asiento Delantero Derecho,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,ASIENTO DELANTERO IZQUIERDO,Asiento Delantero Izquierdo,Delantera,NO DISPONIBLE,REVISADO,,,,,
COMBO 2009,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,VENDIDO,REVISADO,15000,15000,,NO ORIGINAL,
COMBO 2009,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,REVISADO,15000,15000,,NO ORIGINAL,
COMBO 2009,BOMBA DE FRENO CON SERVO,Bomba De Freno Con Servo,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,BOMBA DE INYECCIÓN,Bomba De Inyección,,VENDIDO,REVISADO,95000,95000,,,
COMBO 2009,BOMBA ELEVADORA DE PRESIÓN,Bomba Elevadora De Presión,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,BOTÓN O MANILLA ALZAVIDRIO PUERTA DELANTERA LH,Botón O Manilla Alzavidrio Puerta Delantera,Delantera Izquierda,VENDIDO,REVISADO,,,,,
COMBO 2009,CALIPER DELANTERO DERECHO,Caliper Delantero Derecho,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CALIPER DELANTERO IZQUIERDO,Caliper Delantero Izquierdo,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,VENDIDO,REVISADO,,,,,
COMBO 2009,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,VENDIDO,REVISADO,20000,20000,,,
COMBO 2009,CIGÜEÑAL,Cigüeñal,,VENDIDO,REVISADO,55000,50000,,,
COMBO 2009,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CINTURÓN DELANTERO LH,Cinturón Delantero,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CINTURÓN DELANTERO RH,Cinturón Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
COMBO 2009,COFIA,Cofia,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,COLUMNA DE DIRECCIÓN ELECTRÓNICA,Columna De Dirección Electrónica,,VENDIDO,REVISADO,80000,80000,,,
COMBO 2009,CONSOLA CENTRAL,Consola Central,Central,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CONTROL CLIMATIZADOR,Control Climatizador,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CONTROL DE LUCES,Control De Luces,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CREMALLERA DE ALZAVIDRIOS DELANTERA LH,Cremallera De Alzavidrios Delantera,Delantera Izquierda,VENDIDO,REVISADO,,,,,
COMBO 2009,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,VENDIDO,REVISADO,45000,45000,,,
COMBO 2009,DEPÓSITO DE AGUA,Depósito De Agua,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,DEPÓSITO DE AGUA LIMPIAPARABRISAS,Depósito De Agua Limpiaparabrisas,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,DEPRESOR,Depresor,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,DISCO DE FRENO DELANTERO DERECHO,Disco De Freno Delantero Derecho,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,DISCO DE FRENO DELANTERO IZQUIERDO,Disco De Freno Delantero Izquierdo,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,ECU ,Ecu ,,DISPONIBLE,REVISADO,,,,ROTA EN LA PARTE DEL CONECTOR,
COMBO 2009,EJE PALIER DELANTERO IZQUIERDO,Eje Palier Delantero Izquierdo,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,EJE TRASERO COMPLETO,Eje Trasero Completo,Trasera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,ELE PALIER DELANTERO DERECHO,Ele Palier Delantero Derecho,Delantera,DISPONIBLE,REVISADO,,,,,
COMBO 2009,EMBELLECEDOR SINÓPTICO,Embellecedor Sinóptico,,DISPONIBLE,REVISADO,,,,,
COMBO 2009,ESPEJO CENTRAL,Espejo Central,Central,DISPONIBLE,REVISADO,,,,,
COMBO 2009,ESPEJO RH CON DETALLE,Espejo Con Detalle,Derecha,DISPONIBLE,REVISADO,,,,,Daños o estado especial
