vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
CX70 2020,ALERÓN CON TERCERA LUZ DE FRENO,Alerón CON Tercera LUZ DE Freno,,DISPONIBLE,SANTIAGO,54000.0,45000.0,,,FRENO mal escrito (debería ser FRENO),2025-07-18 02:14:41,f18ccfbe2a3ddb8ab4f790186c8ab8cd4870e33970558d88cf41fbe35e6d768f,90,NO
CX70 2020,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-07-18 02:14:41,2e7d43aa45d38fb6e6000f3408550ba1e6657906cd1319734b23beb7dd025249,90,NO
CX70 2020,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición IZQUIERDO detectada; Posición DELANTERO detectada,2025-07-18 02:14:41,117563f5d40231ff68dbd02fac0d944bda6c1c6caa859b6281f9f9881c369662,90,NO
CX70 2020,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-07-18 02:14:41,b03b1de7feb9bb86e68a05bf1d9d614452cc5f26ad6db9305aa99d90b81b45be,90,NO
CX70 2020,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-07-18 02:14:41,d580c8d9f05b04d9e2fe2cf1eebcf611c6a3010396d8d409db036e890f3b7362,90,NO
CX70 2020,ANTENA COMPLETA,Antena Completa,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-07-18 02:14:41,a0bc827458ab1dac7e6472dc5a2d68f45cf37434cb917c5ab02060788bce22c6,100,NO
CX70 2020,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,55000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-06-18 02:14:41,1494699551ee2c3b6819c493600ceb87087700b93741375a29bd48254705da6a,100,NO
CX70 2020,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-18 02:14:41,37619bcbd1c8d4b19159051312acc3e50de0c761914e2dfa64ee4f3c0de41562,85,NO
CX70 2020,ASIENTOS TERCERA FILA,Asientos Tercera FILA,,VENDIDO,SANTIAGO,70000.0,70000.0,,,,2025-06-18 02:14:41,e7e36f3f458b36f82708451dce840c6b25cc03aac04a50753fe34505dbefa610,100,NO
CX70 2020,ASIENTOS TRASEROS (SEGUNDA FILA),Asientos (Segunda Fila),Trasera,VENDIDO,SANTIAGO,0,0,,,Posición TRASEROS detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-18 02:14:41,de48c986b7efe8eb359621ad50d2e992324d5626d0c761376764f3d49d713f71,85,NO
CX70 2020,AUXILIAR USB,Auxiliar USB,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-07-18 02:14:41,7fc4a284a968d5e034c6d19ec42329d3e1aeb584a80d4eb8fc35be8f7ff5f7ae,100,NO
CX70 2020,BANDEJA TRASERA HORQUILLA LH,Bandeja Horquilla,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,58f3fae05db9959f4b5c822a0980d6c0d6407e4ff683b6133c17eed3707d673a,65,SI
CX70 2020,BANDEJA TRASERA HORQUILLA RH,Bandeja Horquilla,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,f0c014acc8e1cc108151433fba9c895f0ebf3be651f7b20c0cca193ab9b9c39c,65,SI
CX70 2020,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,Posición LH detectada,2025-07-18 02:14:41,184f5654733452fca8a411bf477e37793b7c67e9d00fc801ced97ca714bd14d7,100,NO
CX70 2020,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,Posición RH detectada,2025-07-18 02:14:41,4b8b8c518c5f72ad1300217e622ba36b3c6992097842c6813df83a0e615b1e8b,100,NO
CX70 2020,BASE BATERÍA,BASE Batería,,DISPONIBLE,SANTIAGO,25000.0,22000.0,,,,2025-07-18 02:14:41,c9172d06389e4c432a2607d97a17e957a5b4f278376edc32767a73acc0ba113c,100,NO
CX70 2020,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-07-18 02:14:41,dd95839a537c9542c766ca07220c821cd41c668a2764ac5d87880fe808bf372e,90,NO
CX70 2020,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-07-18 02:14:41,5d602ddc5ae49e969dfb054c2139ceb54c9663aa2bd230ad428c7a5f8ad560ed,90,NO
CX70 2020,BRAZO LIMPIAPARBRISAS LH,Brazo Limpiaparbrisas,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,BRAZO mal escrito (debería ser BRAZO); Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,c8d00b1265101df9552cae35a59cde02616d5370fc79460e5ca54cd42946c36b,65,SI
CX70 2020,BRAZO LIMPIAPARBRISAS RH,Brazo Limpiaparbrisas,Derecha,DISPONIBLE,SANTIAGO,0,0,,,BRAZO mal escrito (debería ser BRAZO); Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,8bd6ac49e16ad8234a30848f7224f9f097c7ac5bc35fcbe4e52b758d27a643f2,65,SI
CX70 2020,BRAZO LIMPIAPARBRISAS TRASERO (PORTALÓN),Brazo Limpiaparbrisas (Portalón),Trasera,DISPONIBLE,SANTIAGO,0,0,,,BRAZO mal escrito (debería ser BRAZO); Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,2f2f32db2a3485fdf0749677552151153a1bccc5d2aa7885625f3eeb4cffadd2,65,SI
CX70 2020,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-07-18 02:14:41,8ee295f535bf8807c25db28589caf4ee263cd55d6008ba55f299ef7ce49bc51e,100,NO
CX70 2020,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías DE AIRE Acondicionado,,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,AIRE mal escrito (debería ser AIRE),2025-07-18 02:14:41,047b00feab363c3bd911f337108f322b76977ab68114405cf56c3ff17569e6f7,90,NO
CX70 2020,CATALÍTICO,Catalítico,,VENDIDO,REQUINOA,0,0,,AL MONTÓN,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-18 02:14:41,29e795b58d3b5000009b928a915b43eaa01f0a2ba85264d7b9cdfb644646f41f,85,NO
CX70 2020,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-07-18 02:14:41,82e64c683a601d708a78a15e6e5116f190fb7401424675f6851a74060adef671,100,NO
CX70 2020,CINTA DE AIRBAG,Cinta DE Airbag,,DISPONIBLE,SANTIAGO,45000.0,40000.0,,REVISAR (NO SE PORQUÉ),,2025-07-18 02:14:41,53acb9cabba6ed0076f86f8775a3e36a1259a7218ee1037921503aaa4fad5481,100,NO
CX70 2020,COLUMNA DE DIRECCIÓN ELECTRONICA,Columna DE Dirección Electrónicoa,,DISPONIBLE,SANTIAGO,200000.0,170000.0,,,ELECTRONIC mal escrito (debería ser ELECTRÓNICO),2025-07-18 02:14:41,2acae511f15d868493f66d0a729fa48022b897720b50638c7ad742563c1b43a8,90,NO
CX70 2020,COMPRESOR AIRE ACONDICIONADO,Compresor AIRE Acondicionado,,VENDIDO,SANTIAGO,100000.0,90000.0,,,COMPRESOR mal escrito (debería ser COMPRESOR); AIRE mal escrito (debería ser AIRE),2025-06-18 02:14:41,c9ed6c77ef45c34b22797eb288245073e5dce2f5c3d7bca2e3e921b2cff168f4,90,NO
CX70 2020,CORTE TECHO,Corte Techo,,VENDIDO,SANTIAGO,85000.0,70000.0,,,,2025-06-18 02:14:41,766ce1a94d48b4b8a6248e3798d86cc7f4a82e5f844041bbd4654d51affb8f9c,100,NO
CX70 2020,CORTE TRASERO IZQUIERDO (1/4 POLLO),Corte (1/4 Pollo),Izquierda Trasera,DISPONIBLE,REQUINOA,100000.0,90000.0,,CON RESERVA,Posición IZQUIERDO detectada; Posición TRASERO detectada,2025-07-18 02:14:41,26132dfe8c0b81365e54900663bf4295e8ddceb99d55cde69c9867c38511f67b,100,NO
CX70 2020,CUBRE ZÓCALO LH,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,Posición LH detectada,2025-07-18 02:14:41,19ad80ef54eeb37a64b158c0874dd4d943d1f5bbf2b0c17500b8111b47ce453f,100,NO
CX70 2020,CUBRE ZÓCALO RH,Cubre Zócalo,Derecha,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,Posición RH detectada,2025-07-18 02:14:41,26de2c34243007aa6f2a9fa143010eeeab44baf9750b900181f4aa8c3765eaad,100,NO
CX70 2020,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,DISPONIBLE,SANTIAGO,65000.0,60000.0,,,,2025-07-18 02:14:41,7aaf87ac28db15d2a3e630d016687298a025a058b167a6a16f01a9c8860f6e59,100,NO
CX70 2020,CUNA,CUNA,,VENDIDO,SANTIAGO,95000.0,90000.0,,,,2025-06-18 02:14:41,45f3fe856cda567eb7dcc81fffa6cd084345286618edda9e0daadf41b3660ddd,100,NO
CX70 2020,DEPÓSITO DE AGUA,Depósito DE AGUA,,VENDIDO,SANTIAGO,30000.0,25000.0,,,,2025-06-18 02:14:41,0ce59a5cf050251e0febfec9b8732e93cb644be7fd5356cf2b09ff34dae470ba,100,NO
CX70 2020,DEPÓSITO LIMPIAPARABRISAS,Depósito Limpiaparabrisass,,VENDIDO,SANTIAGO,25000.0,25000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS),2025-06-18 02:14:41,a94fc7907b2dcb018ca8822cf0e8afb0f69190b575d98ff2d8c6e4c64fec7d58,90,NO
CX70 2020,ENCENDEDOR DE CIGARROS,Encendedor DE Cigarros,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-07-18 02:14:41,482bbd7182a16d13f44600a41c1963a1adc097f0169445d21512ca56251b14cf,100,NO
CX70 2020,FOCO INTERIOR LUZ TECHO,FOCO Interior LUZ Techo,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-07-18 02:14:41,797f951e77d236a7652c14b9e7a67880840884ae2c41e59d071f8699af091660,100,NO
CX70 2020,FRONTAL INFERIOR,,Inferior Frontal,DISPONIBLE,SANTIAGO,47600.0,40000.0,,,Posición INFERIOR detectada; Posición FRONTAL detectada,2025-07-18 02:14:41,e25c2ab1f274b32971081a3d5c0fe5ff44aa4c886ceacdc71d2eb637640b6e2e,70,NO
CX70 2020,FRONTAL SUPERIOR,,Superior Frontal,DISPONIBLE,SANTIAGO,47600.0,40000.0,,,Posición SUPERIOR detectada; Posición FRONTAL detectada,2025-07-18 02:14:41,537c26a41460fe4efc62a6bd2f6ce40dc10597bf232b3f75c184d68dfb8f2d01,70,NO
CX70 2020,LUZ INTERIOR MALETA,LUZ Interior Maleta,,DISPONIBLE,SANTIAGO,6000.0,5000.0,,,,2025-07-18 02:14:41,edcddd0733a0a4440d6159a1484c45c2007ba5a590767b0c29fb517e0b2148b0,100,NO
CX70 2020,LUZ PATENTE LH,LUZ Patente,Izquierda,DISPONIBLE,SANTIAGO,10000.0,8000.0,,,Posición LH detectada,2025-07-18 02:14:41,42d9446197ca76462bfbeff7367a9cfb3d7fbfabd88b122ee4d6b86ee684dba1,100,NO
CX70 2020,LUZ PATENTE RH,LUZ Patente,Derecha,DISPONIBLE,SANTIAGO,10000.0,8000.0,,,Posición RH detectada,2025-07-18 02:14:41,68ebbe6a718b4a7c513deda7ba20e0fd3685c8d1d09f9a9f0decff5d9bdecd53,100,NO
CX70 2020,MANILLA EXTERIOR DELANTERA RH,Manilla Exterior,Derecha Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-07-18 02:14:41,2b8ee9a5adb85aa66a4959e3d813f97984ff894a6ef4c46472eb0d0ecb8201d4,100,NO
CX70 2020,MÉNSULA DELANTERA RH,Ménsula,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,af1e1e4eb4a5b49414d8df923511c03a6ff019c7f5295845ff28213f47e3c93c,75,NO
CX70 2020,MÉNSULA TRASERA LH,Ménsula,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,8ced43335448f0bf11a75885ef05298d7952cb03e414e8a11cf0b3392faa2d6b,75,NO
CX70 2020,MOLDURA PUERTA DELANTERA RH,Moldura Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,fb33bb73d90cff20931da552692a092e0fc8066be3a7ae36c36fc4b0d92dc3ac,75,NO
CX70 2020,MOTOR DE PARTIDA,Motor DE Partida,,DISPONIBLE,SANTIAGO,135000.0,130000.0,,,,2025-07-18 02:14:41,47caf134e726c5441361f82f7121ded704898b71d0c7246b8f3f3e06586fcd1b,100,NO
CX70 2020,MOTOR NO FACTURABLE,Motor NO Facturable,,VENDIDO,,750000.0,700000.0,,,Sin ubicación especificada,2025-06-18 02:14:41,6e47ff6423780713794052753675aa09c003aa2a698caad7cdd08598dfc19bcc,90,NO
CX70 2020,MÚLTIPLE DE ESCAPE,Múltiple DE Escape,,DISPONIBLE,SANTIAGO,0,0,,,ESCAPE mal escrito (debería ser ESCAPE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,d9a4c5a164b4c64361fb20afea9f6cabdf2bcf88cf9c0713d397a8333ab39340,65,SI
CX70 2020,MUÑÓN Y MAZA DELANTERA LH,Muñón Y MAZA,Izquierda Delantera,DISPONIBLE,,65000.0,60000.0,,,Posición LH detectada; Posición DELANTERA detectada; Sin ubicación especificada,2025-07-18 02:14:41,691fe1008150f50300a9e705457b644274951d071737bc0e6b56ec0120d48fb3,90,NO
CX70 2020,MUÑÓN Y MAZA DELANTERA RH,Muñón Y MAZA,Derecha Delantera,VENDIDO,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-18 02:14:41,76336378d88b7fbf13caba6cd073dd41aa1543c54834e79518b9439523a0bf92,85,NO
CX70 2020,PALANCA DE CAMBIOS,Palanca DE Cambios,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-18 02:14:41,d292b63a910c9936da85bf2412d66805921b4fcf53409a4534da313e516009cf,75,NO
