vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
CX70 2020,ALERÓN CON TERCERA LUZ DE FRENO,Alerón Con Tercera Luz De Freno,,DISPONIBLE,SANTIAGO,54000,45000,,,
CX70 2020,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,65000,60000,,,
CX70 2020,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador Delantero Izquierdo,Delantera,DISPONIBLE,SANTIAGO,65000,60000,,,
CX70 2020,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
CX70 2020,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
CX70 2020,ANTENA COMPLETA ,Antena Completa ,,DISPONIBLE,SANTIAGO,20000,15000,,,
CX70 2020,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,55000,,,
CX70 2020,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
CX70 2020,ASIENTOS TERCERA FILA,Asientos Tercera Fila,,VENDIDO,SANTIAGO,70000,70000,,,
CX70 2020,ASIENTOS TRASEROS (SEGUNDA FILA),Asientos Traseros (Segunda Fila),Trasera,VENDIDO,SANTIAGO,,,,,
CX70 2020,AUXILIAR USB,Auxiliar Usb,,DISPONIBLE,SANTIAGO,15000,10000,,,
CX70 2020,BANDEJA TRASERA HORQUILLA LH,Bandeja Trasera Horquilla,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,BANDEJA TRASERA HORQUILLA RH,Bandeja Trasera Horquilla,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
CX70 2020,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
CX70 2020,BASE BATERÍA,Base Batería,,DISPONIBLE,SANTIAGO,25000,22000,,,
CX70 2020,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,30000,25000,,,
CX70 2020,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,30000,25000,,,
CX70 2020,BRAZO LIMPIAPARBRISAS LH,Brazo Limpiaparbrisas,Izquierda,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,BRAZO LIMPIAPARBRISAS RH,Brazo Limpiaparbrisas,Derecha,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,BRAZO LIMPIAPARBRISAS TRASERO (PORTALÓN),Brazo Limpiaparbrisas Trasero (Portalón),Trasera,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,65000,60000,,,
CX70 2020,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,70000,60000,,,
CX70 2020,CATALÍTICO,Catalítico,,VENDIDO,REQUINOA,,,,AL MONTÓN,
CX70 2020,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,25000,20000,,,
CX70 2020,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,45000,40000,,REVISAR (NO SE PORQUÉ),Requiere revisión
CX70 2020,COLUMNA DE DIRECCIÓN ELECTRONICA,Columna De Dirección Electronica,,DISPONIBLE,SANTIAGO,200000,170000,,,
CX70 2020,COMPRESOR AIRE ACONDICIONADO,Compresor Aire Acondicionado,,VENDIDO,SANTIAGO,100000,90000,,,
CX70 2020,CORTE TECHO,Corte Techo,,VENDIDO,SANTIAGO,85000,70000,,,
CX70 2020,CORTE TRASERO IZQUIERDO (1/4 POLLO),Corte Trasero Izquierdo (1/4 Pollo),Trasera,DISPONIBLE,REQUINOA,100000,90000,,CON RESERVA,
CX70 2020,CUBRE ZÓCALO LH,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,35700,30000,,,
CX70 2020,CUBRE ZÓCALO RH,Cubre Zócalo,Derecha,DISPONIBLE,SANTIAGO,35700,30000,,,
CX70 2020,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,65000,60000,,,
CX70 2020,CUNA,Cuna,,VENDIDO,SANTIAGO,95000,90000,,,
CX70 2020,DEPÓSITO DE AGUA,Depósito De Agua,,VENDIDO,SANTIAGO,30000,25000,,,
CX70 2020,DEPÓSITO LIMPIAPARABRISAS,Depósito Limpiaparabrisas,,VENDIDO,SANTIAGO,25000,25000,,,
CX70 2020,ENCENDEDOR DE CIGARROS ,Encendedor De Cigarros ,,DISPONIBLE,SANTIAGO,15000,10000,,,
CX70 2020,FOCO INTERIOR LUZ TECHO ,Foco Interior Luz Techo ,,DISPONIBLE,SANTIAGO,15000,10000,,,
CX70 2020,FRONTAL INFERIOR ,Frontal Inferior ,,DISPONIBLE,SANTIAGO,47600,40000,,,
CX70 2020,FRONTAL SUPERIOR ,Frontal Superior ,,DISPONIBLE,SANTIAGO,47600,40000,,,
CX70 2020,LUZ INTERIOR MALETA,Luz Interior Maleta,,DISPONIBLE,SANTIAGO,6000,5000,,,
CX70 2020,LUZ PATENTE LH,Luz Patente,Izquierda,DISPONIBLE,SANTIAGO,10000,8000,,,
CX70 2020,LUZ PATENTE RH,Luz Patente,Derecha,DISPONIBLE,SANTIAGO,10000,8000,,,
CX70 2020,MANILLA EXTERIOR DELANTERA RH,Manilla Exterior Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
CX70 2020,MÉNSULA DELANTERA RH,Ménsula Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,MÉNSULA TRASERA LH,Ménsula Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,MOLDURA PUERTA DELANTERA RH,Moldura Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,MOTOR DE PARTIDA,Motor De Partida,,DISPONIBLE,SANTIAGO,135000,130000,,,
CX70 2020,MOTOR NO FACTURABLE,Motor No Facturable,,VENDIDO,,750000,700000,,,Sin ubicación
CX70 2020,MÚLTIPLE DE ESCAPE ,Múltiple De Escape ,,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,MUÑÓN Y MAZA DELANTERA LH,Muñón Y Maza Delantera,Delantera Izquierda,DISPONIBLE,,65000,60000,,,Sin ubicación
CX70 2020,MUÑÓN Y MAZA DELANTERA RH,Muñón Y Maza Delantera,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
CX70 2020,PALANCA DE CAMBIOS,Palanca De Cambios,,DISPONIBLE,SANTIAGO,,,,,
CX70 2020,PARASOL LH,Parasol,Izquierda,VENDIDO,SANTIAGO,,,,,
CX70 2020,PARASOL RH,Parasol,Derecha,VENDIDO,SANTIAGO,,,,,
CX70 2020,PERNO RUEDA REPUESTO,Perno Rueda Repuesto,,VENDIDO,,10000,10000,,,Sin ubicación
