vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
DOKKER 2021,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-07-22 02:14:41,a2eefb371edc406a0e93e0dbd0bd8d3322a23071b5ffbd9e88df4c13c7d2ef64,90,NO
DOKKER 2021,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-07-22 02:14:41,13fb60a0653ad680bb34c27ac4d02983580d7a45673c5f2419751824fc9cb3e0,90,NO
DOKKER 2021,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,,60000.0,50000.0,,,Posición RH detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-07-22 02:14:41,4147c3199d6ec87c22cca7cb4639cf5b9c1e54eb97e42ab2d4bdecb5f95befd5,90,NO
DOKKER 2021,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-07-22 02:14:41,06adbfb1b94f56b41fe586d974b4c73420980f26e7987cadbf21567d7f959eb5,90,NO
DOKKER 2021,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada,2025-07-22 02:14:41,36dfe9146c341ee0a7875550001bd2885e551d2eefa5814e98bf5d68e33f00b6,90,NO
DOKKER 2021,BISAGRA CAPOT LH,Bisagra CAPÓ,Izquierda,DISPONIBLE,,35000.0,30000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición LH detectada; Sin ubicación especificada,2025-07-22 02:14:41,799db3c02573cf5de34270a8a0a1aa2559db84b1404805e37e74938719ff7515,80,NO
DOKKER 2021,BISAGRA CAPOT RH,Bisagra CAPÓ,Derecha,DISPONIBLE,,35000.0,30000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición RH detectada; Sin ubicación especificada,2025-07-22 02:14:41,db9fe671d2c846be4327e1abf36b6368d85bab080308a27308ec50b6849f3f74,80,NO
DOKKER 2021,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control DE AIRE,,DISPONIBLE,SANTIAGO,0,0,,ESCRITO ASÍ EN INVENTARIO (REVISAR),AIRE mal escrito (debería ser AIRE); CONTROL mal escrito (debería ser CONTROL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-22 02:14:41,7c40164d287c6e3f645aa50a942656e010eb005bdb91714e8ac1e62f431d29fa,65,SI
DOKKER 2021,BOMBA DE DIÉSEL,Bomba DE Diésel,,DISPONIBLE,SANTIAGO,85000.0,80000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-07-22 02:14:41,5abe8e28366e04d6fb88fb6e1e306750e42b6a0dbc800c19c65668e5657281ac,90,NO
DOKKER 2021,BOMBA ELECTROHIDRÁULICA,Bomba Electrohidráulica,,VENDIDO,SANTIAGO,170000.0,160000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-06-22 02:14:41,282ceb8501d06256fd5712a3ea12aa59410c7c7e02837d0e6e41bcafecc5738b,90,NO
