vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
DOKKER 2021,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
DOKKER 2021,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
DOKKER 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,,60000,50000,,,Sin ubicación
DOKKER 2021,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
DOKKER 2021,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
DOKKER 2021,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,,35000,30000,,,Sin ubicación
DOKKER 2021,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,,35000,30000,,,Sin ubicación
DOKKER 2021,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO (REVISAR),Requiere revisión
DOKKER 2021,BOMBA DE DIÉSEL,Bomba De Diésel,,DISPONIBLE,SANTIAGO,85000,80000,,,
DOKKER 2021,BOMBA ELECTROHIDRÁULICA,Bomba Electrohidráulica,,VENDIDO,SANTIAGO,170000,160000,,,
DOKKER 2021,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
DOKKER 2021,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
DOKKER 2021,CAJA,Caja,,VENDIDO,,630000,600000,,,Sin ubicación
DOKKER 2021,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
DOKKER 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
DOKKER 2021,CAÑERÍA AIRE,Cañería Aire,,VENDIDO,,50000,45000,,,Sin ubicación
DOKKER 2021,CAÑERÍA DE AIRE 1,Cañería De Aire 1,,DISPONIBLE,SANTIAGO,,,,,
