vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
ECOSPORT 2019,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-06-26 02:14:41,92a510dc5e40a91ac4bdfd31e74dcf2a92e79bc35b43328ce114c442d6a32ec3,90,NO
ECOSPORT 2019,AMORTIGUADOR IZQUIERDO,Amortiguador,Izquierda,POR CONFIRMAR,,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición IZQUIERDO detectada; Sin ubicación especificada,2025-07-26 02:14:41,99d4ec3e96b095a48a55b7fcf96047afbb58d52bb3a3ecafd1ff1633678fb1d9,80,NO
ECOSPORT 2019,AMORTIGUADOR PORTALÓN,Amortiguador Portalón,,DISPONIBLE,,20000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Sin ubicación especificada,2025-07-26 02:14:41,9f7c793134470d10b8065d5d22d9bd0acba676c60e2857882c54c19b97037f82,80,NO
ECOSPORT 2019,APOYABRAZO MÁS CONSOLA CENTRAL,Apoyabrazo MÁS Consola,Central,DISPONIBLE,,30000.0,25000.0,,,BRAZO mal escrito (debería ser BRAZO); Posición CENTRAL detectada; Sin ubicación especificada,2025-07-26 02:14:41,32d4ff4f2ad5b62c52967d1a0c7742e164694467760ee5b2c76e0694d750b7ee,80,NO
ECOSPORT 2019,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-06-26 02:14:41,635da4b00c6e9e2c8aa45dcab2a4c04548b65a22460cc4e4c5fd2b3b6e02167f,100,NO
ECOSPORT 2019,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-06-26 02:14:41,8c974f7a43c19b7a79c25c4c9e3c16c05a630096cc5aea815096f3ba214c1550,85,NO
ECOSPORT 2019,BANDEJA IZQUIERDA,Bandeja,Izquierda,VENDIDO,,25000.0,20000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición IZQUIERDA detectada; Sin ubicación especificada,2025-06-26 02:14:41,2dcb8fe45118e770f41f046e03371c5aa0ced84d309956429fa67143fdd99cfb,80,NO
ECOSPORT 2019,BARRA ESTABILIZADORA,Barra Estabilizadora,,DISPONIBLE,,45000.0,40000.0,,,Sin ubicación especificada,2025-07-26 02:14:41,92f05ca27538c82a0d1b3260de315d1f4c05aa95e399eacfbc7ac80053badf66,90,NO
ECOSPORT 2019,BASE BATERÍA,BASE Batería,,DISPONIBLE,,25000.0,20000.0,,,Sin ubicación especificada,2025-07-26 02:14:41,81cd4474ba61f56bab6a4b61a9db1f77e3151490b6cc9b650497691b7f143c82,90,NO
ECOSPORT 2019,BASE DE TERMOSTATO,BASE DE Termostato,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,,2025-07-26 02:14:41,64691face47e52473d7b54e8ae99c82cc8bcc2f5b030098bbb9514f55782cff6,100,NO
ECOSPORT 2019,BASE PALANCA DE CAMBIO,BASE Palanca DE Cambio,,DISPONIBLE,,30000.0,25000.0,,,Sin ubicación especificada,2025-07-26 02:14:41,bcb8490ed33a20f0705cb8ca9aaefd1aeb5f6c29c54120d0e99ca16e94e9707c,90,NO
