vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
ECOSPORT 2019,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,50000,,,
ECOSPORT 2019,AMORTIGUADOR IZQUIERDO,Amortiguador Izquierdo,,POR CONFIRMAR,,55000,50000,,,Sin ubicación
ECOSPORT 2019,AMORTIGUADOR PORTALÓN,Amortiguador Portalón,,DISPONIBLE,,20000,15000,,,Sin ubicación
ECOSPORT 2019,APOYABRAZO MÁS CONSOLA CENTRAL,Apoyabrazo Más Consola Central,Central,DISPONIBLE,,30000,25000,,,Sin ubicación
ECOSPORT 2019,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,50000,,,
ECOSPORT 2019,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
ECOSPORT 2019,BANDEJA IZQUIERDA,Bandeja Izquierda,,VENDIDO,,25000,20000,,,Sin ubicación
ECOSPORT 2019,BARRA ESTABILIZADORA,Barra Estabilizadora,,DISPONIBLE,,45000,40000,,,Sin ubicación
ECOSPORT 2019,BASE BATERÍA,Base Batería,,DISPONIBLE,,25000,20000,,,Sin ubicación
ECOSPORT 2019,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,35000,30000,,,
ECOSPORT 2019,BASE PALANCA DE CAMBIO,Base Palanca De Cambio,,DISPONIBLE,,30000,25000,,,Sin ubicación
ECOSPORT 2019,BIELETA,Bieleta,,DISPONIBLE,,10000,10000,,,Sin ubicación
ECOSPORT 2019,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,25000,20000,,ESCRITO ASÍ EN INVENTARIO,
ECOSPORT 2019,BOMBA DE BENCINA,Bomba De Bencina,,VENDIDO,SANTIAGO,55000,50000,,,
ECOSPORT 2019,BUTACA DERECHA,Butaca Derecha,,DISPONIBLE,,50000,50000,,,Sin ubicación
ECOSPORT 2019,BUTACA IZQUIERDA,Butaca Izquierda,,DISPONIBLE,,50000,50000,,,Sin ubicación
ECOSPORT 2019,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,,
ECOSPORT 2019,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
ECOSPORT 2019,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,,25000,20000,,,Sin ubicación
ECOSPORT 2019,CLIMATIZADOR,Climatizador,,DISPONIBLE,,50000,45000,,,Sin ubicación
ECOSPORT 2019,CODO DE AIRE,Codo De Aire,,DISPONIBLE,,25000,20000,,,Sin ubicación
ECOSPORT 2019,COFIA,Cofia,,DISPONIBLE,,35000,30000,,,Sin ubicación
ECOSPORT 2019,COLUMNA DE DIRECCIÓN ELECTRÓNICO,Columna De Dirección Electrónico,,DISPONIBLE,,95000,90000,,,Sin ubicación
ECOSPORT 2019,CORNER CUBRE ZÓCALO INFERIOR DERECHO,Corner Cubre Zócalo Inferior Derecho,,DISPONIBLE,,15000,15000,,,Sin ubicación
ECOSPORT 2019,CORNER CUBRE ZÓCALO INFERIOR IZQUIERDO,Corner Cubre Zócalo Inferior Izquierdo,,DISPONIBLE,,15000,15000,,,Sin ubicación
ECOSPORT 2019,CREMALLERA DE ALZAVIDRIO DELANTERA LH,Cremallera De Alzavidrio Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,50000,40000,,,
ECOSPORT 2019,CREMALLERA DE ALZAVIDRIO DELANTERA RH ,Cremallera De Alzavidrio Delantera ,Delantera Derecha,DISPONIBLE,SANTIAGO,50000,40000,,,
ECOSPORT 2019,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera De Alzavidrio Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,50000,40000,,,
