vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
ELANTRA 2006,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,0,0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,50909f2cc9904529a99d020371fa5da9b3d6237a482e94c9bd3f289bc5878388,65,SI
ELANTRA 2006,AMORTIGUADOR DELANTERO DERECHO,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,fa2a4936bd48f48a12dcc77ccf419aed2244ca8dc049556e9dd9ae019b4788e6,65,SI
ELANTRA 2006,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,e3dfefeab593c8e3e15d0639ae2ac0a6def98b80d90bd27e2d14e49702e85f95,65,SI
ELANTRA 2006,BANDEJA DELANTERA DERECHA,Bandeja,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición DERECHA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,26251b60d931f64cae3e4529da65773311fd5c4c7f174ad00f44250ffebb9d05,65,SI
ELANTRA 2006,BANDEJA DELANTERA IZQUIERDA,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,8454d66c19fb101cb0a520271bd6e1d6a089a4d1c8e06a18d7291d897164f44a,65,SI
ELANTRA 2006,BASE O SOPORTE DE DEPÓSITO LÍQUIDO HIDRÁULICO,BASE O Soporte DE Depósito Líquido Hidráulico,,NO DISPONIBLE,SANTIAGO,0,0,,,SOPORTE mal escrito (debería ser SOPORTE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,99d9171f278a30063839e81321be430dc5329ee5564fa97be3a26f060deea361,75,NO
ELANTRA 2006,BASE TERMOSTATO,BASE Termostato,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,1e2ab73df432251fb5c1662df0b930e49b4d253a1cedc5776d78e09a4fda75ff,75,NO
ELANTRA 2006,BOBINA,Bobina,,DISPONIBLE,SANTIAGO,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,77d2de96227d5cbe7aa113061543c80932db4ed4312245da8019b9cc0042616d,65,SI
ELANTRA 2006,BOMBA DE FRENO,Bomba DE Freno,,DISPONIBLE,SANTIAGO,0,0,,,FRENO mal escrito (debería ser FRENO); BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,decdeff3924267fa608c8d688c1e2d42bfe7e90802227d5bdac27de672194165,65,SI
ELANTRA 2006,BOMBA HIDRÁULICA,Bomba Hidráulica,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,b2326d87e8eaa8612ec7269585125a04e437273511980bc438c6a036021240e8,65,SI
ELANTRA 2006,BOTÓN DE ALZAVIDRIO TRASERO DERECHO,Botón DE Alzavidrio,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHO detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,e4a96b43a9ecadc0f447168fc4f01d0f0cc7fa0a9bd17d238692506377130e59,75,NO
ELANTRA 2006,BOTÓN DE ALZAVIDRIO TRASERO IZQUIERDO,Botón DE Alzavidrio,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDO detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,0ad95fc4fc211817d047dc3168fefd0635bc5d901c591c887234bf199cbf6899,75,NO
ELANTRA 2006,CAJA DE CAMBIOS MECÁNICA,CAJA DE Cambios Mecánica,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,d64b534b6c0ab8aac8e64b9148ddf1db3872623848477474d2ba1ec780cf7c96,75,NO
ELANTRA 2006,CALIPER DELANTERO DERECHO,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,b7e920cc9439f7b884d92ccf04e0d3df051731fcf922a34d0664767719ae8129,75,NO
ELANTRA 2006,CALIPER DELANTERO IZQUIERDO,Caliper,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,0a2a9ec5b6cdab81422b2f9ed7aa7d99649658828b1bed35aeede3710e3a1c13,75,NO
ELANTRA 2006,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías DE AIRE Acondicionado,,DISPONIBLE,SANTIAGO,0,0,,,AIRE mal escrito (debería ser AIRE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,8ccf87d68e43f9ebf8f71aa72b8f066d3f39453c1c5903d92f18cef7b6473f07,65,SI
ELANTRA 2006,CAÑERÍAS DE LÍQUIDO HIDRÁULICO,Cañerías DE Líquido Hidráulico,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,51d4e7af415faf987caa67e1517500744ecb9d7ddb26caacd5440e5379fdc6da,75,NO
ELANTRA 2006,CHAPA PUERTA DELANTERA DERECHA,Chapa Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,3276fa9b0ddebc163f75c72d884c9251c4f0d46c893bfa27aa64086a043313fb,75,NO
ELANTRA 2006,CHAPA PUERTA DELANTERA IZQUIERDA,Chapa Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,13ce69e861a6851604dce6370ef4546c1b7a3ef67818f292d09c56cf517c10d0,75,NO
ELANTRA 2006,CHAPA PUERTA TRASERA DERECHA,Chapa Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHA detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,4e6f8142e40175cb7abb003760388ab3e319c49c75b936ca0be04d43038d1fb6,75,NO
ELANTRA 2006,CHAPA PUERTA TRASERA IZQUIERDA,Chapa Puerta,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDA detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,2a6a16c67e95d8dc3cfd9d743644f074476f477cd58ecd9a987a81606d4b9888,75,NO
ELANTRA 2006,COMPRESOR DE AIRE ACONDICIONADO,Compresor DE AIRE Acondicionado,,DISPONIBLE,SANTIAGO,0,0,,,COMPRESOR mal escrito (debería ser COMPRESOR); AIRE mal escrito (debería ser AIRE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,3bb2f9d9dad7f108ae7a3c5d59c026205eec7940111f80ae379167d469eb2f08,65,SI
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL PUERTA TRASERA DERECHA,Cremallera DE Alzavidrio CON Panel Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición DERECHA detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,d1c33ca8be7e589ee75f876ea44041565a9ae3bc36d6aa888f0e0bdaeb2253df,65,SI
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL DELANTERA DERECHA,Cremallera DE Alzavidrio CON Panel,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición DERECHA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,68ac17faf5a42c8413a390b345dc5dcc67a270793f382ee9b2f68ca93bcc5bfe,65,SI
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL DELANTERA IZQUIERDA,Cremallera DE Alzavidrio CON Panel,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,de06b435a6820b3f1e442924d7e7447c632d778b14cc3517661c5d5af5693a37,65,SI
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL PUERTA TRASERA IZQUIERDA,Cremallera DE Alzavidrio CON Panel Puerta,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición IZQUIERDA detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,71f284d38e09799c61e6fc79f8c0d062c0e95d627a815ffdbad20e9ef0a086de,65,SI
ELANTRA 2006,CREMALLERA DE DIRECCIÓN,Cremallera DE Dirección,,DISPONIBLE,SANTIAGO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,b0d1eef3407d53f9aae03c80e5106898087687f16c3bd6b7870110d00499ae5b,65,SI
ELANTRA 2006,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,VENDIDO,SANTIAGO,45000.0,45000.0,,,,2025-06-30 02:14:41,05d397aa1a8e00fb17f6bd88955c344b9b5509495ee6b02d7273ec9445484326,100,NO
ELANTRA 2006,CUNA,CUNA,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,93d1f50d0151767fd16bade8c86b30fb84d2b01c23a3497f240ec30717396ef0,75,NO
ELANTRA 2006,CUNA CON BARRA ESTABILIZADORA,CUNA CON Barra Estabilizadora,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,c37638c1d5989d783f2565a96c15c98cd1f1f4e21ead78da36458305e9e1e46a,75,NO
ELANTRA 2006,DEPÓSITO DE AGUA,Depósito DE AGUA,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,c1d24f8bb68995345142d0590aa583c572cf94c90dcb3dacb649cabc0eef9fa1,75,NO
ELANTRA 2006,DISCO DE FRENO DELANTERO DERECHO,Disco DE Freno,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO); Posición DERECHO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,879f7cb9886ef5bf664e20d8ceba7423b2b9a993730c85afef04fca8670480b6,65,SI
ELANTRA 2006,DISCO DE FRENO DELANTERO IZQUIERDO,Disco DE Freno,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO); Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,bc8a421bfb8adf1d0700b631ab19ded9d59fd6d7ff84ad522456df446e80854e,65,SI
ELANTRA 2006,EJE PALIER DERECHO,EJE Palier,Derecha,VENDIDO,SANTIAGO,60000.0,60000.0,,,Posición DERECHO detectada,2025-06-30 02:14:41,7416c4a17208f9c3fca1840934fa5018225aa7098d4d962de530fa793c81eddf,100,NO
ELANTRA 2006,EJE PALIER IZQUIERDO,EJE Palier,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,67f058dd531175f15b009559062989f24b1ba2c53a31a783b7cd86cfa86d7db6,75,NO
ELANTRA 2006,ELECTROVENTILADOR 1,Electroventilador 1,,DISPONIBLE,SANTIAGO,0,0,,EL AUTO LLEVA 2 ELECTROS,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,5ca0cc2046bddcedd429c6105dfbef3020fabcf1b17cb7ab78c41620d89c4d38,75,NO
ELANTRA 2006,ELECTROVENTILADOR 2,Electroventilador 2,,DISPONIBLE,SANTIAGO,0,0,,EL AUTO LLEVA 2 ELECTROS,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,2b3804b8f2dcb5b2c09809755f6e7e06943dd2833d6da85440690987f6a79f26,75,NO
ELANTRA 2006,ESPEJO DERECHO,Espejo,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,99961086bde0c8bc66f023fc40d9706e89c0bccb1b8c618e9e58edee4e597456,75,NO
ELANTRA 2006,ESPEJO IZQUIERDO,Espejo,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,dd965d2a69dd4d45d8d9069837eebef05f88b7bed90931a89748bba51bd0999a,75,NO
ELANTRA 2006,KIT DE EMBRAUE,KIT DE Embraue,,DISPONIBLE,SANTIAGO,0,0,,,KIT indica múltiples piezas; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,7518767ecddc2586fac359cf5979288868e063e42f62d9468883ef0e82dfeb3a,75,NO
ELANTRA 2006,MANGUERA DE AGUA (3),Mangueras DE AGUA (3),,DISPONIBLE,SANTIAGO,0,0,,,MANGUERA mal escrito (debería ser MANGUERAS); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,262f6ed0072786cfc08751cc99f433fdf65574071ceb59151dfb34e12031a7f3,65,SI
ELANTRA 2006,MANILLA EXTERIOR PUERTA DELANTERA DERECHA,Manilla Exterior Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,698f78175736db594e0972246fd8aef35dc55ca2862cfeabe5dc0f8c9bd77095,75,NO
ELANTRA 2006,MANILLA EXTERIOR PUERTA DELANTERA IZQUIERDA,Manilla Exterior Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,b17d5c2ee426e7d91130a61f73521b6435e60d7a688154aebadc25ac5d1b1df5,75,NO
ELANTRA 2006,MANILLA EXTERIOR PUERTA TRASERA DERECHA,Manilla Exterior Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición DERECHA detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-30 02:14:41,8fa52f58c2c62024f0dd9aabcbfd09997fe7ed64998760a0e5d70aa560bc78dd,75,NO
