vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
ELANTRA 2006,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,AMORTIGUADOR DELANTERO DERECHO,Amortiguador Delantero Derecho,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador Delantero Izquierdo,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BANDEJA DELANTERA DERECHA,Bandeja Delantera Derecha,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BANDEJA DELANTERA IZQUIERDA,Bandeja Delantera Izquierda,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BASE O SOPORTE DE DEPÓSITO LÍQUIDO HIDRÁULICO,Base O Soporte De Depósito Líquido Hidráulico,,NO DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BASE TERMOSTATO,Base Termostato,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BOBINA,Bobina,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BOMBA DE FRENO,Bomba De Freno,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BOMBA HIDRÁULICA,Bomba Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BOTÓN DE ALZAVIDRIO TRASERO DERECHO,Botón De Alzavidrio Trasero Derecho,Trasera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,BOTÓN DE ALZAVIDRIO TRASERO IZQUIERDO,Botón De Alzavidrio Trasero Izquierdo,Trasera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CAJA DE CAMBIOS MECÁNICA,Caja De Cambios Mecánica,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CALIPER DELANTERO DERECHO,Caliper Delantero Derecho,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CALIPER DELANTERO IZQUIERDO,Caliper Delantero Izquierdo,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CAÑERÍAS DE LÍQUIDO HIDRÁULICO,Cañerías De Líquido Hidráulico,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CHAPA PUERTA DELANTERA DERECHA,Chapa Puerta Delantera Derecha,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CHAPA PUERTA DELANTERA IZQUIERDA,Chapa Puerta Delantera Izquierda,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CHAPA PUERTA TRASERA DERECHA,Chapa Puerta Trasera Derecha,Trasera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CHAPA PUERTA TRASERA IZQUIERDA,Chapa Puerta Trasera Izquierda,Trasera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,COMPRESOR DE AIRE ACONDICIONADO,Compresor De Aire Acondicionado,,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL PUERTA TRASERA DERECHA,Cremallera De Alzavidrio Con Panel Puerta Trasera Derecha,Trasera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL DELANTERA DERECHA,Cremallera De Alzavidrio Con Panel Delantera Derecha,Delantera,DISPONIBLE,SANTIAGO,,,,,
ELANTRA 2006,CREMALLERA DE ALZAVIDRIO CON PANEL DELANTERA IZQUIERDA,Cremallera De Alzavidrio Con Panel Delantera Izquierda,Delantera,DISPONIBLE,SANTIAGO,,,,,
