vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
FABIA 2021,ABSORBEDOR DE IMPACTO DELANTERO,Absorbedor DE Impacto,Delantera,VENDIDO,SANTIAGO,25000.0,20000.0,,,Posición DELANTERO detectada,2025-07-04 02:14:41,77dc8db56ede0300fc06bfb22bd3cbd681ec206eeae1ef8abf894be684419441,100,NO
FABIA 2021,ABSORBEDOR DE IMPACTO TRASERO,Absorbedor DE Impacto,Trasera,VENDIDO,SANTIAGO,25000.0,20000.0,,,Posición TRASERO detectada,2025-07-04 02:14:41,61909baafa4210d0935d66430b03751596e06acc159165f802d02c9092fedd1c,100,NO
FABIA 2021,AIRBAG DE CORTINA RH,Airbag DE Cortina,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-03 02:14:41,d71cc08dfa44a0bf99358325a2adfe486dd702bcda9b9b7f31b3ac6158fd1465,75,NO
FABIA 2021,ALFOMBRA O PISO DELANTERO LH,Alfombra O PISO,Izquierda Delantera,VENDIDO,SANTIAGO,20000.0,15000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-07-04 02:14:41,7b9e2830779a30ef9313e7d59bb2cac5eae24d71417186d75f734e42f0787b20,100,NO
FABIA 2021,ALFOMBRA O PISO DELANTERO RH,Alfombra O PISO,Derecha Delantera,VENDIDO,SANTIAGO,20000.0,15000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-07-04 02:14:41,52b4f56a1aaf0125200c6b642e8fea2191b29268c3dc2ce471574aa0a1423bc6,100,NO
FABIA 2021,ALFOMBRA O PISO TRASERO LH,Alfombra O PISO,Izquierda Trasera,VENDIDO,SANTIAGO,15000.0,10000.0,,,Posición LH detectada; Posición TRASERO detectada,2025-07-04 02:14:41,25e784110283b7d0c684d9efd47ce9ab4cdd072f04b4477c00e2380291de280f,100,NO
FABIA 2021,ALFOMBRA O PISO TRASERO RH,Alfombra O PISO,Derecha Trasera,VENDIDO,SANTIAGO,20000.0,15000.0,,,Posición RH detectada; Posición TRASERO detectada,2025-07-04 02:14:41,0fc5535cf3814039fc134c43d439f022ecbf6a7dd89c53fe5ea81d0f36c030b1,100,NO
FABIA 2021,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,130000.0,120000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-07-04 02:14:41,ea4d96b0758f1701db2052f8a0fdc7e32c88aabea01757f44286e4489be58266,90,NO
FABIA 2021,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,110000.0,100000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-08-03 02:14:41,c06763a8e8e0de2248c315883f9439cb2e07422cb163459496c1420bb828e1c7,90,NO
FABIA 2021,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,VENDIDO,SANTIAGO,110000.0,100000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-07-04 02:14:41,5f629796f8cdecb32ea7d112feabbb010effdbd9e87cf8315dbcdfe2b7e93dbc,90,NO
FABIA 2021,AMORTIGUADOR PORTALON,Amortiguador Portalón,,DISPONIBLE,,25000.0,20000.0,,,PORTALON mal escrito (debería ser PORTALÓN); AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Sin ubicación especificada,2025-08-03 02:14:41,41deec195fc9bc420211216310cb46ecc41ad2f27782da02c6a3af9254c45a81,80,NO
FABIA 2021,AMORTIGUADOR TRASERO DERECHO,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,110000.0,100000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición DERECHO detectada; Posición TRASERO detectada,2025-08-03 02:14:41,c55902ae55b59bc07fc63b07c68a3eb342327a86e374461f7abfd83e54ae87d0,90,NO
FABIA 2021,AMORTIGUADOR TRASERO DERECHO,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,110000.0,100000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición DERECHO detectada; Posición TRASERO detectada,2025-08-03 02:14:41,c55902ae55b59bc07fc63b07c68a3eb342327a86e374461f7abfd83e54ae87d0,90,NO
FABIA 2021,ANTENA,Antena,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-08-03 02:14:41,784cb1eeba4644563da764d90a2bc7d49a87c6f6a4ec20b13e0fc2f6f5189858,100,NO
FABIA 2021,APOYA BRAZO CENTRAL,Apoya Brazo,Central,DISPONIBLE,,55000.0,50000.0,,,BRAZO mal escrito (debería ser BRAZO); Posición CENTRAL detectada; Sin ubicación especificada,2025-08-03 02:14:41,a01210c81064fd527d1715aca56eba8712d06992a577f7fbcfe858466183db91,80,NO
FABIA 2021,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,90000.0,85000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-07-04 02:14:41,bf860cc3983add5b729ea596309ccb0a770512797bceeea8327c4880738c5c4b,100,NO
FABIA 2021,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,SANTIAGO,90000.0,85000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-08-03 02:14:41,1079f91a40ddc540716f62121d510a5b57a6e39f840b875a229cb0674788a62f,100,NO
