vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
FABIA 2021,ABSORBEDOR DE IMPACTO DELANTERO,Absorbedor De Impacto Delantero,Delantera,VENDIDO,SANTIAGO,25000,20000,,,
FABIA 2021,ABSORBEDOR DE IMPACTO TRASERO,Absorbedor De Impacto Trasero,Trasera,VENDIDO,SANTIAGO,25000,20000,,,
FABIA 2021,AIRBAG DE CORTINA RH,Airbag De Cortina,Derecha,DISPONIBLE,SANTIAGO,,,,,
FABIA 2021,ALFOMBRA O PISO DELANTERO LH,Alfombra O Piso Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,20000,15000,,,
FABIA 2021,ALFOMBRA O PISO DELANTERO RH,Alfombra O Piso Delantero,Delantera Derecha,VENDIDO,SANTIAGO,20000,15000,,,
FABIA 2021,ALFOMBRA O PISO TRASERO LH,Alfombra O Piso Trasero,Trasera Izquierda,VENDIDO,SANTIAGO,15000,10000,,,
FABIA 2021,ALFOMBRA O PISO TRASERO RH,Alfombra O Piso Trasero,Trasera Derecha,VENDIDO,SANTIAGO,20000,15000,,,
FABIA 2021,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,130000,120000,,,
FABIA 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,110000,100000,,,
FABIA 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,VENDIDO,SANTIAGO,110000,100000,,,
FABIA 2021,AMORTIGUADOR PORTALON,Amortiguador Portalón,,DISPONIBLE,,25000,20000,,,PORTALON mal escrito; Sin ubicación
FABIA 2021,AMORTIGUADOR TRASERO DERECHO,Amortiguador Trasero Derecho,Trasera,DISPONIBLE,SANTIAGO,110000,100000,,,
FABIA 2021,AMORTIGUADOR TRASERO DERECHO,Amortiguador Trasero Derecho,Trasera,DISPONIBLE,SANTIAGO,110000,100000,,,
FABIA 2021,ANTENA,Antena,,DISPONIBLE,SANTIAGO,15000,10000,,,
FABIA 2021,APOYA BRAZO CENTRAL,Apoya Brazo Central,Central,DISPONIBLE,,55000,50000,,,Sin ubicación
FABIA 2021,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,90000,85000,,,
FABIA 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,90000,85000,,,
FABIA 2021,ASIENTO TRASSERO,Asiento Trassero,,DISPONIBLE,,70000,60000,,,Sin ubicación
FABIA 2021,AUXILIAR USB 1,Auxiliar Usb 1,,DISPONIBLE,SANTIAGO,20000,15000,,,
FABIA 2021,AUXILIAR USB 2,Auxiliar Usb 2,,DISPONIBLE,SANTIAGO,20000,15000,,,
FABIA 2021,BANDEJA DERECHA,Bandeja Derecha,,DISPONIBLE,SANTIAGO,80000,75000,,,
FABIA 2021,BANDEJA IZQUIERDA,Bandeja Izquierda,,VENDIDO,SANTIAGO,80000,75000,,,
FABIA 2021,BASE BATERIA,Base Bateria,,VENDIDO,SANTIAGO,35000,30000,,,
FABIA 2021,BCM,Bcm,,DISPONIBLE,,190400,160000,,,Sin ubicación
FABIA 2021,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,VENDIDO,SANTIAGO,45000,40000,,,
FABIA 2021,BISAGRA CAPOT RH,Bisagra Capot,Derecha,VENDIDO,SANTIAGO,45000,40000,,,
FABIA 2021,BISAGRAS PUERTA DELANTERA RH,Bisagras Puerta Delantera,Delantera Derecha,VENDIDO,SANTIAGO,25000,20000,,,
FABIA 2021,BISAGRAS PUERTA TRASERA LH,Bisagras Puerta Trasera,Trasera Izquierda,DISPONIBLE,,25000,20000,,,Sin ubicación
FABIA 2021,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta Trasera,Trasera Derecha,DISPONIBLE,,25000,20000,,,Sin ubicación
FABIA 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,35700,30000,,,
FABIA 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,35700,30000,,,
FABIA 2021,BOBINA 3 ,Bobina 3 ,,DISPONIBLE,SANTIAGO,35700,30000,,,
FABIA 2021,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,SANTIAGO,130000,120000,,,
FABIA 2021,BOMBA DE ALTA 1,Bomba De Alta 1,,DISPONIBLE,SANTIAGO,,,,,
FABIA 2021,BOMBA DE ALTA 2,Bomba De Alta 2,,DISPONIBLE,SANTIAGO,,,,,
FABIA 2021,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,95200,80000,,,
FABIA 2021,BOMBA DE COMBUSTIBLE DE ALTA,Bomba De Combustible De Alta,,DISPONIBLE,,178500,150000,,,Sin ubicación
FABIA 2021,BOTON DE ENCENDIDO,Boton De Encendido,,DISPONIBLE,,30000,25000,,,Sin ubicación
FABIA 2021,BOTONERA HAZAR Y CALEFACCIÓN ASIENTOS,Botonera Hazar Y Calefacción Asientos,,DISPONIBLE,,70000,65000,,,Sin ubicación
FABIA 2021,BOTONERA PUERTA DELANTERA LH,Botonera Puerta Delantera,Delantera Izquierda,NO DISPONIBLE,,,,,,Sin ubicación
FABIA 2021,BOTONERA PUERTA DELANTERA RH,Botonera Puerta Delantera,Delantera Derecha,POR CONFIRMAR,,35000,25000,,,Sin ubicación
FABIA 2021,BOTONERA PUERTA TRASERA ,Botonera Puerta Trasera ,Trasera,VENDIDO,SANTIAGO,35000,25000,,,
FABIA 2021,BOTONERA PUERTA TRASERA ,Botonera Puerta Trasera ,Trasera,DISPONIBLE,,35000,25000,,,Sin ubicación
FABIA 2021,BRAZO LIMPIAPARABRISAS TRASERO O PORTALÓN,Brazo Limpiaparabrisas Trasero O Portalón,Trasera,DISPONIBLE,SANTIAGO,,,,,
FABIA 2021,BRAZOS LIMPIAPARABRISAS LH,Brazos Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
FABIA 2021,BRAZOS LIMPIAPARABRISAS RH,Brazos Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
FABIA 2021,CAJA,Caja,,VENDIDO,SANTIAGO,970000,900000,,ESTE PRECIO SE MANTIENE,
FABIA 2021,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,60000,50000,,,
FABIA 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,60000,50000,,,
FABIA 2021,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,60000,50000,,,
FABIA 2021,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,60000,50000,,,
FABIA 2021,CAÑERÍAS AIRE ACONDICIONADO COMPLETO,Cañerías Aire Acondicionado Completo,,DISPONIBLE,SANTIAGO,90000,80000,,,
FABIA 2021,CAÑERIAS PLÁSTICAS DE GASES,Cañerias Plásticas De Gases,,DISPONIBLE,,,,,,Sin ubicación
FABIA 2021,CAPOT,Capot,,VENDIDO,SANTIAGO,310000,300000,,,
FABIA 2021,CARCASA DE CALEFACCIÓN,Carcasa De Calefacción,,DISPONIBLE,,,,,,Sin ubicación
FABIA 2021,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,,,,,
FABIA 2021,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,47600,40000,,,
FABIA 2021,CHAPA PORTALÓN ,Chapa Portalón ,,NO DISPONIBLE,SANTIAGO,,,,SE VENDIÓ PORTALÓN COMPLETO,
