vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
FOCUS 2012,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,90000.0,85000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-08-07 02:14:41,5e8e83baec152fa53fcb7786f20fb1c9dc2b9bac35bd56329b81405ad684cc4e,90,NO
FOCUS 2012,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-07-08 02:14:41,b53ada1afc97015548a16dddb9368c569ced7d7deca82faeea00cb8bd6fe64e1,90,NO
FOCUS 2012,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,NO DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,38511e3846a7a90aa80eb3e2c99dec46ef15a19b4a1ff9713de55b45c14a6dac,75,NO
FOCUS 2012,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,029d117b3c52162e21e2c5aeedf7b03ddcb9b3482f767dd54e236b03bf8e5061,65,SI
FOCUS 2012,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,35f0c8127084a11d9aaf10e09d86e96359275ad5ffc88620f0752b72893cbd5e,65,SI
FOCUS 2012,BANDEJA PORTA MAZA TRASERA LH,Bandeja Porta MAZA,Izquierda Trasera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición TRASERA detectada,2025-08-07 02:14:41,6074484b3079c144fd63ba749288a13614fcb6b93d3173bd8ed39a896e8987cc,90,NO
FOCUS 2012,BANDEJA PORTA MAZA TRASERA RH,Bandeja Porta MAZA,Derecha Trasera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición TRASERA detectada,2025-08-07 02:14:41,7dbf38b170e6ba2c0cfddfdf527ed5bcf0dca4d65f522898233f0d78a28da0d5,90,NO
FOCUS 2012,BANDEJA TRASERA GRANDE LH,Bandeja Grande,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,425417e76a71bdb2f0cb4c664c24e14e35e476bfe920d61a2e7d657aa50a6c96,65,SI
FOCUS 2012,BANDEJA TRASERA GRANDE RH,Bandeja Grande,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,55010af763128b91291c0ed4f02e3fbf8ef75de028541615afa284d39befc220,65,SI
FOCUS 2012,BARRA ESTABILIZADORA TRASERA,Barra Estabilizadora,Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-07 02:14:41,75403b35dd8461c2bbf65a8dd6c3a90962c5f76db56984ca7a42e25608f01e56,75,NO
