vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
FOCUS 2012,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,90000,85000,,,
FOCUS 2012,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,50000,,,
FOCUS 2012,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,NO DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BANDEJA PORTA MAZA TRASERA LH,Bandeja Porta Maza Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,60000,50000,,,
FOCUS 2012,BANDEJA PORTA MAZA TRASERA RH,Bandeja Porta Maza Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,60000,50000,,,
FOCUS 2012,BANDEJA TRASERA GRANDE LH,Bandeja Trasera Grande,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BANDEJA TRASERA GRANDE RH,Bandeja Trasera Grande,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BARRA ESTABILIZADORA TRASERA,Barra Estabilizadora Trasera,Trasera,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
FOCUS 2012,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
FOCUS 2012,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BASE LIMPIA PARABRISAS LH,Base Limpia Parabrisas,Izquierda,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,BASE LIMPIA PARABRISAS RH,Base Limpia Parabrisas,Derecha,NO DISPONIBLE,,,,,,Sin ubicación
FOCUS 2012,BIELETA LH,Bieleta,Izquierda,VENDIDO,SANTIAGO,15000,12000,,,
FOCUS 2012,BIELETA RH,Bieleta,Derecha,DISPONIBLE,,15000,12000,,,Sin ubicación
FOCUS 2012,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BOMBA DE ALTA ,Bomba De Alta ,,VENDIDO,SANTIAGO,80000,75000,,,
FOCUS 2012,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,90000,85000,,,
FOCUS 2012,BOTÓN DE ALZAVIDRIOS TRASERO RH,Botón De Alzavidrios Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BRAZO DE SUSPENSIÓN TRASERO LH,Brazo De Suspensión Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BRAZO DE SUSPENSIÓN TRASERO RH,Brazo De Suspensión Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BRAZO LIMPIA PARABRISAS TRASERO,Brazo Limpia Parabrisas Trasero,Trasera,VENDIDO,SANTIAGO,20000,15000,,,
FOCUS 2012,BRAZO LIMPIAPARBRISAS LH,Brazo Limpiaparbrisas,Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,BRAZO LIMPIAPARBRISAS RH,Brazo Limpiaparbrisas,Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CAJA MALA,Caja Mala,,VENDIDO,SANTIAGO,320000,300000,,,
FOCUS 2012,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,55000,50000,,,
FOCUS 2012,CAPOT,Capot,,VENDIDO,SANTIAGO,140000,130000,,REPARADO Y CON DETALLE,
FOCUS 2012,CATALÍTICO,Catalítico,,VENDIDO,REQUINOA,,,,AL MONTÓN,
FOCUS 2012,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CHAPA PORTALÓN ,Chapa Portalón ,,DISPONIBLE,SANTIAGO,20000,15000,,,
FOCUS 2012,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,VENDIDO,SANTIAGO,45000,40000,,,
FOCUS 2012,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,COMPRESOR AIRE ACONDICIONADO,Compresor Aire Acondicionado,,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,CREMALLERA DE ALZAVIDRIO DELANTERA LH ,Cremallera De Alzavidrio Delantera ,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CREMALLERA DE ALZAVIDRIO DELANTERA RH ,Cremallera De Alzavidrio Delantera ,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera De Alzavidrio Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CREMALLERA DE ALZAVIDRIO TRASERA RH ,Cremallera De Alzavidrio Trasera ,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,VENDIDO,SANTIAGO,260000,250000,,,
FOCUS 2012,CUBRE CARTER,Cubre Carter,,NO DISPONIBLE,,,,,,Sin ubicación
FOCUS 2012,CUBRE ZÓCALO LH,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CUBRE ZÓCALO RH,Cubre Zócalo,Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,CUERPO DE RADIO,Cuerpo De Radio,,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,CUNA DELANTERA,Cuna Delantera,Delantera,DISPONIBLE,SANTIAGO,80000,70000,,,
FOCUS 2012,CUNA TRASERA,Cuna Trasera,Trasera,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,DEPOSITO DE AGUA O LÍQUIDO REFRIGERANTE ,Deposito De Agua O Líquido Refrigerante ,,NO DISPONIBLE,SANTIAGO,,,,PEGADO Y SIN TAPA,
FOCUS 2012,DEPÓSITO LIMPIA PARABRISAS,Depósito Limpia Parabrisas,,DISPONIBLE,,25000,20000,,SIN MOTOR Y SIN TAPA,Sin ubicación
FOCUS 2012,DISCO DE FRENO DELANTERO LH,Disco De Freno Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,DISCO DE FRENO DELANTERO RH ,Disco De Freno Delantero ,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,DISCO DE FRENO TRASERO LH,Disco De Freno Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,DISCO DE FRENO TRASERO RH,Disco De Freno Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,ECU,Ecu,,DISPONIBLE,SANTIAGO,180000,170000,,,
FOCUS 2012,EJE PALIER RH,Eje Palier,Derecha,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,ELECTROVENTILADOR ,Electroventilador ,,VENDIDO,SANTIAGO,130000,125000,,,
FOCUS 2012,EMBELLECEDOR PARACHOQUE DELANTERO TRIÁNGULO,Embellecedor Parachoque Delantero Triángulo,Delantera,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,ENCENDEDOR DE CIGARROS ,Encendedor De Cigarros ,,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,ESPEJO CENTRAL,Espejo Central,Central,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,ESPEJO LH,Espejo,Izquierda,VENDIDO,SANTIAGO,80000,70000,,,
FOCUS 2012,ESPEJO RH (CON DETALLE),Espejo (Con Detalle),Derecha,VENDIDO,SANTIAGO,50000,45000,,,Daños
FOCUS 2012,ESTANQUE DE BENCINA,Estanque De Bencina,,DISPONIBLE,,40000,35000,,,Sin ubicación
FOCUS 2012,FLUJÓMETRO,Flujómetro,,DISPONIBLE,SANTIAGO,25000,20000,,,
FOCUS 2012,FOCO INTERIOR TECHO CENTRAL,Foco Interior Techo Central,Central,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,FOCO INTERIOR TECHO DELANTERA,Foco Interior Techo Delantera,Delantera,DISPONIBLE,SANTIAGO,,,,,
FOCUS 2012,FOCO TRASERO DERECHO,Foco Trasero Derecho,Trasera,VENDIDO,SANTIAGO,110000,100000,,,
FOCUS 2012,FOCO TRASERO IZQUIERDO,Foco Trasero Izquierdo,Trasera,VENDIDO,SANTIAGO,,,,,
FOCUS 2012,FRONTAL INFERIOR,Frontal Inferior,,VENDIDO,SANTIAGO,65000,60000,,,
