vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
GOLF 2004,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,65000,60000,,,
GOLF 2004,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,,
GOLF 2004,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
GOLF 2004,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
GOLF 2004,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
GOLF 2004,APOYABRAZO,Apoyabrazo,,NO DISPONIBLE,SANTIAGO,,,,MALO,
GOLF 2004,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
GOLF 2004,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
GOLF 2004,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,SANTIAGO,30000,20000,,DETALLE EN GANCHOS PARA DESTRABAR,
GOLF 2004,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,BARRA DE TECHO LH,Barra De Techo,Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BARRA DE TECHO RH,Barra De Techo,Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BASE BATERÍA,Base Batería,,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,BASE DE SOPORTE LH (CAJA),Base De Soporte (Caja),Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BISAGRA INFERIOR PUERTA DELANTERA LH,Bisagra Inferior Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,BISEL DE RADIO,Bisel De Radio,,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,25000,20000,,ESCRITO ASÍ EN INVENTARIO,
GOLF 2004,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BOMBA DE ALTA,Bomba De Alta,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BOMBA DE COMBUSTIBLE,Bomba De Combustible,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BOMBA DE FRENO,Bomba De Freno,,DISPONIBLE,SANTIAGO,45000,40000,,,
GOLF 2004,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BOMBA HIDRÁULICA,Bomba Hidráulica,,DISPONIBLE,SANTIAGO,60000,50000,,,
GOLF 2004,BOTÓN ALZAVIDRIO PUERTA TRASERA LH,Botón Alzavidrio Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,BOTÓN ALZAVIDRIO PUERTA TRASERA RH,Botón Alzavidrio Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,BOTON HAZARD,Boton Hazard,,VENDIDO,SANTIAGO,15000,10000,,,
GOLF 2004,BOTONERA DELANTERA LH,Botonera Delantera,Delantera Izquierda,NO DISPONIBLE,N/A,,,,,
GOLF 2004,BRAZO LIMPIAPARABRISAS DELANTERO LH,Brazo Limpiaparabrisas Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BRAZO LIMPIAPARABRISAS DELANTERO RH,Brazo Limpiaparabrisas Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,BRAZO LIMPIAPARABRISAS TRASERO ,Brazo Limpiaparabrisas Trasero ,Trasera,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,CAJA,Caja,,VENDIDO,SANTIAGO,350000,320000,,,
GOLF 2004,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
GOLF 2004,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
GOLF 2004,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CAÑERÍA HIDRÁULICA,Cañería Hidráulica,,DISPONIBLE,SANTIAGO,,,,REVISAR SI LLEGÓ O ESTÁ MAL ESCRITA,Requiere revisión
GOLF 2004,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,CAPOT,Capot,,VENDIDO,SANTIAGO,70000,60000,,TIENE DETALLE,
GOLF 2004,CATALÍTICO (DIÉSEL),Catalítico (Diésel),,VENDIDO,SANTIAGO,60000,50000,,IVÁN,Persona en nota
GOLF 2004,CHAPA CAPOT ,Chapa Capot ,,DISPONIBLE,SANTIAGO,30000,25000,,,
GOLF 2004,CHAPA DE CONTACTO,Chapa De Contacto,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,30000,25000,,,
GOLF 2004,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,40000,35000,,,
GOLF 2004,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CHAPA PUERTA TRASERA LH,Chapa Puerta Trasera,Trasera Izquierda,VENDIDO,SANTIAGO,40000,35000,,,
GOLF 2004,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CILINDRO CHAPA PUERTA,Cilindro Chapa Puerta,,DISPONIBLE,,15000,10000,,,Sin ubicación
GOLF 2004,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,20000,20000,,,
GOLF 2004,CINTURÓN TRASERO LH,Cinturón Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,CINTURÓN TRASERO RH,Cinturón Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,COLECTOR DE ADMISION ,Colector De Admision ,,DISPONIBLE,SANTIAGO,45000,40000,,,
GOLF 2004,COMPRESOR DE AIRE,Compresor De Aire,,DISPONIBLE,SANTIAGO,85000,80000,,,
GOLF 2004,CONSOLA CENTRAL,Consola Central,Central,NO DISPONIBLE,SANTIAGO,,,,MALA,
GOLF 2004,CONTROL DE CALEFACCIÓN,Control De Calefacción,,DISPONIBLE,SANTIAGO,25000,20000,,,
GOLF 2004,CONTROLADOR LUCES,Controlador Luces,,DISPONIBLE,,20000,25000,,,Sin ubicación
GOLF 2004,CREMALLERA DE ALZAVIDRIOS DELANTERA LH,Cremallera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CREMALLERA DE ALZAVIDRIOS DELANTERA RH,Cremallera De Alzavidrios Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,CREMALLERA DE ALZAVIDRIOS TRASERA LH,Cremallera De Alzavidrios Trasera,Trasera Izquierda,VENDIDO,SANTIAGO,35000,30000,,,
GOLF 2004,CREMALLERA DE ALZAVIDRIOS TRASERA RH,Cremallera De Alzavidrios Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
GOLF 2004,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,SANTIAGO,90000,80000,,,
GOLF 2004,CUBRE CARTER,Cubre Carter,,VENDIDO,SANTIAGO,,,,,
GOLF 2004,CUBRE EQUIPAJE,Cubre Equipaje,,VENDIDO,SANTIAGO,25000,20000,,"CON DETALLE, PEDIR FOTOS",Requiere revisión
GOLF 2004,CUBRE TORPEDO,Cubre Torpedo,,NO DISPONIBLE,,,,,,Sin ubicación
GOLF 2004,CUNA,Cuna,,DISPONIBLE,SANTIAGO,70000,60000,,,
GOLF 2004,DEPÓSITO DE AGUA O LÍQUIDO REFRIGERANTE ,Depósito De Agua O Líquido Refrigerante ,,DISPONIBLE,SANTIAGO,20000,20000,,RADIADOR,
GOLF 2004,DEPÓSITO LIMPIAPARABRISAS,Depósito Limpiaparabrisas,,DISPONIBLE,SANTIAGO,35000,30000,,,
GOLF 2004,DEPÓSITO LÍQUIDO HIDRÁULICO,Depósito Líquido Hidráulico,,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,DISCO DE FRENO DELANTERO LH,Disco De Freno Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,DISCO DE FRENO DELANTERO RH,Disco De Freno Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,DISCO DE FRENO TRASERO LH,Disco De Freno Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,ECU,Ecu,,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,EJE PALIER LH,Eje Palier,Izquierda,DISPONIBLE,SANTIAGO,65000,60000,,,
GOLF 2004,EJE PALIER RH,Eje Palier,Derecha,DISPONIBLE,SANTIAGO,75000,70000,,,
GOLF 2004,EJE TRASERO COMO ESTÁ EN LA FOTO,Eje Trasero Como Está En La Foto,Trasera,VENDIDO,SANTIAGO,60000,55000,,,
GOLF 2004,ELECTROVENTILADOR,Electroventilador,,DISPONIBLE,SANTIAGO,85000,80000,,,
GOLF 2004,ESPEJO CENTRAL,Espejo Central,Central,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,ESPEJO LH,Espejo,Izquierda,VENDIDO,SANTIAGO,25000,20000,,,
GOLF 2004,ESPEJO RH,Espejo,Derecha,VENDIDO,SANTIAGO,25000,20000,,,
GOLF 2004,FLUJÓMETRO ,Flujómetro ,,DISPONIBLE,SANTIAGO,45000,40000,,,
GOLF 2004,FOCO TRASERO LH,Foco Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
GOLF 2004,FOCO TRASERO RH,Foco Trasero,Trasera Derecha,VENDIDO,SANTIAGO,40000,35000,,,
GOLF 2004,FRONTAL,Frontal,,VENDIDO,SANTIAGO,75000,70000,,,
GOLF 2004,FUNDA DE PARACHOQUE DELANTERO ,Funda De Parachoque Delantero ,Delantera,VENDIDO,SANTIAGO,55000,45000,,,
GOLF 2004,FUNDA DE PARACHOQUE TRASERO,Funda De Parachoque Trasero,Trasera,DISPONIBLE,SANTIAGO,65000,55000,,,
GOLF 2004,GOMA CONTORNO DE PUERTA DELANTERA RH,Goma Contorno De Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,GOMA CONTORNO DE PUERTA TRASERA LH,Goma Contorno De Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,GOMA CONTORNO DE PUERTA TRASERA RH,Goma Contorno De Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,GOMA CONTORNO DE TECHO LH,Goma Contorno De Techo,Izquierda,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,GOMA CUBRE TORPEDO,Goma Cubre Torpedo,,VENDIDO,SANTIAGO,,,,,
GOLF 2004,GOMA TRASERA CAPOT,Goma Trasera Capot,Trasera,DISPONIBLE,SANTIAGO,,,,,
GOLF 2004,GUANTERA,Guantera,,VENDIDO,SANTIAGO,35000,30000,,,
GOLF 2004,GUARDAFANGO DELANTERO LH,Guardafango Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
GOLF 2004,GUARDAFANGO TRASERO LH,Guardafango Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,10000,10000,,,
GOLF 2004,GUARDAFANGO TRASERO RH,Guardafango Trasero,Trasera Derecha,VENDIDO,SANTIAGO,10000,10000,,,
GOLF 2004,INTERCOOLER,Intercooler,,DISPONIBLE,SANTIAGO,45000,40000,,,
