vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
IQ 2019,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,80000.0,75000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-07-16 02:14:41,6b6d11c55a8cfecc12944f081e54997df7b42be7d569c4a7b620400ee8024365,90,NO
IQ 2019,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,70000.0,65000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-07-16 02:14:41,5a15111c23f693666b09761089f3f941019de91d69aee5d9ac9d84c8e1880c46,90,NO
IQ 2019,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-08-15 02:14:41,373e4dd28cdeb3072e3b85e85892c3fa9dce010dcfbe48d41857a7228239a82e,90,NO
IQ 2019,AMORTIGUADOR PORTALÓN,Amortiguador Portalón,,VENDIDO,SANTIAGO,15000.0,10000.0,,ES UNO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR),2025-07-16 02:14:41,a484cec2f4082202d361cbd47330c6593ab14fadbc533fe912455c6211441725,90,NO
IQ 2019,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,10000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-08-15 02:14:41,fb68cfaec01f2baaf1a05cf1bf8fd2452b50b9988e2710ad9cc8e7ada6e10a44,90,NO
IQ 2019,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,10000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-08-15 02:14:41,728c87e5fd396e38452010edd2cae02dde6633f6a0241ece76c3b1ba48451acb,90,NO
IQ 2019,AMPOLLETA LH PATENTE,Ampolleta Patente,Izquierda,VENDIDO,SANTIAGO,12000.0,10000.0,,,Posición LH detectada,2025-07-16 02:14:41,55a176e2d8f51a1c737ef767637f9d3695d781364db3d7548569241137a28801,100,NO
IQ 2019,ANTENA RADIO,Antena Radio,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-08-15 02:14:41,306810b03273b15ec9380e3f77690bc124c0c55f99d272c5267a5fd00f408b97,100,NO
IQ 2019,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,55000.0,,SIN AIRBAG,Posición LH detectada; Posición DELANTERO detectada,2025-07-16 02:14:41,5f16faf29028097b1d08749c0bbe06b14a6b1150197228f6bb084c55c50b74ef,100,NO
IQ 2019,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,,60000.0,55000.0,,SIN AIRBAG,Posición RH detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-08-15 02:14:41,24f8cd638ceac57135eeec27ccc883428e613bb8e4741797eb708282b08bfd86,90,NO
