vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
IQ 2019,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,80000,75000,,,
IQ 2019,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,70000,65000,,,
IQ 2019,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,55000,50000,,,
IQ 2019,AMORTIGUADOR PORTALÓN,Amortiguador Portalón,,VENDIDO,SANTIAGO,15000,10000,,ES UNO,
IQ 2019,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,10000,10000,,,
IQ 2019,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,10000,10000,,,
IQ 2019,AMPOLLETA LH PATENTE,Ampolleta Patente,Izquierda,VENDIDO,SANTIAGO,12000,10000,,,
IQ 2019,ANTENA RADIO,Antena Radio,,DISPONIBLE,SANTIAGO,20000,15000,,,
IQ 2019,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,55000,,SIN AIRBAG,
IQ 2019,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,,60000,55000,,SIN AIRBAG,Sin ubicación
IQ 2019,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,35000,25000,,,
IQ 2019,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,VENDIDO,SANTIAGO,35000,25000,,,
IQ 2019,BANDEJA TRASERA LARGA LH,Bandeja Trasera Larga,Trasera Izquierda,VENDIDO,SANTIAGO,25000,20000,,,
IQ 2019,BANDEJA TRASERA LARGA RH,Bandeja Trasera Larga,Trasera Derecha,VENDIDO,SANTIAGO,35000,30000,,,
IQ 2019,BARRA ESTABILIZADORA ,Barra Estabilizadora ,,NO DISPONIBLE,SANTIAGO,60000,50000,,,
IQ 2019,BARRA ESTABILIZADORA TRASERA,Barra Estabilizadora Trasera,Trasera,VENDIDO,SANTIAGO,40000,35000,,,
IQ 2019,BASE COMPRESOR AIRE ACONDICIONADO,Base Compresor Aire Acondicionado,,VENDIDO,SANTIAGO,45000,40000,,,
IQ 2019,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,25000,20000,,,
IQ 2019,BASE DEL FILTRO DE ACEITE,Base Del Filtro De Aceite,,DISPONIBLE,SANTIAGO,30000,25000,,,
IQ 2019,BASE DEPÓSITO DE AGUA,Base Depósito De Agua,,DISPONIBLE,,10000,10000,,,Sin ubicación
IQ 2019,BASE LÍQUIDO REFRIGERANTE ,Base Líquido Refrigerante ,,DISPONIBLE,,20000,15000,,,Sin ubicación
IQ 2019,BISAGRA DE CAPOT DELANTERA DERECHA,Bisagra De Capot Delantera Derecha,Delantera,DISPONIBLE,,25000,22000,,,Sin ubicación
IQ 2019,BISAGRA PUERTA DELANTERA DERECHA,Bisagra Puerta Delantera Derecha,Delantera,DISPONIBLE,,15000,12000,,,Sin ubicación
IQ 2019,BISAGRA PUERTA TRASERA DERECHA,Bisagra Puerta Trasera Derecha,Trasera,DISPONIBLE,,15000,12000,,,Sin ubicación
IQ 2019,BISAGRAS PUERTA DELANTERA LH,Bisagras Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,SUPERIOR E INFERIOR,
IQ 2019,BISAGRAS PUERTA TRASERA LH,Bisagras Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,SUPERIOR E INFERIOR,
IQ 2019,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO,
IQ 2019,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,20000,20000,,,
IQ 2019,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,20000,20000,,,
IQ 2019,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,20000,20000,,,
IQ 2019,BOCINA,Bocina,,DISPONIBLE,,20000,15000,,,Sin ubicación
IQ 2019,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,SANTIAGO,15000,10000,,,
IQ 2019,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,SANTIAGO,,,,,
IQ 2019,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,60000,50000,,,
IQ 2019,BOMBA DE FRENO CON DEPÓSITO,Bomba De Freno Con Depósito,,DISPONIBLE,SANTIAGO,35700,30000,,,
IQ 2019,BOMBA HIDRÁULICA,Bomba Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
IQ 2019,BOTÓN DE ALZAVIDRIO TRASERA LH Y RH,Botón De Alzavidrio Trasera Y Rh,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,SE VENDEN JUNTOS,
IQ 2019,BOTONERA DELANTERA CENTRAL,Botonera Delantera Central,Central,VENDIDO,SANTIAGO,15000,10000,,queda solo el rh,
