vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
JOYEAR X3 2019,AMORTIGUADOR RH,Amortiguador,Derecha,DISPONIBLE,SANTIAGO,65000.0,60000.0,,CONFIRMAR LADO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada,2025-08-19 02:14:41,4c590105184b9f698ffa4bad8283a27656f680e360c3d5a0bccb075ecf10f407,90,NO
JOYEAR X3 2019,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,NO DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-08-19 02:14:41,2be23b9c83994430d7279ef76abb79f0c833822747d03445bcfb409efc59afe2,90,NO
JOYEAR X3 2019,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,NO DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-08-19 02:14:41,e2fc060b392f7df742c663494862a82cd6126355a35699332709ffd8aa29d529,90,NO
JOYEAR X3 2019,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,NO DISPONIBLE,N/A,0,0,,,Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-19 02:14:41,00b6da1f04893529ce7094b0f02995a88aac7df9895294b4d5762300d8d65b11,85,NO
JOYEAR X3 2019,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,CONFIRMAR,,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-08-19 02:14:41,91a8e7545d80c738a7f7ca56f129fbc00dcd23df0737de1759f604aa353962b5,75,NO
JOYEAR X3 2019,BANDEJA IZQUIERDA,Bandeja,Izquierda,DISPONIBLE,,35000.0,30000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición IZQUIERDA detectada; Sin ubicación especificada,2025-08-19 02:14:41,1088f910b2f2bf6ab11b2899dbbcdf08bbca87314d8a618ed059c92838fe8d71,80,NO
JOYEAR X3 2019,BOBINA 1,Bobina 1,,VENDIDO,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-07-20 02:14:41,b979caac68ae5e3cbe47c1620961e8cffd71a6f371ec15e13ae05aaf6906d597,90,NO
JOYEAR X3 2019,BOBINA 2,Bobina 2,,VENDIDO,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-07-20 02:14:41,048431090a7d0f9d8bd0111f88eca8fc4678a84f93db59900ad7485be2df941e,90,NO
JOYEAR X3 2019,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-08-19 02:14:41,0c2efdd10df2029ac0f7eeeda890857f7a12aceef0b95366300a21e8e0ce1119,90,NO
JOYEAR X3 2019,BOBINA 4,Bobina 4,,CONFIRMAR,,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA); Sin ubicación especificada,2025-08-19 02:14:41,79acac1ea75ca6fad0e0e91135280d57c785286a23584407b4c60cd2692c92cf,80,NO
JOYEAR X3 2019,BOCINA LH,Bocina,Izquierda,DISPONIBLE,SANTIAGO,12000.0,10000.0,,,Posición LH detectada,2025-08-19 02:14:41,4f75fdd22c01f078ff173e2d1df8bc02747f5876ab8dc8f690c29bcfad0e7f5d,100,NO
