vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
JOYEAR X3 2019,AMORTIGUADOR RH,Amortiguador,Derecha,DISPONIBLE,SANTIAGO,65000,60000,,CONFIRMAR LADO,
JOYEAR X3 2019,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,NO DISPONIBLE,SANTIAGO,25000,20000,,,
JOYEAR X3 2019,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,NO DISPONIBLE,SANTIAGO,25000,20000,,,
JOYEAR X3 2019,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,NO DISPONIBLE,N/A,,,,,
JOYEAR X3 2019,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,CONFIRMAR,,,,,,Sin ubicación
JOYEAR X3 2019,BANDEJA IZQUIERDA,Bandeja Izquierda,,DISPONIBLE,,35000,30000,,,Sin ubicación
JOYEAR X3 2019,BOBINA 1,Bobina 1,,VENDIDO,SANTIAGO,20000,15000,,,
JOYEAR X3 2019,BOBINA 2,Bobina 2,,VENDIDO,SANTIAGO,20000,15000,,,
JOYEAR X3 2019,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,20000,15000,,,
JOYEAR X3 2019,BOBINA 4,Bobina 4,,CONFIRMAR,,20000,15000,,,Sin ubicación
JOYEAR X3 2019,BOCINA LH,Bocina,Izquierda,DISPONIBLE,SANTIAGO,12000,10000,,,
JOYEAR X3 2019,BOCINA RH,Bocina,Derecha,DISPONIBLE,SANTIAGO,12000,10000,,,
JOYEAR X3 2019,BOMBA DE BENCINA ,Bomba De Bencina ,,DISPONIBLE,SANTIAGO,75000,70000,,,
JOYEAR X3 2019,BOMBA DE EMBRAGUE DE CAJA,Bomba De Embrague De Caja,,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,BOMBA DE FRENO,Bomba De Freno,,VENDIDO,SANTIAGO,30000,30000,,,
JOYEAR X3 2019,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,CAJA,Caja,,NO DISPONIBLE,N/A,,,,,
JOYEAR X3 2019,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,CALIPER TRASERO?,Caliper Trasero?,Trasera,DISPONIBLE,SANTIAGO,,,,,
JOYEAR X3 2019,CANISTER,Canister,,DISPONIBLE,SANTIAGO,25000,20000,,,
