vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
KICKS 2019,AIRBAG DE CORTINA LH,Airbag De Cortina,Izquierda,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,AIRBAG DE CORTINA RH,Airbag De Cortina,Derecha,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,90000,80000,,,
KICKS 2019,AMORTIGUADOR DELANTERO LH COMPLETO,Amortiguador Delantero Completo,Delantera Izquierda,DISPONIBLE,SANTIAGO,90000,80000,,,
KICKS 2019,AMORTIGUADOR DELANTERO RH COMPLETO,Amortiguador Delantero Completo,Delantera Derecha,DISPONIBLE,SANTIAGO,90000,80000,,,
KICKS 2019,AMORTIGUADOR PORTALÓN LH,Amortiguador Portalón,Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
KICKS 2019,AMORTIGUADOR PORTALÓN RH,Amortiguador Portalón,Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
KICKS 2019,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,55000,50000,,,
KICKS 2019,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,80000,75000,,,
KICKS 2019,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,35000,30000,,,
KICKS 2019,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,VENDIDO,SANTIAGO,35000,30000,,,
KICKS 2019,BARRA ESTABILIZADORA,Barra Estabilizadora,,DISPONIBLE,,45000,40000,,,Sin ubicación
KICKS 2019,BASE BATERÍA,Base Batería,,DISPONIBLE,,20000,15000,,,Sin ubicación
KICKS 2019,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BASE NEBLINERO LH,Base Neblinero,Izquierda,VENDIDO,SANTIAGO,25000,20000,,,
KICKS 2019,BASE NEBLINERO RH,Base Neblinero,Derecha,VENDIDO,SANTIAGO,25000,20000,,,
KICKS 2019,BASE SOPORTE DE CAJA LH,Base Soporte De Caja,Izquierda,DISPONIBLE,,65000,55000,,,Sin ubicación
KICKS 2019,BIELETA LH,Bieleta,Izquierda,VENDIDO,,15000,10000,,,Sin ubicación
KICKS 2019,BIELETA RH,Bieleta,Derecha,VENDIDO,,15000,10000,,,Sin ubicación
KICKS 2019,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,,25000,20000,,,Sin ubicación
KICKS 2019,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,,25000,20000,,,Sin ubicación
KICKS 2019,BISAGRAS PUERTA DELANTERA LH,Bisagras Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BISAGRAS PUERTA DELANTERA RH,Bisagras Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BISAGRAS PUERTA TRASERA LH,Bisagras Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,,,,,
KICKS 2019,BOBINA 4,Bobina 4,,POR CONFIRMAR,,,,,,Sin ubicación
KICKS 2019,BOCINA,Bocina,,DISPONIBLE,,20000,15000,,,Sin ubicación
KICKS 2019,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,SANTIAGO,50000,45000,,,
KICKS 2019,BOMBA DE BENCINA,Bomba De Bencina,,VENDIDO,SANTIAGO,100000,90000,,,
KICKS 2019,BOMBA DE EMBRAGUE,Bomba De Embrague,,VENDIDO,SANTIAGO,60000,50000,,,
KICKS 2019,BOTÓN DE ALZAVIDRIOS DELANTERA RH,Botón De Alzavidrios Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
KICKS 2019,BOTÓN DE ALZAVIDRIOS TRASERA LH,Botón De Alzavidrios Trasera,Trasera Izquierda,DISPONIBLE,,25000,20000,,,Sin ubicación
KICKS 2019,BOTÓN DE ALZAVIDRIOS TRASERA RH,Botón De Alzavidrios Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
KICKS 2019,BOTÓN DE ENCENDIDO CON EMBELLECEDOR,Botón De Encendido Con Embellecedor,,DISPONIBLE,,45000,40000,,,Sin ubicación
KICKS 2019,BOTÓN PORTALÓN ,Botón Portalón ,,VENDIDO,SANTIAGO,20000,15000,,,
KICKS 2019,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,55000,50000,,,
KICKS 2019,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
