vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
KWID 2021,AMORTIGUADOR TRASERO,Amortiguador,Trasera,DISPONIBLE,SANTIAGO,0,0,,LADO POR CONFIRMAR,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,2d24770411a2ed0c2e81c7e42e136b83bd19e5440e2bda98d6804c25bbad5832,65,SI
KWID 2021,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,,45000.0,40000.0,,,Posición RH detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-08-26 02:14:41,d7ac3671a12c3156390539cc6e2734cdc7e50aeeb79e20accc1cebc9d30d076a,90,NO
KWID 2021,BASE DE TERMOSTATO,BASE DE Termostato,,DISPONIBLE,SANTIAGO,0,0,,CON DETALLE,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,8a8e9af8f05c7ded8681b6bb4792daa5d3b589dd545f933f252d7c862067fc1c,75,NO
KWID 2021,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta,Derecha Trasera,VENDIDO,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,331f9017d09b64c6f2213b752d06ac161f69228e0e49c91a12cef3198a2c1a10,85,NO
KWID 2021,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,acfe4ed6b676de81083d5a5b98d48e9d30cd7b259c3de6547fb3876ecfee4b92,65,SI
KWID 2021,CAJA,CAJA,,VENDIDO,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,3e5c6db59a7df18ff6aa6912bd4ab87dff5fbcf7344bea3be0e8f18cf9617ff0,85,NO
KWID 2021,CALIPER DELANTERO LH,Caliper,Izquierda Delantera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-08-26 02:14:41,2e7ea77abbf568c5c3e6cf5b16ed816ecdd85da2f07543d55d0ca60d8a025917,100,NO
KWID 2021,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,3a84c61530484b9f230c25c229c1eb2eb978926cf01e0755e081cfb32f44ce37,75,NO
KWID 2021,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,0,0,,AL MONTÓN,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,5fe091cd9d15debb29730fd98999036f5717eca81ef6440f4bb5dc2916dcbd39,85,NO
KWID 2021,CHAPA CAPOT,Chapa CAPÓ,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-08-26 02:14:41,4cff771da8057bcc6e360590ff34555f6c034ad273dab5740ba1b9281c819b7d,90,NO
KWID 2021,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-08-26 02:14:41,28317f459230be2005f94de0c63fbd03a7b8dace3e5738ba03363e8d93867fb5,100,NO
KWID 2021,CHAPA TRASERA RH,Chapa,Derecha Trasera,VENDIDO,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-07-27 02:14:41,2cf76a3b6cff197df3749847bb26948aca10451b6b90b31b44ba29a8b04a227e,100,NO
KWID 2021,CINTA DE AIRBAG,Cinta DE Airbag,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,f7248aa266b6f4012b8d934d7386de5518b817218c5c15142756344d564872c5,75,NO
KWID 2021,COLUMNA DE DIRECCIÓN ELECTRONICA,Columna DE Dirección Electrónicoa,,DISPONIBLE,SANTIAGO,95000.0,90000.0,,,ELECTRONIC mal escrito (debería ser ELECTRÓNICO),2025-08-26 02:14:41,b911e2b9ecc17fbd49e1c6b065a4c8b05c829d12fbd3e8317d0862d3e5ea2a50,90,NO
KWID 2021,COMPRESOR DE AIRE ACONDICIONADO,Compresor DE AIRE Acondicionado,,VENDIDO,SANTIAGO,100000.0,90000.0,,,COMPRESOR mal escrito (debería ser COMPRESOR); AIRE mal escrito (debería ser AIRE),2025-07-27 02:14:41,d4e9bd1da2ade6a8d3dc3cb3878244bc86862400069f923c0823baa673e40454,90,NO
KWID 2021,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,,2025-08-26 02:14:41,fdcebf443f735c36ab90b4aeb17843627e534ddfb26d7379a954280fb426244f,100,NO
KWID 2021,DEPÓSITO LIMPIAPARABRISAS,Depósito Limpiaparabrisass,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS),2025-08-26 02:14:41,77f7c35ecc5b7fa316a7c6ec8f47f55000c07567892e71ff3d495deb5b2e2803,90,NO
KWID 2021,DISCO DELANTERO LH,Disco,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,DISCO mal escrito (debería ser DISCO); Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,ab39319906ff84c0763f6fab4c3c229a611acb0956bc0a387a3180884b05485e,65,SI
KWID 2021,EJE PALIER LH CON DETALLE SIN TERMINALES,EJE Palier CON Detalle SIN Terminales,Izquierda,DISPONIBLE,,55000.0,50000.0,,N9 DISPONIBLE,TERMINAL mal escrito (debería ser TERMINAL); TERMINALES mal escrito (debería ser TERMINALES); Posición LH detectada; Estado 'CON DETALLE' detectado - revisar si es válido; Estado 'DETALLE' detectado - revisar si es válido; Sin ubicación especificada,2025-08-26 02:14:41,6aabc28da16139e9d4b8499ade56e6fb449b5c034ea7c55a88623b44bd96ff37,60,SI
KWID 2021,EJE PALIER RH CON DETALLE SIN TERMINALES,EJE Palier CON Detalle SIN Terminales,Derecha,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,TERMINAL mal escrito (debería ser TERMINAL); TERMINALES mal escrito (debería ser TERMINALES); Posición RH detectada; Estado 'CON DETALLE' detectado - revisar si es válido; Estado 'DETALLE' detectado - revisar si es válido,2025-08-26 02:14:41,07ee348512110c54fe5b25e854438a670570533cf4444aee92a8a74d09e145d7,70,NO
KWID 2021,EJE TRASERO SOLO,EJE SOLO,Trasera,VENDIDO,SANTIAGO,110000.0,100000.0,,,Posición TRASERO detectada,2025-07-27 02:14:41,3fb99d2351ef057da3320e8d1f48224df39e72e30edf10177db4a1aa4a614d61,100,NO
KWID 2021,ESPIRAL TRASERO LH,Espiral,Izquierda Trasera,DISPONIBLE,,25000.0,20000.0,,,Posición LH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-08-26 02:14:41,8dedd8f91f3d7f06a56b9080873af8194754606dc4ae203a0b9a9859df6f7dce,90,NO
KWID 2021,ESPIRAL TRASERO RH,Espiral,Derecha Trasera,DISPONIBLE,,25000.0,20000.0,,,Posición RH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-08-26 02:14:41,2a6be966ad8af75c8810813f3a500c0250fccddc5470cdccf59e9f7b8a97e3d6,90,NO
KWID 2021,FOCO INTERIOR LUZ TECHO,FOCO Interior LUZ Techo,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,e032cab7506c3fd8b23b13f065ddcad0202f386175003355a23d1631837b79c0,75,NO
KWID 2021,GUANTERA,Guantera,,VENDIDO,,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-07-27 02:14:41,0a9194c2b724a97a984cb6831eeb99d09f79e482e3be884a084fbc10552f1f05,75,NO
KWID 2021,INYECTOR 1,Inyector 1,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,INYECTOR mal escrito (debería ser INYECTOR),2025-08-26 02:14:41,3ed18fc4f90cb524c97a3b637f09d63f55674dfda76743b1b5c41593e704fba2,90,NO
KWID 2021,INYECTOR 2,Inyector 2,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,INYECTOR mal escrito (debería ser INYECTOR),2025-08-26 02:14:41,5fb5cf72e6c892d63671cf1c858bd8cea1bf32f6f634798028d9781bff902707,90,NO
KWID 2021,INYECTOR 3,Inyector 3,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,INYECTOR mal escrito (debería ser INYECTOR),2025-08-26 02:14:41,d04fa80bce40021f892b1f0194a51dbb59760972c2d609bea218cd940947b13a,90,NO
KWID 2021,MANGUERA CALEFACCIÓN,Mangueras Calefacción,,VENDIDO,SANTIAGO,25000.0,25000.0,,,MANGUERA mal escrito (debería ser MANGUERAS),2025-07-27 02:14:41,dc44506126834644b57cbdab7035b535c704ef7fd11071369d011e4d4d167c5f,90,NO
KWID 2021,MANILLA EXTERIOR DELANTERA LH,Manilla Exterior,Izquierda Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada; Posición DELANTERA detectada,2025-08-26 02:14:41,6ee8e58cbf75ea4929c39249a1671a118b01dc2e6f6f142602a84e8f697184a5,100,NO
KWID 2021,MANILLA EXTERIOR DELANTERA RH,Manilla Exterior,Derecha Delantera,VENDIDO,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-07-27 02:14:41,d88877598991f7046e5c4b38aa50651697f756be08e82e23184dfeb4bb2f63b2,100,NO
KWID 2021,MANILLA EXTERIOR TRASERA RH,Manilla Exterior,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-08-26 02:14:41,ab45358386942ca19cd1e865f768d6c872b7a1850b39bce07fe78afdddcc953b,100,NO
KWID 2021,MANILLA INTERIOR PUERTA DELANTERA LH,Manilla Interior Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,a8459b5aefbb110e0418db79fccac1c7992c4653516b0fc7b65304aa3e45c639,75,NO
KWID 2021,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,f43ac3785d241a4ae1598fe3b2c67901f748c9a664d2f3b1024c59fc6e855c9d,75,NO
KWID 2021,MANILLA INTERIOR PUERTA TRASERA LH,Manilla Interior Puerta,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,6bf29d3ae16609c4025badba709c153489a10df28b0b0e961bc789e435ac1639,75,NO
KWID 2021,MANILLA INTERIOR PUERTA TRASERA RH,Manilla Interior Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,14344110994a28d8260cfe1e5677e9c74b8eb69ada45697fb45ceb72baec0353,75,NO
KWID 2021,MANILLA PARA ABRIR CAPOT,Manilla PARA Abrir CAPÓ,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-08-26 02:14:41,093ad020031066005bb8f8390cf9a943834446322ef2c1cc8d8d68f762c662e8,90,NO
KWID 2021,MANILLA PARA ABRIR PORTALÓN,Manilla PARA Abrir Portalón,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-08-26 02:14:41,a9e82a13f42e5b5364462d3b896bc9c67ceeefc3dd6e72a6585ec41c59d1f941,100,NO
KWID 2021,MANILLA PARA ABRIR TAPA DE BENCINA,Manilla PARA Abrir TAPA DE Bencina,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-08-26 02:14:41,57b3120dab44417b7093c32b3b18f45eefa80a1a197e75937173d7c34f4a8f9d,100,NO
KWID 2021,MAZA TRASERA CON TAMBOR RH,MAZA CON Tambor,Derecha Trasera,VENDIDO,SANTIAGO,75000.0,65000.0,,,TAMBOR mal escrito (debería ser TAMBOR); Posición RH detectada; Posición TRASERA detectada,2025-07-27 02:14:41,22d1d8f302148b363354e89d56b342b22f88756bf4e216729472262f83ace692,90,NO
KWID 2021,MÉNSULA TRASERA LH,Ménsula,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,247071370cff86d9a58389f213e17d6aab2b14cc6fb4ca8209a24e87d12b3b18,75,NO
KWID 2021,MÉNSULA TRASERA RH,Ménsula,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,9ac7f3b900fcc7a30aaabd66ebed2d3ca115844c8ef618043ef2939021e88807,75,NO
KWID 2021,MOLDURA PUERTA DELANTERA LH,Moldura Puerta,Izquierda Delantera,VENDIDO,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,5074fe987be74e9fee16f9f902eeb4442105ad75727d35753fd0941699a956f9,85,NO
KWID 2021,MOLDURA PUERTA DELANTERA RH,Moldura Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,35000.0,32000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-08-26 02:14:41,5eae82e36792ef55ae5040ee348f98f6fa4c5244450f6aa026ace4ddaf996e53,100,NO
KWID 2021,MOLDURA PUERTA TRASERA LH,Moldura Puerta,Izquierda Trasera,VENDIDO,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,b2bb3265821a34d5a21b6434e613bcc65ca41db1a5d627a39291f02d7a51d2e9,85,NO
KWID 2021,MOLDURA PUERTA TRASERA RH,Moldura Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,35000.0,32000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-08-26 02:14:41,4f89d8757fc2ea5307e3e3724373bfd7f6d68b2b4a6354c60d8b9355514f1a19,100,NO
KWID 2021,MOLDURA TABABARRO TRASERA RH,Moldura Tababarro,Derecha Trasera,VENDIDO,,35000.0,30000.0,,,Posición RH detectada; Posición TRASERA detectada; Sin ubicación especificada,2025-07-27 02:14:41,fc2a925b5e7d4eb50c20e7888ed5f0992d98a7e62f5f563ee8102bdea5bcf3df,90,NO
KWID 2021,MOTOR,Motor,,VENDIDO,SANTIAGO,700000.0,650000.0,,,,2025-07-27 02:14:41,5200342ba8777db940c1444d20e3a8e683f058ac29e00090509ec9eda09e4068,100,NO
KWID 2021,MUÑON DELANTERO LH,Muñón,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,55000.0,,,MUÑON mal escrito (debería ser MUÑÓN); Posición LH detectada; Posición DELANTERO detectada,2025-07-27 02:14:41,5bdadc3fc984b2e5706af3424078bf9ca8f450b98aa8ff0185f759f48c1eec8c,90,NO
KWID 2021,PALANCA DE CAMBIOS,Palanca DE Cambios,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,98f060c43b7810e3c13fbd4f33fd6cacfa34596126a1024996c8a8a25e405be9,75,NO
KWID 2021,PARASOL RH,Parasol,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,16f208c33d06d6c0acc6391e0c798491836facd92772908243f0f5bb3fab3717,75,NO
KWID 2021,PEDAL ACELERACIÓN,Pedal Aceleración,,DISPONIBLE,,80000.0,70000.0,,,Sin ubicación especificada,2025-08-26 02:14:41,c3295fcf3df12e24896543eac14d596e97f912d1036c82870bf9336d295cdbb2,90,NO
KWID 2021,PUERTA DELANTERA SOLO LATA RH,Puerta SOLO LATA,Derecha Delantera,VENDIDO,SANTIAGO,120000.0,110000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-07-27 02:14:41,ae038ffbdac26b04e4c377566065d7aa0b0e559f46568326daf9c9e8382a3542,100,NO
KWID 2021,PUERTA TRASERA RH SOLO LATA,Puerta SOLO LATA,Derecha Trasera,VENDIDO,SANTIAGO,90000.0,85000.0,,PRECIO ACTUALIZADO,Posición RH detectada; Posición TRASERA detectada,2025-07-27 02:14:41,45cadb5d35b84282373f64a2903d9699e1ce2983089786eea5ea176c66caba3a,100,NO
KWID 2021,RIEL DE INYECCIÓN CON LOS 2 RIELES,RIEL DE Inyección CON LOS 2 Rieles,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,,2025-08-26 02:14:41,d764c56f3715f47bfb11e71262a24e8c6ec2aa5d85896eccdcae596d3c023660,100,NO
KWID 2021,RIEL DE INYECCIÓN SOLO,RIEL DE Inyección SOLO,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,,2025-08-26 02:14:41,edc4da000a39b8641dccc85a992d4f1cac33a5feae8931901b9fb3b40c1e7582,100,NO
KWID 2021,TAMBOR Y BALATA LH,Tambor Y Balata,Izquierda,VENDIDO,SANTIAGO,0,0,,,TAMBOR mal escrito (debería ser TAMBOR); Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,452c230fda1bfd9985191cad27e1e9510ff7c32d83ad1530a6ab037f43d4b203,75,NO
KWID 2021,TAMBOR Y BALATA RH,Tambor Y Balata,Derecha,VENDIDO,SANTIAGO,0,0,,,TAMBOR mal escrito (debería ser TAMBOR); Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-07-27 02:14:41,4472c864818567dd81e25821499ce466db9a25a913fb0e40f3594674c9785687,75,NO
KWID 2021,TAPA DE BENCINA EXTERIOR,TAPA DE Bencina Exterior,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,3ad692301391af896fdc75e158957044fbb9ea84b46c029846dd4a78c1ac07de,75,NO
KWID 2021,VARILLA CAPOT,Varilla CAPÓ,,DISPONIBLE,SANTIAGO,0,0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,f902e30717a25c7fb2077dbd0bd21900f4b1e3d50cef7bc552830db8cdf8602f,65,SI
KWID 2021,VIDRIO PUERTA TRASERA RH,Vidrio Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-26 02:14:41,9993930f79c93dbfd74c44fabcdd588374aa73ebb125814239043f3ebf60e074,75,NO
KWID 2021,VOLANTE DE INERCIA,Volante DE Inercia,,DISPONIBLE,,90000.0,85000.0,,,VOLANTE mal escrito (debería ser VOLANTE); Sin ubicación especificada,2025-08-26 02:14:41,988417cdadda35c01b2bf3c19911c33eea1dca5aa2addda00cd48ecf023134d9,80,NO
