vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
KWID 2021,AMORTIGUADOR TRASERO,Amortiguador Trasero,Trasera,DISPONIBLE,SANTIAGO,,,,LADO POR CONFIRMAR,
KWID 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,,45000,40000,,,Sin ubicación
KWID 2021,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,,,,CON DETALLE,
KWID 2021,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta Trasera,Trasera Derecha,VENDIDO,SANTIAGO,,,,,
KWID 2021,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,CAJA,Caja,,VENDIDO,SANTIAGO,,,,,
KWID 2021,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
KWID 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,,,,AL MONTÓN,
KWID 2021,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,20000,15000,,,
KWID 2021,CHAPA TRASERA RH,Chapa Trasera,Trasera Derecha,VENDIDO,SANTIAGO,25000,20000,,,
KWID 2021,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,COLUMNA DE DIRECCIÓN ELECTRONICA,Columna De Dirección Electronica,,DISPONIBLE,SANTIAGO,95000,90000,,,
KWID 2021,COMPRESOR DE AIRE ACONDICIONADO,Compresor De Aire Acondicionado,,VENDIDO,SANTIAGO,100000,90000,,,
KWID 2021,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,75000,70000,,,
KWID 2021,DEPÓSITO LIMPIAPARABRISAS,Depósito Limpiaparabrisas,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,DISCO DELANTERO LH ,Disco Delantero ,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,EJE PALIER LH CON DETALLE SIN TERMINALES,Eje Palier Con Detalle Sin Terminales,Izquierda,DISPONIBLE,,55000,50000,,N9 DISPONIBLE ,Daños; Sin ubicación
KWID 2021,EJE PALIER RH CON DETALLE SIN TERMINALES,Eje Palier Con Detalle Sin Terminales,Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,Daños
KWID 2021,EJE TRASERO SOLO,Eje Trasero Solo,Trasera,VENDIDO,SANTIAGO,110000,100000,,,
KWID 2021,ESPIRAL TRASERO LH,Espiral Trasero,Trasera Izquierda,DISPONIBLE,,25000,20000,,,Sin ubicación
KWID 2021,ESPIRAL TRASERO RH,Espiral Trasero,Trasera Derecha,DISPONIBLE,,25000,20000,,,Sin ubicación
KWID 2021,FOCO INTERIOR LUZ TECHO ,Foco Interior Luz Techo ,,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,GUANTERA,Guantera,,VENDIDO,,,,,,Sin ubicación
KWID 2021,INYECTOR 1,Inyector 1,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,INYECTOR 2,Inyector 2,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,INYECTOR 3,Inyector 3,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MANGUERA CALEFACCIÓN,Manguera Calefacción,,VENDIDO,SANTIAGO,25000,25000,,,
KWID 2021,MANILLA EXTERIOR DELANTERA LH,Manilla Exterior Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MANILLA EXTERIOR DELANTERA RH,Manilla Exterior Delantera,Delantera Derecha,VENDIDO,SANTIAGO,25000,20000,,,
KWID 2021,MANILLA EXTERIOR TRASERA RH,Manilla Exterior Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MANILLA INTERIOR PUERTA DELANTERA LH,Manilla Interior Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,MANILLA INTERIOR PUERTA TRASERA LH,Manilla Interior Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,MANILLA INTERIOR PUERTA TRASERA RH,Manilla Interior Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
KWID 2021,MANILLA PARA ABRIR CAPOT,Manilla Para Abrir Capot,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MANILLA PARA ABRIR PORTALÓN,Manilla Para Abrir Portalón,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MANILLA PARA ABRIR TAPA DE BENCINA,Manilla Para Abrir Tapa De Bencina,,DISPONIBLE,SANTIAGO,25000,20000,,,
KWID 2021,MAZA TRASERA CON TAMBOR RH,Maza Trasera Con Tambor,Trasera Derecha,VENDIDO,SANTIAGO,75000,65000,,,
