vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
MAZDA 3 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-08-30 02:14:41,c4275038f5a0656b69bb90fe0973213bbab90c996a6771ea7f8afc955049df2e,90,NO
MAZDA 3 2021,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-07-31 02:14:41,e6f0544374c5ff70d923767d6f6ea5e89067e22559f55e6111b28bf1af2e8f5e,90,NO
MAZDA 3 2021,AMORTIGUADOR TRASER LH,Amortiguador Traser,Izquierda,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada,2025-08-30 02:14:41,b49f2f236002ce644f5954f3e1d7a20e4997d8e15d4626d563425a14c9748015,90,NO
MAZDA 3 2021,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-08-30 02:14:41,668a6f0ce98438ffcb1aabcdf5609f2979473f5dc2a0e7d83eefdb67b05e8146,90,NO
MAZDA 3 2021,APOYA BRAZO CENTRAL,Apoya Brazo,Central,VENDIDO,SANTIAGO,35000.0,30000.0,,,BRAZO mal escrito (debería ser BRAZO); Posición CENTRAL detectada,2025-07-31 02:14:41,e1d9ba4f41dd01484054efcfd9273c72be89de2490c6f90fc5b30777979c40c8,90,NO
MAZDA 3 2021,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,50000.0,40000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-07-31 02:14:41,3161950403d51b4a456254df14f4bb33bfde0af9a10acc8a6ee28144cf977350,100,NO
MAZDA 3 2021,ASIENTO DELANTERTO LH,Asiento Delanterto,Izquierda,VENDIDO,SANTIAGO,50000.0,40000.0,,,Posición LH detectada,2025-07-31 02:14:41,45cad7b5fa8bf660cb00f1d0a93f457d88f893afe16d9f60d0834e1ca038d278,100,NO
MAZDA 3 2021,ASIENTOS TRASEROS,Asientos,Trasera,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,Posición TRASEROS detectada,2025-08-30 02:14:41,78b7ef4bcce895884f4dad1726dba86d12f03a8570a3ea297a059307d428f728,100,NO
MAZDA 3 2021,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-08-30 02:14:41,e793749c810f70ff9fe655a676f90daa2ce5ca92ac4d4c2f9b8f8565cd8c2894,90,NO
MAZDA 3 2021,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,NO DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-30 02:14:41,8e3a1f07afd3748c572c51af5ad4b3430d35a36353ee7110e2a26d66d3e21c43,75,NO
