vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
MAZDA 3 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000,70000,,,
MAZDA 3 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,60000,50000,,,
MAZDA 3 2021,AMORTIGUADOR TRASER LH ,Amortiguador Traser ,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
MAZDA 3 2021,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
MAZDA 3 2021,APOYA BRAZO CENTRAL,Apoya Brazo Central,Central,VENDIDO,SANTIAGO,35000,30000,,,
MAZDA 3 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,50000,40000,,,
MAZDA 3 2021,ASIENTO DELANTERTO LH,Asiento Delanterto,Izquierda,VENDIDO,SANTIAGO,50000,40000,,,
MAZDA 3 2021,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,SANTIAGO,50000,40000,,,
MAZDA 3 2021,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
MAZDA 3 2021,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BANDEJA TRASERA INFERIOR LH,Bandeja Trasera Inferior,Trasera Izquierda,DISPONIBLE,SANTIAGO,50000,40000,,,
MAZDA 3 2021,BANDEJA TRASERA RH,Bandeja Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,50000,40000,,,
MAZDA 3 2021,BANDEJA TRASERA SUPERIOR LH,Bandeja Trasera Superior,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BARRA ESTABILIZADORA CON BILETA LH,Barra Estabilizadora Con Bileta,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
MAZDA 3 2021,BASE DE SOPORTE DE CAJA,Base De Soporte De Caja,,DISPONIBLE,SANTIAGO,25000,20000,,,
MAZDA 3 2021,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BISAGRA DE CAPOT LH,Bisagra De Capot,Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
MAZDA 3 2021,BISAGRA DE CAPOT RH,Bisagra De Capot,Derecha,NO DISPONIBLE,N/A,,,,MALA,
MAZDA 3 2021,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BISAGRA MALETA RH,Bisagra Maleta,Derecha,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BISEL DE CONTROL DE CALEFACCIÓN,Bisel De Control De Calefacción,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BISEL DE TABLERO DESDE VENTILACION HASTA GUANTERA ,Bisel De Tablero Desde Ventilacion Hasta Guantera ,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,,,,,
MAZDA 3 2021,BOCINA LH,Bocina,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
MAZDA 3 2021,BOCINA RH,Bocina,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
