vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
MEGANE II 2007,AMORTIGUADOR MALETA LH,Amortiguador Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada,2025-09-03 02:14:41,e046ebcaf60f55e644d23e0f374523efc92ffa8fc4b208708ad12c8672054431,90,NO
MEGANE II 2007,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada,2025-09-03 02:14:41,b63a7d2a609e6856cd77bd896e5246e4eb4c4744525a47599842f30acf72f0b5,90,NO
MEGANE II 2007,BISAGRA DE CAPOT LH,Bisagra DE CAPÓ,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición LH detectada,2025-09-03 02:14:41,0888547130dab9ef3788c1849f2ca6bfe2ad62f87dc2da3ff27d7bb7686d429b,90,NO
MEGANE II 2007,BISAGRA DE CAPOT RH,Bisagra DE CAPÓ,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición RH detectada,2025-09-03 02:14:41,1125b42d3fcec94dee5084e4e3aa0f4e8813d130b3ca681944717f597f2f3052,90,NO
MEGANE II 2007,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición LH detectada,2025-09-03 02:14:41,fcc1084e221ed72104038a2be309e1bf3b7e30fcdb114528ad2db0604deedee1,100,NO
MEGANE II 2007,BISAGRA MALETA RH,Bisagra Maleta,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,Posición RH detectada,2025-09-03 02:14:41,0545b57439c43324d7a66a0425b66f9863501b60d5b085cf596969194cd1395e,100,NO
MEGANE II 2007,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-09-03 02:14:41,62682f7356c7cb535a0211ff1649a7e2fc4a4df043ade188dae5c18b7240b9aa,90,NO
MEGANE II 2007,CAJA,CAJA,,NO DISPONIBLE,N/A,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-03 02:14:41,fa826ac46a98a3cc16b4bb14508e2e4005db3f4a6a9810ea4175704d42f8f828,85,NO
MEGANE II 2007,CAPOT,CAPÓ,,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-09-03 02:14:41,46d0bdbe09fd450be62ac844933499e04c9115ad9fe62b59df406c3c1dd7330a,90,NO
MEGANE II 2007,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-09-03 02:14:41,942bd4ee0411614da4421c23cdb1de47a64c59c5e4e41f3baa000d2d97870df3,100,NO
MEGANE II 2007,CHAPA PUERTA DELANTERA LH,Chapa Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada; Posición DELANTERA detectada,2025-09-03 02:14:41,d07e26800158ee5605b8e58e9f5423db6d2969e006ee0565009812e39b9f3e1c,100,NO
MEGANE II 2007,CHAPA PUERTA DELANTERA RH,Chapa Puerta,Derecha Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición DELANTERA detectada,2025-09-03 02:14:41,a82ba29bb8d2dbcb6c043a375eb497dcfbb2c42b09a4fac9468c501c14c7b3c3,100,NO
MEGANE II 2007,CHAPA PUERTA TRASERA LH,Chapa Puerta,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada; Posición TRASERA detectada,2025-09-03 02:14:41,ce308cf0d6b890a6e3e51ee7cf46d6dd5dd0415c3cab443b15725f120b418fe6,100,NO
MEGANE II 2007,CHAPA PUERTA TRASERA RH,Chapa Puerta,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición TRASERA detectada,2025-09-03 02:14:41,a51b3995cd21c4ae77397c15a11c9a864788d037eb62f281020867ea851c1484,100,NO
