vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
MEGANE II 2007,AMORTIGUADOR MALETA LH,Amortiguador Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,BISAGRA DE CAPOT LH,Bisagra De Capot,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,BISAGRA DE CAPOT RH,Bisagra De Capot,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,BISAGRA MALETA RH,Bisagra Maleta,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
MEGANE II 2007,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,60000,50000,,,
MEGANE II 2007,CAJA,Caja,,NO DISPONIBLE,N/A,,,,,
MEGANE II 2007,CAPOT,Capot,,DISPONIBLE,SANTIAGO,50000,40000,,,
MEGANE II 2007,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,CHAPA PUERTA TRASERA LH,Chapa Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,NO DISPONIBLE,N/A,,,,,
MEGANE II 2007,CUBRE TORPEDO,Cubre Torpedo,,DISPONIBLE,SANTIAGO,,,,,
MEGANE II 2007,EJE PALIER LH,Eje Palier,Izquierda,NO DISPONIBLE,N/A,,,,,
MEGANE II 2007,EJE PALIER RH,Eje Palier,Derecha,NO DISPONIBLE,N/A,,,,,
MEGANE II 2007,ESPEJO LH,Espejo,Izquierda,VENDIDO,SANTIAGO,15000,10000,,CON DETALLE,
MEGANE II 2007,ESPEJO RH,Espejo,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
MEGANE II 2007,FOCO TRASERO LH,Foco Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,,
MEGANE II 2007,FOCO TRASERO RH,Foco Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
MEGANE II 2007,MALETA ,Maleta ,,DISPONIBLE,SANTIAGO,50000,40000,,,
