vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
NEW BALENO 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,70000.0,65000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-09-07 02:14:41,f731927ab7d059c751abc48a634da2c3839c5375505280a2cdbdaf0b4a5ec3e9,90,NO
NEW BALENO 2021,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,,60000.0,55000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-09-07 02:14:41,249f8060fc5286a184527cc47ae559bae80d7e36c4df5d8d4fb2850f89fe8c1a,80,NO
NEW BALENO 2021,AMORTIGUADOR TRASERO,Amortiguador,Trasera,VENDIDO,SANTIAGO,20000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición TRASERO detectada,2025-08-08 02:14:41,5691a448ea476d620b2d3939d10642970124d886d4594595d94e7caf85d5df73,90,NO
NEW BALENO 2021,AMORTIGUADOR TRASERO,Amortiguador,Trasera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición TRASERO detectada,2025-09-07 02:14:41,5691a448ea476d620b2d3939d10642970124d886d4594595d94e7caf85d5df73,90,NO
NEW BALENO 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-09-07 02:14:41,a0d3cfeb56bfe9a433a8e8886324e6dbb45bcd7035d6124f235a8415b618fbe9,90,NO
NEW BALENO 2021,BOBINA 2,Bobina 2,,DISPONIBLE,,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA); Sin ubicación especificada,2025-09-07 02:14:41,cdb0f86f3eaca5e93331d1ad12f064f5760e992d057e2b366a7a1dcd37a795de,80,NO
NEW BALENO 2021,BOBINA 3,Bobina 3,,DISPONIBLE,,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA); Sin ubicación especificada,2025-09-07 02:14:41,eeee7df2f7734750936fe0b09bd947f33e0800996f1a9ae9db5179efbab6ebab,80,NO
NEW BALENO 2021,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-09-07 02:14:41,f268d7c39de0472b2bfbabccf3983719a655a1ce74becd619c6dd42208b0fc8c,90,NO
NEW BALENO 2021,BOMBA DE EMBRAGUE DE CAJA,Bomba DE Embrague DE CAJA,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-07 02:14:41,9ba1f0c1c28e1d4905f55f8464ccdfd27a20b122d36d9674cf077b245564586f,65,SI
NEW BALENO 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba DE Pedal DE Embrague,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-07 02:14:41,1df4082d545ba8f9949df2dc576ea6cf32348c4620d700bc2ff23a9747977994,65,SI
