vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
NEW BALENO 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,70000,65000,,,
NEW BALENO 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,,60000,55000,,,Sin ubic
NEW BALENO 2021,AMORTIGUADOR TRASERO ,Amortiguador Trasero ,Trasera,VENDIDO,SANTIAGO,20000,15000,,,
NEW BALENO 2021,AMORTIGUADOR TRASERO ,Amortiguador Trasero ,Trasera,DISPONIBLE,SANTIAGO,20000,15000,,,
NEW BALENO 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,20000,15000,,,
NEW BALENO 2021,BOBINA 2,Bobina 2,,DISPONIBLE,,20000,15000,,,Sin ubic
NEW BALENO 2021,BOBINA 3,Bobina 3,,DISPONIBLE,,20000,15000,,,Sin ubic
NEW BALENO 2021,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,75000,70000,,,
NEW BALENO 2021,BOMBA DE EMBRAGUE DE CAJA,Bomba De Embrague De Caja,,DISPONIBLE,SANTIAGO,,,,,
NEW BALENO 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
NEW BALENO 2021,BOTONERA DELANTERA LH,Botonera Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,35000,30000,,,
NEW BALENO 2021,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
NEW BALENO 2021,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
NEW BALENO 2021,CAJA,Caja,,VENDIDO,,300000,280000,,,Sin ubic
NEW BALENO 2021,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
NEW BALENO 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
NEW BALENO 2021,CAPOT,Capot,,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,CARTER,Carter,,VENDIDO,SANTIAGO,65000,65000,,,
NEW BALENO 2021,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,,,,,
NEW BALENO 2021,CHUPADOR DE ACEITE ,Chupador De Aceite ,,VENDIDO,SANTIAGO,40000,35000,,,
NEW BALENO 2021,COLUMNA DE DIRECCIÓN ELECTRONICA,Columna De Dirección Electronica,,VENDIDO,SANTIAGO,110000,100000,,,
NEW BALENO 2021,COMPRESOR DE AIRE ACONDICIONADO,Compresor De Aire Acondicionado,,DISPONIBLE,SANTIAGO,110000,100000,,,
NEW BALENO 2021,CONTROL DE ESPEJOS,Control De Espejos,,DISPONIBLE,SANTIAGO,15000,10000,,,
NEW BALENO 2021,CREMALLERA DE ALZAVIDRIO DELANTERA RH,Cremallera De Alzavidrio Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
NEW BALENO 2021,CREMALLERA DE ALZAVIDRIO TRASERA RH,Cremallera De Alzavidrio Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
NEW BALENO 2021,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,SANTIAGO,80000,70000,,,
NEW BALENO 2021,CUBRE CARTER,Cubre Carter,,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,CUBRE EQUIPAJE,Cubre Equipaje,,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,CUBRE RUEDA DE REPUESTO ,Cubre Rueda De Repuesto ,,DISPONIBLE,SANTIAGO,25000,20000,,,
NEW BALENO 2021,CUBRE ZÓCALO LH,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
NEW BALENO 2021,CUBRE ZÓCALO RH,Cubre Zócalo,Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
NEW BALENO 2021,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,50000,40000,,,
NEW BALENO 2021,CUNA,Cuna,,DISPONIBLE,SANTIAGO,70000,60000,,,
NEW BALENO 2021,DISCO DE FRENO DELANTERO LH,Disco De Freno Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
NEW BALENO 2021,DISCO DE FRENO DELANTERO RH,Disco De Freno Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
NEW BALENO 2021,ECU,Ecu,,DISPONIBLE,SANTIAGO,120000,100000,,PRECIO ACTUALIZADO,
NEW BALENO 2021,EJE PALIER RH,Eje Palier,Derecha,VENDIDO,SANTIAGO,65000,60000,,,
NEW BALENO 2021,ESPEJO LH,Espejo,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,CONFIRMAR,
NEW BALENO 2021,ESPEJO RH,Espejo,Derecha,DISPONIBLE,SANTIAGO,35000,30000,,CONFIRMAR ,
NEW BALENO 2021,FOCO TRASERO RH,Foco Trasero,Trasera Derecha,NO DISPONIBLE,SANTIAGO,,,,LO QUEBRARON,
NEW BALENO 2021,FRONTALES,Frontales,,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,FUNDA DE PARACHOQUE DELANTERO,Funda De Parachoque Delantero,Delantera,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,FUNDA DE PARACHOQUE TRASERO,Funda De Parachoque Trasero,Trasera,NO DISPONIBLE,N/A,,,,,
NEW BALENO 2021,GUARDAFANGO DELANTERO RH ,Guardafango Delantero ,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
NEW BALENO 2021,GUARDAFANGO TRASERO LH,Guardafango Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
NEW BALENO 2021,KIT DE AIRBAG,Kit De Airbag,,NO DISPONIBLE,N/A,,,,,Múltiples
