vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
NEW SAIL 2021,ALTERNADOR ,Alternador ,,VENDIDO,SANTIAGO,60000,55000,,,
NEW SAIL 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,AMORTIGUADOR + ESPIRAL + CAZOLETA,
NEW SAIL 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,AMORTIGUADOR + ESPIRAL + CAZOLETA,
NEW SAIL 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,ANTENA,Antena,,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,20000,15000,,,
NEW SAIL 2021,ASIENTO DELANTERO LH (3ER AUTO),Asiento Delantero (3Er Auto),Delantera Izquierda,VENDIDO,SANTIAGO,,,,,
NEW SAIL 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,25000,20000,,,
NEW SAIL 2021,ASIENTOS TRASEROS ,Asientos Traseros ,Trasera,VENDIDO,SANTIAGO,30000,30000,,,
NEW SAIL 2021,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,20000,,,
NEW SAIL 2021,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
NEW SAIL 2021,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
