vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
OPTRA 2009,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-09-15 02:14:41,5e65deda1bcf834dba55b0e3d56d9b6dc190f1b93f73e281f03e949e4d246cc1,90,NO
OPTRA 2009,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-09-15 02:14:41,aa81faea872162b75505aaffd90eb915ac20eff0b5ff8f139fa03773f8684684,90,NO
OPTRA 2009,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,4d72750afffbb5946269ac206b34f1eaa36c97cb0145e5ac923a528d8f8d8d38,65,SI
OPTRA 2009,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,ca356951adae89673bc554c642e486a48bc5cd4304772418db3a732e51db5589,65,SI
OPTRA 2009,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control DE AIRE,,DISPONIBLE,SANTIAGO,0,0,,ESCRITO ASÍ EN INVENTARIO (REVISAR),AIRE mal escrito (debería ser AIRE); CONTROL mal escrito (debería ser CONTROL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,ee06dee06179a7b5c3a8757a521d4ada930315f23e65924f7aea0ba0ca183244,65,SI
OPTRA 2009,BOMBA DE PEDAL DE EMBRAGUE,Bomba DE Pedal DE Embrague,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,054294bcaaf201d5f64b62e9da957861f4c2bc60f1e4be4157b7f858466bbdff,65,SI
OPTRA 2009,CALIPER DELANTERO LH,Caliper,Izquierda Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-09-15 02:14:41,c4fc91425b65305e85770e2a491790c40bfcb8b2333edf8dacbcd788caeeee09,100,NO
OPTRA 2009,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-09-15 02:14:41,8c81590ca619077b3d678a0956a6e8c2d693b545a99b20afa0a4b3e4641bea7f,100,NO
OPTRA 2009,CALIPER TRASERO LH,Caliper,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,0935e0ef9dcfe5cde8e75c2f5fb0df417cef5f550eedd753574cc3131679d823,75,NO
OPTRA 2009,CALIPER TRASERO RH,Caliper,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,40d8dba100f59006ea47555e2a042608e2b43e86801f8831ced65db91a058ec1,75,NO
OPTRA 2009,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías DE AIRE Acondicionado,,DISPONIBLE,SANTIAGO,0,0,,,AIRE mal escrito (debería ser AIRE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-15 02:14:41,b55a199576d7f56455320a2b2881db523b22081a70c0cfa80aa9af89b913a496,65,SI
