vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
OPTRA 2009,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
OPTRA 2009,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
OPTRA 2009,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO (REVISAR),Revisar
OPTRA 2009,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
OPTRA 2009,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
OPTRA 2009,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,45000,40000,,,
OPTRA 2009,CUNA,Cuna,,VENDIDO,SANTIAGO,,,,,
OPTRA 2009,DISCO DE FRENO TRASERO LH,Disco De Freno Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,REVISAR SI SON TRASEROS LOS QUE ESTÁN ACÁ,Revisar
OPTRA 2009,DISCO DE FRENO TRASERO RH,Disco De Freno Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,REVISAR SI SON TRASEROS LOS QUE ESTÁN ACÁ,Revisar
OPTRA 2009,FOCO INTERIOR LUZ TECHO ,Foco Interior Luz Techo ,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,GUARDAFANGO DELANTERO LH,Guardafango Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,GUARDAFANGO DELANTERO RH,Guardafango Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,GUARDAFANGO TRASERO LR,Guardafango Trasero Lr,Trasera,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,GUARDAFANGO TRASERO RH,Guardafango Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,KIT DE AIRBAG,Kit De Airbag,,DISPONIBLE,SANTIAGO,150000,140000,,,Múltiples
OPTRA 2009,LLANTA CON NEUMÁTICO 1,Llanta Con Neumático 1,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,MALETA,Maleta,,VENDIDO,,30000,25000,,,Sin ubic
OPTRA 2009,MANILLA EXTERIOR DELANTERA RH,Manilla Exterior Delantera,Delantera Derecha,VENDIDO,SANTIAGO,10000,10000,,,
OPTRA 2009,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,MAZA Y RODAMIENTO DELANTERO LH,Maza Y Rodamiento Delantero,Delantera Izquierda,DISPONIBLE,,45000,40000,,,Sin ubic
OPTRA 2009,MAZA Y RODAMIENTO DELANTERO RH,Maza Y Rodamiento Delantero,Delantera Derecha,DISPONIBLE,,45000,40000,,,Sin ubic
OPTRA 2009,MOLDURA PUERTA DELANTERA LH,Moldura Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,MOLDURA PUERTA DELANTERA RH,Moldura Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,MOLDURA PUERTA TRASERA LH,Moldura Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,MOLDURA PUERTA TRASERA RH,Moldura Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,PALANCA DE CAMBIOS,Palanca De Cambios,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,PIOLAS PALANCA DE CAMBIO,Piolas Palanca De Cambio,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,PUERTA PUERTA DELANTERA LH,Puerta Puerta Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,,,,,
OPTRA 2009,PUERTA PUERTA DELANTERA RH,Puerta Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
OPTRA 2009,PUERTA TRASERA LH,Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
OPTRA 2009,PUERTA TRASERA RH,Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
OPTRA 2009,RADIO,Radio,,VENDIDO,SANTIAGO,,,,,
OPTRA 2009,TAPA DE BENCINA EXTERIOR,Tapa De Bencina Exterior,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,TELECOMANDO INTERMITENTES,Telecomando Intermitentes,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,TELECOMANDO LIMPIAPARABRISAS ,Telecomando Limpiaparabrisas ,,DISPONIBLE,SANTIAGO,,,,,
OPTRA 2009,VIDRIO LUNETA TRASERA LH,Vidrio Luneta Trasera,Trasera Izquierda,DISPONIBLE,,18000,15000,,,Sin ubic
OPTRA 2009,VIDRIO LUNETA TRASERA RH,Vidrio Luneta Trasera,Trasera Derecha,VENDIDO,SANTIAGO,18000,15000,,,
OPTRA 2009,VOLANTE,Volante,,DISPONIBLE,SANTIAGO,30000,25000,,,
