vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
OTROS,CAPOT MONTERO,CAPÓ Montero,,VENDIDO,SANTIAGO,160000.0,160000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-04-28 02:14:41,70dc75d15561bba4d5f683125b4dee694309fc6875a13ffd9323087b354440ec,90,NO
OTROS,DEPOSITO LIMPIAPARABRISAS CARLOS,Depósito Limpiaparabrisass Carlos,,VENDIDO,SANTIAGO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); DEPOSITO mal escrito (debería ser DEPÓSITO); CARLOS es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-04-28 02:14:41,417dd332915719a76af45cfac820aa6d47d7980d8bfd574d20b79262de6deb9c,60,SI
OTROS,DEPOSITO LIMPIAPARABRISAS CARLOS MORNING,Depósito Limpiaparabrisass Carlos Morning,,VENDIDO,SANTIAGO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); DEPOSITO mal escrito (debería ser DEPÓSITO); CARLOS es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-04-28 02:14:41,92c4ced6e9ac0113968be34969bb37e619403960c36b8c1f2e560956128205b5,60,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO BALENO NICO,Funda DE Parachoques Baleno NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,05359783501a43c0477bd0ea07729a211b665681be3fb6cd869eb3425d85b77f,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO BALENO NICO,Funda DE Parachoques Baleno NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,05359783501a43c0477bd0ea07729a211b665681be3fb6cd869eb3425d85b77f,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO CX70 CON REJILLAS NICO,Funda DE Parachoques Cx70 CON Rejillas NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,000ab670278f3364142000dbd36d8c3f43a86d8178d13f217e585e76974f4fda,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO CX70 NICO,Funda DE Parachoques Cx70 NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,024100b7ed17978a893caad3d8364d08a9f7db24da7bb27f67bf7f84cbcfcdea,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO MG ZS NICO,Funda DE Parachoques MG ZS NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,5b153721ef8f498766a83d8c60ee810dfd5cf88a42d82ad706930f13f3acc389,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO OUTLANDER NICO,Funda DE Parachoques Outlander NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,3f2e47670719c5c9251d3e81bee07c7dd6f00f3f8cb1158b1ec336341481d2bc,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO SAIL NICO,Funda DE Parachoques SAIL NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,c5aa4bdc9935d2823cb7bc4f6f9e808ed1bff4b49e39e5e9267a4c1698f3aad8,50,SI
OTROS,FUNDA DE PARACHOQUE DELANTERO TIGGO 2 NICO,Funda DE Parachoques Tiggo 2 NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-05-28 02:14:41,729d224fa911e7de6466bfc015b744ad91e9107fc8f36a178246c4f401c56a2e,50,SI
OTROS,FUNDA DE PARACHOQUE TRASERO KIA RIO 5 2020,Funda DE Parachoques KIA RIO 5 2020,Trasera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Año 2020 detectado en nombre,2025-05-28 02:14:41,450a6e085ad7cab9e1cc5d6016189fdc75f08a15e810f2fe65b9ca9caee39d0b,65,SI
