vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
OUTLANDER 2014,ALETA DE GUARDAFANGO TRASERO LH,Aleta De Guardafango Trasero,Trasera Izquierda,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,ALETA DE GUARDAFANGO TRASERO RH,Aleta De Guardafango Trasero,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,ALFOMBRA COMPLETA DE PISO DE VEHÍCULO,Alfombra Completa De Piso De Vehículo,,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,ALTERNADOR,Alternador,,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,ALTERNADOR 14,Alternador 14,,DISPONIBLE,REVISADO,90000,85000,,,
OUTLANDER 2014,AMORTIGUADOR COMPLETO LH 14,Amortiguador Completo 14,Izquierda,VENDIDO,REVISADO,55000,50000,,,
OUTLANDER 2014,AMORTIGUADOR DE PORTALÓN LH,Amortiguador De Portalón,Izquierda,VENDIDO,REVISADO,20000,20000,,30 EL PAR,
OUTLANDER 2014,AMORTIGUADOR DE PORTALÓN RH,Amortiguador De Portalón,Derecha,VENDIDO,REVISADO,20000,20000,,,
OUTLANDER 2014,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,REVISADO,50000,45000,,,
OUTLANDER 2014,AMORTIGUADOR TRASERO LH 14,Amortiguador Trasero 14,Trasera Izquierda,DISPONIBLE,REVISADO,30000,25000,,,
OUTLANDER 2014,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,REVISADO,50000,45000,,,
OUTLANDER 2014,AMORTIGUADOR TRASERO RH 14,Amortiguador Trasero 14,Trasera Derecha,DISPONIBLE,REVISADO,30000,25000,,,
OUTLANDER 2014,ANTENA TIBURÓN,Antena Tiburón,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,APOYA BRAZO CENTRAL CON DETALLE,Apoya Brazo Central Con Detalle,Central,DISPONIBLE,REVISADO,,,,,Daños
OUTLANDER 2014,ARGOLLA DE FIJACIÓN METÁLICA,Argolla De Fijación Metálica,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,ASIENTOS TRASEROS ,Asientos Traseros ,Trasera,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BANDEJA DERECHA 14,Bandeja Derecha 14,,NO DISPONIBLE,REVISADO,30000,25000,,,
OUTLANDER 2014,BANDEJA IZQUIERDA 14,Bandeja Izquierda 14,,DISPONIBLE,REVISADO,30000,25000,,,
OUTLANDER 2014,BANDEJAS TRASERAS ,Bandejas Traseras ,Trasera,VENDIDO,REVISADO,,,,,
OUTLANDER 2014,BARRAS DE TECHO,Barras De Techo,,DISPONIBLE,REVISADO,60000,55000,,EL PAR,
OUTLANDER 2014,BASE DE BATERÍA,Base De Batería,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BATERÍA,Batería,,VENDIDO,REVISADO,30000,30000,,,
OUTLANDER 2014,BISAGRA DE CAPOT LH,Bisagra De Capot,Izquierda,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BISAGRA DE CAPOT RH,Bisagra De Capot,Derecha,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 1,Bobina 1,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 1  14,Bobina 1  14,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 2,Bobina 2,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 2 14,Bobina 2 14,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 3,Bobina 3,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 3 14,Bobina 3 14,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 4,Bobina 4,,DISPONIBLE,REVISADO,,,,,
OUTLANDER 2014,BOBINA 4 14,Bobina 4 14,,DISPONIBLE,REVISADO,,,,,
