vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
PASSAT 2003,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,120000.0,100000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-09-23 02:14:41,c9e9cbcf584600c0218044745cd28c12f3abd3a87273d563584951b9d58004f3,90,NO
PASSAT 2003,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-09-23 02:14:41,ec0dc9954a8d99b24208c8ed61d1f65f812bc5449b8441ab7fc4e4528b3182ad,90,NO
PASSAT 2003,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,VENDIDO,SANTIAGO,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-08-24 02:14:41,dd9c569a30d6d06a6f74109d74c22ee3c9e3d22bb61c254f4c669dfeda4824de,90,NO
PASSAT 2003,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,VENDIDO,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-24 02:14:41,51118439478160ee734e1132c5d45675a67cca326734d140b68df64e17516054,75,NO
PASSAT 2003,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,VENDIDO,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-08-24 02:14:41,a659678aa94ba34f76b95b473a5dfcd6aba4f0d0cc82be353dcc977397ac55a5,75,NO
PASSAT 2003,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,NO DISPONIBLE,SANTIAGO,45000.0,40000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-09-23 02:14:41,e29c07e1034e5a9aadd69baa088fe11b78301c23a447151274c3c31563f7975c,100,NO
PASSAT 2003,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-09-23 02:14:41,507cad7e640585cdfe0fd894b3756565adb5afcba8554826108a1316f888e015,100,NO
PASSAT 2003,ASIENTOS TRASEROS,Asientos,Trasera,DISPONIBLE,REQUINOA,80000.0,70000.0,,,Posición TRASEROS detectada,2025-09-23 02:14:41,21df9e7866ae406a600bc2ed87d7d0d4d3be089a6238ff858a35ba59fc15dc86,100,NO
PASSAT 2003,BANDEJA DELANTERA LH INFERIOR EXTERIOR,Bandeja Exterior,Izquierda Delantera Inferior,DISPONIBLE,SANTIAGO,20000.0,15000.0,,30 EL PAR,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Posición INFERIOR detectada,2025-09-23 02:14:41,6e409f1e1c5d19497574531967780ae784c1dcdaad6060530a6909e301f9ff94,90,NO
PASSAT 2003,BANDEJA DELANTERA LH INFERIOR INTERIOR,Bandeja Interior,Izquierda Delantera Inferior,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Posición INFERIOR detectada,2025-09-23 02:14:41,e07a360e3e4607c3eaad5f72cdc82d6f0f14771af01620c4b7b71b335e712ca9,90,NO
