vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
PASSAT 2003,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,120000,100000,,,
PASSAT 2003,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,55000,50000,,,
PASSAT 2003,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,VENDIDO,SANTIAGO,55000,50000,,,
PASSAT 2003,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,VENDIDO,SANTIAGO,,,,,
PASSAT 2003,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,VENDIDO,SANTIAGO,,,,,
PASSAT 2003,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,NO DISPONIBLE,SANTIAGO,45000,40000,,,
PASSAT 2003,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,55000,50000,,,
PASSAT 2003,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,REQUINOA,80000,70000,,,
PASSAT 2003,BANDEJA DELANTERA LH INFERIOR EXTERIOR,Bandeja Delantera Inferior Exterior,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,30 EL PAR ,
PASSAT 2003,BANDEJA DELANTERA LH INFERIOR INTERIOR,Bandeja Delantera Inferior Interior,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
PASSAT 2003,BANDEJA DELANTERA LH SUPERIOR EXTERIOR,Bandeja Delantera Superior Exterior,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,30 EL PAR,
PASSAT 2003,BANDEJA DELANTERA LH SUPERIOR INTERIOR,Bandeja Delantera Superior Interior,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
PASSAT 2003,BANDEJA DELANTERA RH INFERIOR EXTERIOR,Bandeja Delantera Inferior Exterior,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,30 EL PAR,
PASSAT 2003,BANDEJA DELANTERA RH INFERIOR INTERIOR,Bandeja Delantera Inferior Interior,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
PASSAT 2003,BANDEJA DELANTERA RH SUPERIOR EXTERIOR,Bandeja Delantera Superior Exterior,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
PASSAT 2003,BANDEJA DELANTERA RH SUPERIOR INTERIOR,Bandeja Delantera Superior Interior,Delantera Derecha,VENDIDO,SANTIAGO,,,,,
PASSAT 2003,BANDEJA TRASERA INFERIOR LH,Bandeja Trasera Inferior,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BANDEJA TRASERA INFERIOR RH,Bandeja Trasera Inferior,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BANDEJA TRASERA SUPERIOR LH,Bandeja Trasera Superior,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BANDEJA TRASERA SUPERIOR RH,Bandeja Trasera Superior,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BARRA ESTABILIZADORA DELANTERA,Barra Estabilizadora Delantera,Delantera,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BARRA ESTABILIZADORA TRASERA,Barra Estabilizadora Trasera,Trasera,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BARRA TRASERA LH,Barra Trasera,Trasera Izquierda,NO DISPONIBLE,SANTIAGO,,,,MALA,
PASSAT 2003,BARRA TRASERA RH,Barra Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BASE COMPRESOR DE AIRE,Base Compresor De Aire,,DISPONIBLE,SANTIAGO,,,,,
PASSAT 2003,BASE SOPORTE,Base Soporte,,DISPONIBLE,SANTIAGO,,,,LLEGARON 3 EL 17 DE DIC,
