vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
QASHQAI 2021,ABSORBEDOR DE IMPACTO PARACHOQUE DELANTERO,Absorbedor De Impacto Parachoque Delantero,Delantera,DISPONIBLE,,25000,20000,,,Sin ubic
QASHQAI 2021,AIRBAG DE CORTINA LH,Airbag De Cortina,Izquierda,DISPONIBLE,,90000,80000,,,Sin ubic
QASHQAI 2021,AIRBAG DE CORTINA RH,Airbag De Cortina,Derecha,DISPONIBLE,,90000,80000,,,Sin ubic
QASHQAI 2021,ALFOMBRA CUBRE RUEDA DE REPUESTO,Alfombra Cubre Rueda De Repuesto,,DISPONIBLE,,30000,25000,,,Sin ubic
QASHQAI 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,120000,110000,,,
QASHQAI 2021,AMORTIGUADOR DE PORTALÓN LH,Amortiguador De Portalón,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,AMORTIGUADOR DE PORTALÓN RH,Amortiguador De Portalón,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,85000,80000,,,
QASHQAI 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,85000,80000,,,
QASHQAI 2021,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,ANTENA (TIBURÓN) RADIO,Antena (Tiburón) Radio,,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,REQUINOA,75000,70000,,,
QASHQAI 2021,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,65000,60000,,,
QASHQAI 2021,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,,65000,60000,,,Sin ubic
QASHQAI 2021,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
QASHQAI 2021,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
QASHQAI 2021,BANDEJA TRASERA LH,Bandeja Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BANDEJA TRASERA RH,Bandeja Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BARRA DE TECHO LH,Barra De Techo,Izquierda,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BARRA DE TECHO RH,Barra De Techo,Derecha,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BARRA ESTABILIZADORA ,Barra Estabilizadora ,,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,,50000,45000,,,Sin ubic
QASHQAI 2021,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,,50000,45000,,,Sin ubic
QASHQAI 2021,BASE BATERÍA,Base Batería,,DISPONIBLE,,35000,30000,,,Sin ubic
QASHQAI 2021,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,40000,35000,,,
QASHQAI 2021,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,,35000,30000,,,Sin ubic
QASHQAI 2021,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,,35000,30000,,,Sin ubic
QASHQAI 2021,BISAGRAS PUERTA DELANTERA LH,Bisagras Puerta Delantera,Delantera Izquierda,DISPONIBLE,,20000,15000,,,Sin ubic
QASHQAI 2021,BISAGRAS PUERTA DELANTERA RH,Bisagras Puerta Delantera,Delantera Derecha,DISPONIBLE,,20000,15000,,,Sin ubic
QASHQAI 2021,BISAGRAS PUERTA TRASERA LH,Bisagras Puerta Trasera,Trasera Izquierda,DISPONIBLE,,20000,15000,,,Sin ubic
QASHQAI 2021,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta Trasera,Trasera Derecha,DISPONIBLE,,20000,15000,,,Sin ubic
QASHQAI 2021,BISEL O BIGOTE PORTALÓN,Bisel O Bigote Portalón,,DISPONIBLE,,40000,35000,,,Sin ubic
QASHQAI 2021,BISEL RADIO ,Bisel Radio ,,DISPONIBLE,,40000,35000,,,Sin ubic
QASHQAI 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,25000,20000,,,
QASHQAI 2021,BOCINAS (2),Bocinas (2),,DISPONIBLE,,15000,10000,,,Sin ubic
QASHQAI 2021,BOMA DE AGUA,Boma De Agua,,DISPONIBLE,,50000,45000,,,Sin ubic
QASHQAI 2021,BOMBA DE ALTA,Bomba De Alta,,DISPONIBLE,SANTIAGO,60000,50000,,,
QASHQAI 2021,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,165000,155000,,,
QASHQAI 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BOMBA DE PRESIÓN DE ALTA,Bomba De Presión De Alta,,DISPONIBLE,,90000,85000,,,Sin ubic
QASHQAI 2021,BOTÓN APERTURA PORTALÓN,Botón Apertura Portalón,,DISPONIBLE,,15000,10000,,,Sin ubic
QASHQAI 2021,BOTÓN DE ALZAVIDRIOS DELANTERA RH,Botón De Alzavidrios Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
QASHQAI 2021,BOTÓN DE ALZAVIDRIOS TRASERA LH,Botón De Alzavidrios Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
QASHQAI 2021,BOTÓN DE ALZAVIDRIOS TRASERA RH,Botón De Alzavidrios Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
QASHQAI 2021,BOTÓN DE ENCENDIDO,Botón De Encendido,,DISPONIBLE,SANTIAGO,,,,,
QASHQAI 2021,BOTÓN DE VELOCIDAD CRUCERO ,Botón De Velocidad Crucero ,,DISPONIBLE,SANTIAGO,15000,10000,,,
QASHQAI 2021,BOTÓN FRENO DE MANOS ,Botón Freno De Manos ,,DISPONIBLE,SANTIAGO,15000,10000,,,
QASHQAI 2021,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,55000,50000,,,
QASHQAI 2021,BRAZO CUNA LH,Brazo Cuna,Izquierda,DISPONIBLE,,,,,,Sin ubic
QASHQAI 2021,BRAZO CUNA RH,Brazo Cuna,Derecha,DISPONIBLE,,,,,,Sin ubic
QASHQAI 2021,BRAZO DE SUSPENSIÓN TRASERO LH,Brazo De Suspensión Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
