vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
RCZ 2010,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000.0,90000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-10-01 02:14:41,4f8f6e90d52a4167bdd38e52ba6b437bb9874faadd6bc1fc7c722f3cee10d77a,90,NO
RCZ 2010,AMORTIGUADOR CAPOT,Amortiguador CAPÓ,,VENDIDO,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-01 02:14:41,a4256589ba192ee57ebdbdbfda511003e96e6337ea1f5e8e92b2b16e4af291bd,75,NO
RCZ 2010,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-10-01 02:14:41,8cbffbedfb8a2c2ac1f96a229a44dca86579385f5b5497f6fca9178a3b2bfd1e,90,NO
RCZ 2010,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-10-01 02:14:41,2dc8355431d4e56952eb526c7729d76c56358ad51b038fab80f6067b609671b8,90,NO
RCZ 2010,AMORTIGUADOR MALETA LH,Amortiguador Maleta,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-01 02:14:41,734ba0ecebbca8a1b16d6a54e0ab1aaab523f94ebb260047541350941993ac36,65,SI
RCZ 2010,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,SANTIAGO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-01 02:14:41,626365a80f44ead6376231fd630380d12f07e0250849a629c88528bdcd511fae,65,SI
RCZ 2010,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,POR CONFIRMAR,,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-10-01 02:14:41,c026da1de7287de9d1c58a89479b2ef6981972ea565c9cabf298f0df18f1287e,80,NO
RCZ 2010,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,POR CONFIRMAR,,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-10-01 02:14:41,87c3dd75e74075c5bb501d65dcac15a06f820df42448eda21b5ec7f5560c4da9,80,NO
RCZ 2010,AMPLIFICADOR RADIO,Amplificador Radio,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-01 02:14:41,202af8550a99fab27d756207ee80dec835e97ec998c972a8f21cb49c3b76f99e,75,NO
RCZ 2010,APOYA BRAZOS,Apoya Brazos,,POR CONFIRMAR,,0,0,,,BRAZO mal escrito (debería ser BRAZO); BRAZOS mal escrito (debería ser BRAZOS); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-10-01 02:14:41,038c9fa9f3031c92d5cd935e83bc558bdb92e96e60848b729f6f794ac4a5d99c,65,SI
