vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
RCZ 2010,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000,90000,,,
RCZ 2010,AMORTIGUADOR CAPOT,Amortiguador Capot,,VENDIDO,SANTIAGO,,,,,
RCZ 2010,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,70000,60000,,,
RCZ 2010,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,70000,60000,,,
RCZ 2010,AMORTIGUADOR MALETA LH,Amortiguador Maleta,Izquierda,DISPONIBLE,SANTIAGO,,,,,
RCZ 2010,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,DISPONIBLE,SANTIAGO,,,,,
RCZ 2010,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,POR CONFIRMAR,,35000,30000,,,Sin ubic
RCZ 2010,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,POR CONFIRMAR,,35000,30000,,,Sin ubic
RCZ 2010,AMPLIFICADOR RADIO,Amplificador Radio,,DISPONIBLE,SANTIAGO,,,,,
RCZ 2010,APOYA BRAZOS,Apoya Brazos,,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,120000,110000,,,
RCZ 2010,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,80000,75000,,,
RCZ 2010,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
RCZ 2010,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,VENDIDO,SANTIAGO,40000,35000,,,
RCZ 2010,BASE BATERÍA,Base Batería,,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BASE DE ECU Y BCM,Base De Ecu Y Bcm,,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BASE TERMOSTATO,Base Termostato,,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BISAGRA CAPOT RH,Bisagra Capot,Derecha,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BISAGRAS PUERTA LH,Bisagras Puerta,Izquierda,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,20000,15000,,,
RCZ 2010,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,20000,15000,,,
RCZ 2010,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,20000,15000,,,
RCZ 2010,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,20000,15000,,,
RCZ 2010,BOCINA,Bocina,,VENDIDO,SANTIAGO,20000,20000,,,
RCZ 2010,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,SANTIAGO,,,,,
RCZ 2010,BOMBA DE ALTA,Bomba De Alta,,POR CONFIRMAR,,220000,200000,,,Sin ubic
RCZ 2010,BOMBA DE COMBUSTIBLE DE ALTA,Bomba De Combustible De Alta,,POR CONFIRMAR,,,,,,Sin ubic
RCZ 2010,BOMBA DE COMBUSTIBLE O BENCINA,Bomba De Combustible O Bencina,,DISPONIBLE,SANTIAGO,,,,,
RCZ 2010,BOMBA DE FRENO CON 2 DEPÓSITOS,Bomba De Freno Con 2 Depósitos,,POR CONFIRMAR,,,,,,Sin ubic
