vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
S3 2017,AIRBAG TABLERO,Airbag Tablero,,VENDIDO,SANTIAGO,100000.0,100000.0,,,,2025-09-09 02:14:41,eb83cef0b75b65585fdf28188d91430f6e4599b62a991aaffb62fd5c0769060a,100,NO
S3 2017,AIRBAG VOLANTE,Airbag Volante,,VENDIDO,SANTIAGO,80000.0,80000.0,,,VOLANTE mal escrito (debería ser VOLANTE),2025-09-09 02:14:41,3ccddfa729483a8ccaf5c68cb7b1c76fb15b0bcdf151e3c24f517ed1e05e509f,90,NO
S3 2017,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,85000.0,80000.0,,MALO,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-10-09 02:14:41,d8d1d8d8c2e95b50589ccfc1777bd911c5ac30dbf621b4848e061e8cadd5d9e3,90,NO
S3 2017,AMORTIGUADOR TRASERO,Amortiguador,Trasera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,CONFIRMAR LADO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición TRASERO detectada,2025-10-09 02:14:41,25cc8e38079ad81c2a4ac637863c87521f73c468f7751089c61dc3219c5bc9ea,90,NO
S3 2017,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,50000.0,40000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-09-09 02:14:41,cdf1569718f8e5a04fa2988290794da2fcddfdd5b9f9a7f0b15406d5714a0e6c,100,NO
S3 2017,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,50000.0,40000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-09-09 02:14:41,ecc997e1a0b2962c707ce5280f720da884eedc3a7f62d64f91f4851512836a4f,100,NO
S3 2017,ASIENTOS TRASEROS,Asientos,Trasera,VENDIDO,SANTIAGO,50000.0,40000.0,,,Posición TRASEROS detectada,2025-09-09 02:14:41,9097001c8c7c9397945dd52f862dc2d7534355359e8bb33fed347c9faa8292da,100,NO
S3 2017,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-10-09 02:14:41,cd7c7f536388a7d125baeb0db76889aed6b5c494b87783704026809481056903,90,NO
S3 2017,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-10-09 02:14:41,6062c2c5e53a6a1f6272c56c080d3c6509c434fcddde76b247d4c3cc692f9731,90,NO
S3 2017,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-10-09 02:14:41,a844dd8f8df7bde6c070b26739548f2a6a3153b4bae0527b8986eff6a9bcb516,90,NO
