vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
S40 2008,ABSORVEDOR DE IMPACTO TRASERO,Absorvedor De Impacto Trasero,Trasera,DISPONIBLE,OK REVISADO,,,,,
S40 2008,ALTERNADOR,Alternador,,VENDIDO,OK REVISADO,80000,70000,,,
S40 2008,AMORTIGUADOR CAPOT,Amortiguador Capot,,DISPONIBLE,OK REVISADO,15000,10000,,,
S40 2008,AMORTIGUADOR MALETA LH,Amortiguador Maleta,Izquierda,NO DISPONIBLE,OK REVISADO,,,,MALO,
S40 2008,AMORTIGUADOR MALETA RH,Amortiguador Maleta,Derecha,NO DISPONIBLE,OK REVISADO,,,,MALO,
S40 2008,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,NO DISPONIBLE,OK REVISADO,,,,,
S40 2008,AMORTIGUADR DELANTERA RH,Amortiguadr Delantera,Delantera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,AMORTIGUADR DELANTERO LH,Amortiguadr Delantero,Delantera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,APOYA BRAZOS,Apoya Brazos,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,NO DISPONIBLE,OK REVISADO,,,,MALA,
S40 2008,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,OK REVISADO,,,,MALA,
S40 2008,BASE TERMOSTATO CON MANGUERA GRUESA,Base Termostato Con Manguera Gruesa,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BISAGRA DE CAPOT LH,Bisagra De Capot,Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BISAGRA DE CAPOT RH,Bisagra De Capot,Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BISAGRA MALETA LH,Bisagra Maleta,Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BISAGRA MALETA RH,Bisagra Maleta,Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOBINA 1,Bobina 1,,DISPONIBLE,OK REVISADO,25000,,,,
S40 2008,BOBINA 2,Bobina 2,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOBINA 3,Bobina 3,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOBINA 4,Bobina 4,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOBINA 5,Bobina 5,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOCINAS (2),Bocinas (2),,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOMBA DE ACEITE,Bomba De Aceite,,VENDIDO,OK REVISADO,,,,,
S40 2008,BOMBA DE AGUA,Bomba De Agua,,VENDIDO,OK REVISADO,,,,,
S40 2008,BOMBA DE FRENO CON DEPÓSITO,Bomba De Freno Con Depósito,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOMBA ELECTROHIDRÁULICA,Bomba Electrohidráulica,,DISPONIBLE,OK REVISADO,150000,140000,,,
S40 2008,BOTÓN PUERTA DELANTERA RH,Botón Puerta Delantera,Delantera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOTÓN PUERTA TRASERA LH,Botón Puerta Trasera,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOTÓN PUERTA TRASERA RH,Botón Puerta Trasera,Trasera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BOTONERA PUERTA DELANTERA LH,Botonera Puerta Delantera,Delantera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CAJA AUTOMÁTICA,Caja Automática,,DISPONIBLE,OK REVISADO,750000,700000,,,
S40 2008,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CAÑERÍA DE LÍQUIDO HIDRÁULICO,Cañería De Líquido Hidráulico,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CAPOT,Capot,,VENDIDO,OK REVISADO,90000,85000,,,
S40 2008,CARTER,Carter,,VENDIDO,,,,,,Sin ubic
S40 2008,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CHAPA PUERTA TRASERA LH,Chapa Puerta Trasera,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CIGÜEÑAL,Cigüeñal,,VENDIDO,OK REVISADO,65000,60000,,,
S40 2008,CINTURÓN TRASERO CENTRAL,Cinturón Trasero Central,Central,POR CONFIRMAR,OK REVISADO,,,,,
S40 2008,CINTURÓN TRASERO LH,Cinturón Trasero,Trasera Izquierda,POR CONFIRMAR,OK REVISADO,,,,,
S40 2008,CINTURÓN TRASERO RH,Cinturón Trasero,Trasera Derecha,POR CONFIRMAR,OK REVISADO,,,,,
S40 2008,COFIA (PARTE),Cofia (Parte),,DISPONIBLE,OK REVISADO,,,,,
S40 2008,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,COMPRESOR DE AIRE,Compresor De Aire,,VENDIDO,OK REVISADO,100000,90000,,,
S40 2008,CONTROL DE LUCES,Control De Luces,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CREMALLERA DE ALZAVIDRIOS DELANTERA LH,Cremallera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CREMALLERA DE ALZAVIDRIOS DELANTERA RH,Cremallera De Alzavidrios Delantera,Delantera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CREMALLERA DE ALZAVIDRIOS TRASERA LH,Cremallera De Alzavidrios Trasera,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CREMALLERA DE ALZAVIDRIOS TRASERA RH,Cremallera De Alzavidrios Trasera,Trasera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,VENDIDO,OK REVISADO,130000,120000,,,
S40 2008,CUBRE CARTER,Cubre Carter,,NO DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUBRE CHAPA DELANTERA,Cubre Chapa Delantera,Delantera,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUBRE PANEL TRASERO,Cubre Panel Trasero,Trasera,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUBRE TORPEDO EXTERIOR,Cubre Torpedo Exterior,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUBRE ZÓCALO TRASERO CORNER LH,Cubre Zócalo Trasero Corner,Trasera Izquierda,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUBRE ZÓCALO TRASERO CORNER RH,Cubre Zócalo Trasero Corner,Trasera Derecha,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,VENDIDO,OK REVISADO,75000,70000,,,
S40 2008,CUERPO DE RADIO,Cuerpo De Radio,,DISPONIBLE,OK REVISADO,,,,,
S40 2008,CULATA,Culata,,VENDIDO,OK REVISADO,115000,110000,,,
S40 2008,DEPÓSITO DE AGUA,Depósito De Agua,,VENDIDO,OK REVISADO,25000,2000,,,
