vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SM3 2011,ALTERNADOR,Alternador,,DISPONIBLE,REVISADO,0,0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,2e8887ccd978de95ad0b53555d0fe284900ff84ad9f42b755169949b7d673d42,65,SI
SM3 2011,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,a69283f859af4a7167e0beb62eaf29b6d30325084d3fe4415461e6c4cbf40b98,65,SI
SM3 2011,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,953f970bfb56278bb999b827edd49cd676f177cae05f4787b77bc1077b3ed426,65,SI
SM3 2011,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,78e98d90b9891ccae9230ffa6e6cc509ffa9a747530427f544672ee9759d959e,75,NO
SM3 2011,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,b79cfa2f2ebb708bef943c54ac876b6d645ceccf65049a8130bc5440dacf8791,75,NO
SM3 2011,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,d876667851475d6da125c178dfa35e52b44ba30fa8f1983dc265a397d8af4ed4,65,SI
SM3 2011,BANEJA DELANTERA RH,Baneja,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,51ed78c3ef5de4c6fdef8295b7562b46470da92da306e150fdb61b906d2572e5,75,NO
SM3 2011,BASEPLÁSTICA DE BATERÍA,Baseplástica DE Batería,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,e73919c653c0cd50a7920301f688d5083d414080005f67bc0cfc0f646569581d,75,NO
SM3 2011,BAZOS LIMPIAPARABRISAS,Bazos Limpiaparabrisass,,DISPONIBLE,REVISADO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,7104db47fe7dea5cf72032a6e3ece29aca4b669bba168d4b051d5bdd64673b86,65,SI
SM3 2011,BISAGRA CAPOT IZQUIERDA,Bisagra CAPÓ,Izquierda,DISPONIBLE,REVISADO,0,0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición IZQUIERDA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,589869087db2ca41f32e7f613899692bb41269837bf2f304e27b61665452b4a8,65,SI
SM3 2011,BISAGRA CAPOT RH,Bisagra CAPÓ,Derecha,DISPONIBLE,REVISADO,0,0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,3955cd0255198100b3947fd99bed96c0bfdf4602998b9d0f08eb9cd6081d7522,65,SI
SM3 2011,BOBINA 1,Bobina 1,,DISPONIBLE,REVISADO,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,93c83b42125e93f059db2bcbeb5df1559536fe1d9ed74168bb108fa875d18bba,65,SI
SM3 2011,BOBINA 2,Bobina 2,,DISPONIBLE,REVISADO,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,b93de4d3c757b2086d21c8b89578b7be7fa593fce04851a516a935d9e5a3fc99,65,SI
SM3 2011,BOBINA 3,Bobina 3,,DISPONIBLE,REVISADO,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,d37e6750d193fd0f0f058ff25f664a4bbc8adc69112edfba0323d53b353d45a3,65,SI
SM3 2011,BOBINA 4,Bobina 4,,DISPONIBLE,REVISADO,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,b9558c7fc532deef6575ae6dd6cd6602e2d5c335163f6f5eb0e3b563d0847d31,65,SI
