vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
SM3 2011,ALTERNADOR,Alternador,,DISPONIBLE,REVISADO,,,,,
SM3 2011,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,BANEJA DELANTERA RH,Baneja Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,BASEPLÁSTICA DE BATERÍA,Baseplástica De Batería,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BAZOS LIMPIAPARABRISAS,Bazos Limpiaparabrisas,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BISAGRA CAPOT IZQUIERDA,Bisagra Capot Izquierda,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOBINA 1,Bobina 1,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOBINA 2,Bobina 2,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOBINA 3,Bobina 3,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOBINA 4,Bobina 4,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOCINA,Bocina,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOMBA DE FRENO CON DEPÓSITO,Bomba De Freno Con Depósito,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOMBA HIDRÁULICA CON BASE Y TENSOR,Bomba Hidráulica Con Base Y Tensor,,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOTÓN ALZAVIDRIOS PUERTA DELANTERA RH,Botón Alzavidrios Puerta Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOTÓN ALZAVIDRIOS PUERTA TRASERA RH,Botón Alzavidrios Puerta Trasera,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOTÓN DE ALZAVIDRIOS TRASERA LH,Botón De Alzavidrios Trasera,Trasera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,BOTONERA DE ALZAVIDRIOS DELANTERA IZQUIERDA,Botonera De Alzavidrios Delantera Izquierda,Delantera,DISPONIBLE,REVISADO,,,,,
SM3 2011,BSI,Bsi,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CAJA,Caja,,VENDIDO,REVISADO,230000,230000,,,
SM3 2011,CALIPER DELANTERO IZQUIERDO,Caliper Delantero Izquierdo,Delantera,DISPONIBLE,REVISADO,,,,,
SM3 2011,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,CANISTER,Canister,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías De Aire Acondicionado,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CAPOT CON DETALLE,Capot Con Detalle,,DISPONIBLE,REVISADO,10000,10000,,,Daños
SM3 2011,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,REVISADO,,,,,
SM3 2011,COFIA,Cofia,,DISPONIBLE,REVISADO,,,,,
SM3 2011,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CONTROL DE CALEFACCIÓN,Control De Calefacción,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CREMALLERA DE ALZAVIDRIO PUERTA TRASERA RH,Cremallera De Alzavidrio Puerta Trasera,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,CREMALLERA DE ALZAVIDRIOS DELANTERA LH,Cremallera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,CREMALLERA DE ALZAVIDRIOS TRASERA LH,Cremallera De Alzavidrios Trasera,Trasera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CUERPO DE ACELERACIÓN,Cuerpo De Aceleración,,DISPONIBLE,REVISADO,,,,,
SM3 2011,CUNA,Cuna,,DISPONIBLE,REVISADO,,,,,
SM3 2011,DEPÓSITO DE AGUA AUXILIAR RADIADOR,Depósito De Agua Auxiliar Radiador,,DISPONIBLE,REVISADO,,,,,
SM3 2011,DEPÓSITO LIMPIAPARABRISAS SIN TUBO,Depósito Limpiaparabrisas Sin Tubo,,DISPONIBLE,REVISADO,,,,,
SM3 2011,DEPÓSITO LÍQUIDO HIDRÁULICO CON BASE,Depósito Líquido Hidráulico Con Base,,DISPONIBLE,REVISADO,,,,,
SM3 2011,DISCO DE FRENO DELANTERO LH,Disco De Freno Delantero,Delantera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,DISCO DE FRENO DELANTERO RH,Disco De Freno Delantero,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,ECU,Ecu,,DISPONIBLE,REVISADO,90000,85000,,,
SM3 2011,EJE PALIER LH,Eje Palier,Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,EJE PALIER RH,Eje Palier,Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,ELECTROVENTILADOR,Electroventilador,,DISPONIBLE,REVISADO,,,,,
SM3 2011,EMBELLECEDOR CON REJILLAS DE VENTILACIÓN CENTRAL Y HAZARD,Embellecedor Con Rejillas De Ventilación Central Y Hazard,Central,DISPONIBLE,REVISADO,,,,,
SM3 2011,EMBELLECEDOR RADIO,Embellecedor Radio,,DISPONIBLE,REVISADO,,,,,
SM3 2011,EMBELLECEDOR SINÓPTICO,Embellecedor Sinóptico,,DISPONIBLE,REVISADO,,,,,
SM3 2011,ESPEJO LH,Espejo,Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,FIJACIÓN SUPERIOR RADIADOR,Fijación Superior Radiador,,DISPONIBLE,REVISADO,,,,,
SM3 2011,FLUJÓMETRO,Flujómetro,,DISPONIBLE,REVISADO,,,,,
SM3 2011,FOCO TRASERO RH,Foco Trasero,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANGUERAS AGUA (2),Mangueras Agua (2),,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA EXTERIOR PUERTA DELANTERA IZQUIERDA,Manilla Exterior Puerta Delantera Izquierda,Delantera,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA EXTERIOR PUERTA DELANTERA RH,Manilla Exterior Puerta Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA EXTERIOR PUERTA TRASERA LH,Manilla Exterior Puerta Trasera,Trasera Izquierda,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA EXTERIOR PUERTA TRASERA RH,Manilla Exterior Puerta Trasera,Trasera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA INTERIOR PUERTA DELANTERA IZQUIERDA,Manilla Interior Puerta Delantera Izquierda,Delantera,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta Delantera,Delantera Derecha,DISPONIBLE,REVISADO,,,,,
SM3 2011,MANILLA INTERIOR PUERTA TRASERA LH,Manilla Interior Puerta Trasera,Trasera Izquierda,DISPONIBLE,REVISADO,,,,,
