vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SOUL 2013,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,95000.0,85000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-10-24 02:14:41,78000611a41a645027f5076b22a350cecd516ccbe9faf1347c29aa430217866e,90,NO
SOUL 2013,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-10-24 02:14:41,bb08655cb768042d4369c150e91cf23197fe2957a266da7f4d8827e1f56eb78c,90,NO
SOUL 2013,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-10-24 02:14:41,46ae5c679e7c5ebf50c4532c444b1bad69f7e3ed3211e849b4890b38b19d0c07,90,NO
SOUL 2013,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-10-24 02:14:41,2ef2bf48706214593745cf98f86dc3d142ac82d8ec927c32f9831de45e949e14,90,NO
SOUL 2013,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-10-24 02:14:41,e6219bf85212e5106a150d60e757ab0804f8064a285cbf758b102693fc050e8a,90,NO
SOUL 2013,ARBOL DE LEVA 1,Árbol DE LEVA 1,,DISPONIBLE,SANTIAGO,0,0,,,ARBOL mal escrito (debería ser ÁRBOL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,b9e92c110810e71fc24e4bc48a06b07d7fab793c620901fb05c066e1662f8b81,65,SI
SOUL 2013,ARBOL DE LEVA 2,Árbol DE LEVA 2,,DISPONIBLE,SANTIAGO,0,0,,,ARBOL mal escrito (debería ser ÁRBOL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,aebc6239614706e440387509e6cab316383f0b3cc715affe5c8a7aa9bfb3a529,65,SI
SOUL 2013,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,40000.0,35000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-09-24 02:14:41,511c8a8a362229cbb475cd5ce56553d18dc9d7747e9a31a854303d23f0c5a048,100,NO
SOUL 2013,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,40000.0,35000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-09-24 02:14:41,829ca9671b997b3d2c06558f3b5b96d883e7a0016c677db19881749496d27078,100,NO
SOUL 2013,AUXILIAR USB,Auxiliar USB,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,fd96bc629cbec79e323eee6eef027c2cdd295665021e1061384b0c7e815e7813,75,NO
SOUL 2013,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,NO DISPONIBLE,REQUINOA,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,c9555e9d3b62dee9d45561b0f1224c1381ae7ab036d309c5805d35e8f4f731aa,75,NO
SOUL 2013,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,NO DISPONIBLE,REQUINOA,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,b2279e5b24d72313bc72f8c684003385062aabd4045731f119f503ec078ea4d8,75,NO
SOUL 2013,BARRA ESTABILIZADORA CON 1 BIELETAS,Barra Estabilizadora CON 1 Bieletas,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-24 02:14:41,a25f7e7ce73b4fa7105d95496ad3e7c42022a913e239f616a578dbd233feef69,75,NO
SOUL 2013,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,35000.0,30000.0,,"60,000 EL PAR",Posición LH detectada,2025-10-24 02:14:41,605ba25829a3f4e9e02124694b40453589de6c43b819f629e5ab4686df8edc3d,100,NO
SOUL 2013,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,Posición RH detectada,2025-10-24 02:14:41,0e7676c0f60768dcf792b8726bcf58e23e85a605dc191e72e11ca36169e562a6,100,NO
SOUL 2013,BASE DE BATERÍA,BASE DE Batería,,VENDIDO,SANTIAGO,15000.0,10000.0,,,,2025-09-24 02:14:41,fcd11db582a81db5971f0c5d336c9d21a9ac780be47e6b27110f155db8bf60ac,100,NO
