vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
SOUL 2013,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,95000,85000,,,
SOUL 2013,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,55000,50000,,,
SOUL 2013,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,55000,50000,,,
SOUL 2013,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
SOUL 2013,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
SOUL 2013,ARBOL DE LEVA 1,Arbol De Leva 1,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,ARBOL DE LEVA 2,Arbol De Leva 2,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,40000,35000,,,
SOUL 2013,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,40000,35000,,,
SOUL 2013,AUXILIAR USB,Auxiliar Usb,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,NO DISPONIBLE,REQUINOA,,,,,
SOUL 2013,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,REQUINOA,,,,,
SOUL 2013,BARRA ESTABILIZADORA CON 1 BIELETAS,Barra Estabilizadora Con 1 Bieletas,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,"60,000 EL PAR",
SOUL 2013,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
SOUL 2013,BASE DE BATERÍA,Base De Batería,,VENDIDO,SANTIAGO,15000,10000,,,
SOUL 2013,BASE DE SOPORTE,Base De Soporte,,DISPONIBLE,SANTIAGO,25000,20000,,,
SOUL 2013,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BCM,Bcm,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,REQUINOA,35000,30000,,,
SOUL 2013,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,REQUINOA,35000,30000,,,
SOUL 2013,BISEL DE SINÓPTICO,Bisel De Sinóptico,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BISEL RADIO,Bisel Radio,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO (REVISAR),Revisar
SOUL 2013,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,90000,80000,,,
SOUL 2013,BOMBA DE FRENO Y DEPÓSITO,Bomba De Freno Y Depósito,,VENDIDO,SANTIAGO,,,,,
SOUL 2013,BOTÓN DE ALZAVIDRIOS DELANTERO RH,Botón De Alzavidrios Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BOTÓN DE ALZAVIDRIOS TRASERO LH,Botón De Alzavidrios Trasero,Trasera Izquierda,VENDIDO,SANTIAGO,,,,,
SOUL 2013,BOTÓN DE ALZAVIDRIOS TRASERO RH,Botón De Alzavidrios Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios Delantera,Delantera Izquierda,VENDIDO,SANTIAGO,35000,30000,,,
SOUL 2013,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,BRAZO LIMPIAPARABRISAS TRASERO,Brazo Limpiaparabrisas Trasero,Trasera,DISPONIBLE,SANTIAGO,25000,20000,,,
SOUL 2013,CAJA,Caja,,VENDIDO,SANTIAGO,600000,550000,,INCLUYE CONVERTIDOR,
SOUL 2013,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,CAÑERÍA DE AGUA CHICA,Cañería De Agua Chica,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,CAÑERÍA DE AGUA QUE RODEA EL MOTOR,Cañería De Agua Que Rodea El Motor,,DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,CAÑERÍA FOTO IVÁN,Cañería Foto Iván,,DISPONIBLE,REQUINOA,35000,30000,,,
SOUL 2013,CAÑERÍAS DE AIRE ACONDOCIONADO,Cañerías De Aire Acondocionado,,NO DISPONIBLE,N/A,,,,,
SOUL 2013,CAPOT,Capot,,VENDIDO,SANTIAGO,70000,60000,,,
SOUL 2013,CATALÍTICO,Catalítico,,NO DISPONIBLE,SANTIAGO,,,,,
SOUL 2013,CHAPA DE CONTACTO SIN LLAVE,Chapa De Contacto Sin Llave,,DISPONIBLE,SANTIAGO,110000,100000,,,
