vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
TIIDA 2014,ALTERNADOR,Alternador,,DISPONIBLE,OK,65000.0,60000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-10-28 02:14:41,cec0f68c92db54bd021b78237d0900d0f33e0d5bf2d4089fc9809403f4c2c200,90,NO
TIIDA 2014,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,OK,0,0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,c95d84aeeea8ab0d6fa2212ed2446fc10f71ec0895bc182e4cf6063f2c1d065a,65,SI
TIIDA 2014,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,NO DISPONIBLE,OK,0,0,,MALO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,1c43e5f02798c36b1d8dadf33c15b213f10b733f9046302a980e4086b24bd2f2,75,NO
TIIDA 2014,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,NO DISPONIBLE,OK,0,0,,MALO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,f908e09af70ea7609efb2698817cc4fedcc8414068dfc92d89f6f85ac4e54f3c,75,NO
TIIDA 2014,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,DISPONIBLE,OK,20000.0,20000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-10-28 02:14:41,6a0269b6defaf6adfd461a83e3009b4b130d55b8758e2bc708cff9458ca7e479,100,NO
TIIDA 2014,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,OK,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-28 02:14:41,6c2fb0eb0b8912601fddbcf96c383fcacd08c0f08269adbc5224d68ecd84930a,85,NO
TIIDA 2014,ASIENTOS TRASEROS,Asientos,Trasera,NO DISPONIBLE,OK,0,0,,,Posición TRASEROS detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,cf771632d80e04d8cd3c7d5c943cdc791b34ec038e56fcfe0dff2029b1d012af,85,NO
TIIDA 2014,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,OK,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,b5176c0a18c4221419457c0e1ab242a62575702f72dac4faa8dcea474dc7a229,65,SI
TIIDA 2014,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,NO DISPONIBLE,OK,0,0,,MALA,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,3c8ec21706c73667d8384bc8b10dc4cdef7601ad8ff4e153fccd3f14457a6438,75,NO
TIIDA 2014,BCI,BCI,,DISPONIBLE,OK,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,c4a850833fdf746ac2c3c3e8a33b4fb32e530253b115937c28bdfe7aad7d5d32,75,NO
TIIDA 2014,BCM (SE VENDIÓ CON EL KIT DE ENCENDIDO),BCM (SE Vendió CON EL KIT DE Encendido),,VENDIDO,OK,0,0,,,ENCENDIDO mal escrito (debería ser ENCENDIDO); KIT indica múltiples piezas; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-09-28 02:14:41,910eaa22b75816f7ce2dbca8fd1535ca651531378a29b02a9df3e95b8940af9a,75,NO
TIIDA 2014,BIELETA LH,Bieleta,Izquierda,DISPONIBLE,OK,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,9164c980037d33f00e39077359b61e5d59706f176cf791886af00c29f9f86087,75,NO
TIIDA 2014,BISAGRA INFERIOR PUERTA DELANTERA RH,Bisagra Puerta,Derecha Delantera Inferior,DISPONIBLE,OK,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Posición INFERIOR detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,2e84ba55462520b98195cdd188a15b0ca57556225a353f4b114f0c7e97cc2601,75,NO
TIIDA 2014,BISAGRA SUPERIOR PUERTA DELANTERA RH,Bisagra Puerta,Derecha Delantera Superior,DISPONIBLE,OK,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Posición SUPERIOR detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,36f81e4fa6883fcd212e19d27d70a24fe8b504d71a745e98820bc266c0d7109d,75,NO
TIIDA 2014,BISAGRAS CAPOT LH Y RH,Bisagras CAPÓ Y,Izquierda Derecha,DISPONIBLE,OK,45000.0,40000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición LH detectada; Posición RH detectada,2025-10-28 02:14:41,f967698dcf57a7d147f15d5024ec96048bd895b7034649e285bfe3d8b7c61656,90,NO
TIIDA 2014,BOBINA 1,Bobina 1,,DISPONIBLE,OK,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,b1a12fc11175bff29fae70451b0fc7aa63d5206f8a76871970f65767a556fec7,65,SI
TIIDA 2014,BOBINA 2,Bobina 2,,DISPONIBLE,OK,0,0,,,BOBINA mal escrito (debería ser BOBINA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-28 02:14:41,bf85a25b82d308a16318a5d54436494e04c8b840def7528a9524c752999d28ba,65,SI
