vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
TIIDA 2014,ALTERNADOR,Alternador,,DISPONIBLE,OK,65000,60000,,,
TIIDA 2014,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,OK,,,,,
TIIDA 2014,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,NO DISPONIBLE,OK,,,,MALO,
TIIDA 2014,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,NO DISPONIBLE,OK,,,,MALO,
TIIDA 2014,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,DISPONIBLE,OK,20000,20000,,,
TIIDA 2014,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,OK,,,,,
TIIDA 2014,ASIENTOS TRASEROS,Asientos Traseros,Trasera,NO DISPONIBLE,OK,,,,,
TIIDA 2014,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,DISPONIBLE,OK,,,,,
TIIDA 2014,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,OK,,,,MALA,
TIIDA 2014,BCI,Bci,,DISPONIBLE,OK,,,,,
TIIDA 2014,BCM (SE VENDIÓ CON EL KIT DE ENCENDIDO),Bcm (Se Vendió Con El Kit De Encendido),,VENDIDO,OK,,,,,Múltiples
TIIDA 2014,BIELETA LH,Bieleta,Izquierda,DISPONIBLE,OK,,,,,
TIIDA 2014,BISAGRA INFERIOR PUERTA DELANTERA RH,Bisagra Inferior Puerta Delantera,Delantera Derecha,DISPONIBLE,OK,,,,,
TIIDA 2014,BISAGRA SUPERIOR PUERTA DELANTERA RH,Bisagra Superior Puerta Delantera,Delantera Derecha,DISPONIBLE,OK,,,,,
TIIDA 2014,BISAGRAS CAPOT LH Y RH,Bisagras Capot Y Rh,Izquierda,DISPONIBLE,OK,45000,40000,,,
TIIDA 2014,BOBINA 1,Bobina 1,,DISPONIBLE,OK,,,,,
TIIDA 2014,BOBINA 2,Bobina 2,,DISPONIBLE,OK,,,,,
TIIDA 2014,BOBINA 3,Bobina 3,,DISPONIBLE,OK,,,,,
TIIDA 2014,BOBINA 4,Bobina 4,,DISPONIBLE,OK,,,,,
TIIDA 2014,BOCINA,Bocina,,NO DISPONIBLE,OK,,,,,
TIIDA 2014,BOMBA DE FRENO,Bomba De Freno,,DISPONIBLE,OK,,,,,
TIIDA 2014,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,OK,,,,,
TIIDA 2014,BORNER POSITIVO,Borner Positivo,,VENDIDO,OK,25000,20000,,,
TIIDA 2014,BOTÓN DE ALZAVIDRIO DELANTERA RH,Botón De Alzavidrio Delantera,Delantera Derecha,NO DISPONIBLE,OK,,,,MALO,
TIIDA 2014,BOTÓN DE ALZAVIDRIO TRASERA LH,Botón De Alzavidrio Trasera,Trasera Izquierda,NO DISPONIBLE,OK,,,,MALO,
TIIDA 2014,BOTÓN DE ALZAVIDRIO TRASERA RH,Botón De Alzavidrio Trasera,Trasera Derecha,NO DISPONIBLE,OK,,,,MALO,
TIIDA 2014,BOTONERA DE ALZAVIDRIO DELANTERA LH,Botonera De Alzavidrio Delantera,Delantera Izquierda,VENDIDO,OK,,,,,
TIIDA 2014,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,OK,,,,,
TIIDA 2014,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,OK,,,,,
