vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
TIIGO 2019,ALERÓN,Alerón,,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,,2025-11-01 02:14:41,2f7186ecff5099c4ce741790b8cafb0564c9002ebfb7e1e3c504b327702fdf40,100,NO
TIIGO 2019,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000.0,75000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-11-01 02:14:41,d75458ebf1de5db8ff3acb05822a5f9e9a778007b55243f6c643460e14f5da55,90,NO
TIIGO 2019,AMORTIGUADOR DE PORTALÓN LH,Amortiguador DE Portalón,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada,2025-11-01 02:14:41,f82a4854fbf3eba2ea30a50008d45188960720aa7b9822f2cb314e3b7f096baa,90,NO
TIIGO 2019,AMORTIGUADOR DE PORTALÓN RH,Amortiguador DE Portalón,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada,2025-11-01 02:14:41,337370275229bc0cae3bb1d611f999ad3dd993c38edc066869d156541b6044bb,90,NO
TIIGO 2019,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,50000.0,45000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-11-01 02:14:41,f8b9a5833cceeaae29d9ca5aa9a57905a051d6c6894121ec42871b01c58bb840,90,NO
TIIGO 2019,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,50000.0,45000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-11-01 02:14:41,ccf8295e44e7488bdf452684e176e26fbf6fe85a6f9ec912445d0c6a529c0d55,90,NO
TIIGO 2019,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-11-01 02:14:41,8cd57b352337e544bbddaf56d6769a201a886e26db684c2a256ec40e1a533d33,90,NO
TIIGO 2019,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-11-01 02:14:41,fd71072d2e472895133e4d693c5bd31aa6a002e52493ff543684f062428ce21d,90,NO
TIIGO 2019,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,20000.0,15000.0,,CON TAPIZ MALO,Posición LH detectada; Posición DELANTERO detectada,2025-10-02 02:14:41,8ddbca58c7eef7f0f801659ab3c3605c774c411c814a711fc81275ba809e810d,100,NO
TIIGO 2019,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,25000.0,20000.0,,CON TAPIZ MALO,Posición RH detectada; Posición DELANTERO detectada,2025-10-02 02:14:41,f0c0f49af9eae743eec77ef0e6450421ffa719e4275c61abf0a1935d26add490,100,NO
TIIGO 2019,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,NO DISPONIBLE,N/A,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-01 02:14:41,bf3a3b713b74512ea55de8a87f15d347021d57f02342aaec2b416b8cdeb6a84c,75,NO
TIIGO 2019,BANDEJA DELANTERA RH,Bandeja,Derecha Delantera,NO DISPONIBLE,N/A,0,0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-01 02:14:41,b2881af4065243e4c51361475e4febd79ce0a7e1208f484bfe0568c722204479,75,NO
TIIGO 2019,BARRA DE TECHO LH,Barra DE Techo,Izquierda,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-01 02:14:41,0d4b3c889fd52ead199ea3c2a7814921cf12023fe54b7b914ef28adae31dfc8a,75,NO
TIIGO 2019,BARRA DE TECHO RH,Barra DE Techo,Derecha,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-01 02:14:41,658ead7c47e000f361e02fe6a4a71d0a94bbaf18c6d171dc9761404306f64cc6,75,NO
TIIGO 2019,BARRA ESTABILIZADORA CON 2 BIELETAS,Barra Estabilizadora CON 2 Bieletas,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-01 02:14:41,4c420c15db8e9425061ae569ab19974445983d2779afcda4e121a6ff6560a55c,75,NO
TIIGO 2019,BASE COMPRESOR DE AIRE,BASE Compresor DE AIRE,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,COMPRESOR mal escrito (debería ser COMPRESOR); AIRE mal escrito (debería ser AIRE),2025-11-01 02:14:41,e9438e54d105fb30bd9c1256978b7bb541fb8ce5b8b62810fc43e2620b7ed7e1,90,NO
TIIGO 2019,BASE DE ALTERNADOR,BASE DE Alternador,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-11-01 02:14:41,aed7a372fbd2f46fc691b35f4993b22d144c463f40ac8069a659fea8905a692b,90,NO
TIIGO 2019,BASE DE BATERÍA,BASE DE Batería,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-11-01 02:14:41,721ceaf4f8d577cbe56c73411133bc3a96390519b052c7237ff2420a1c1250c4,100,NO
