vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
TIIGO 2019,ALERÓN,Alerón,,DISPONIBLE,SANTIAGO,35700,30000,,,
TIIGO 2019,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,80000,75000,,,
TIIGO 2019,AMORTIGUADOR DE PORTALÓN LH,Amortiguador De Portalón,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,AMORTIGUADOR DE PORTALÓN RH,Amortiguador De Portalón,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,50000,45000,,,
TIIGO 2019,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,50000,45000,,,
TIIGO 2019,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,20000,15000,,CON TAPIZ MALO,
TIIGO 2019,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,25000,20000,,CON TAPIZ MALO,
TIIGO 2019,BANDEJA DELANTERA LH,Bandeja Delantera,Delantera Izquierda,NO DISPONIBLE,N/A,,,,,
TIIGO 2019,BANDEJA DELANTERA RH,Bandeja Delantera,Delantera Derecha,NO DISPONIBLE,N/A,,,,,
TIIGO 2019,BARRA DE TECHO LH,Barra De Techo,Izquierda,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BARRA DE TECHO RH,Barra De Techo,Derecha,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BARRA ESTABILIZADORA CON 2 BIELETAS,Barra Estabilizadora Con 2 Bieletas,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BASE COMPRESOR DE AIRE,Base Compresor De Aire,,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,BASE DE ALTERNADOR,Base De Alternador,,DISPONIBLE,SANTIAGO,25000,20000,,,
TIIGO 2019,BASE DE BATERÍA,Base De Batería,,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,95000,90000,,,
TIIGO 2019,BISAGRA DE CAPOT LH,Bisagra De Capot,Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,BISAGRA DE CAPOT RH,Bisagra De Capot,Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,BISAGRA PUERTA DELANTERA LH INFERIOR,Bisagra Puerta Delantera Inferior,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA DELANTERA LH SUPERIOR,Bisagra Puerta Delantera Superior,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA DELANTERA RH INFERIOR,Bisagra Puerta Delantera Inferior,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA DELANTERA RH SUPERIOR,Bisagra Puerta Delantera Superior,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA TRASERA LH INFERIOR,Bisagra Puerta Trasera Inferior,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA TRASERA LH SUPERIOR,Bisagra Puerta Trasera Superior,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA TRASERA RH INFERIOR,Bisagra Puerta Trasera Inferior,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISAGRA PUERTA TRASERA RH SUPERIOR,Bisagra Puerta Trasera Superior,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BISEL DE PORTALÓN (INCLUYE LOGO),Bisel De Portalón (Incluye Logo),,DISPONIBLE,SANTIAGO,35000,30000,,,
TIIGO 2019,BISEL DE SINÓPTICO,Bisel De Sinóptico,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BOBINA 1,Bobina 1,,VENDIDO,SANTIAGO,25000,20000,,,
TIIGO 2019,BOBINA 2,Bobina 2,,VENDIDO,SANTIAGO,25000,20000,,,
TIIGO 2019,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,25000,20000,,,
TIIGO 2019,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,25000,20000,,,
TIIGO 2019,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,75000,70000,,,
TIIGO 2019,BOMBA DE EMBRAGUE DE CAJA,Bomba De Embrague De Caja,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BOMBA DE FRENOS,Bomba De Frenos,,DISPONIBLE,SANTIAGO,35700,30000,,,
TIIGO 2019,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,25000,20000,,HAY 2,
TIIGO 2019,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,25000,20000,,HAY 2,
TIIGO 2019,BOMBA HIDRÁULICA,Bomba Hidráulica,,VENDIDO,SANTIAGO,55000,50000,,,
TIIGO 2019,BOMBA HIDRÁULICA,Bomba Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,BOTÓN DE ALZAVIDRIO DELANTERA RH,Botón De Alzavidrio Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,BOTÓN DE ALZAVIDRIO TRASERO LH,Botón De Alzavidrio Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,BOTÓN DE ALZAVIDRIO TRASERO RH,Botón De Alzavidrio Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,BOTONERA DE ALZAVIDRIO DELANTERA LH,Botonera De Alzavidrio Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
TIIGO 2019,BRAZO LIMPIAPARBRISAS TRASERO (PORTALÓN),Brazo Limpiaparbrisas Trasero (Portalón),Trasera,VENDIDO,SANTIAGO,15000,10000,,,
TIIGO 2019,BRAZO PLUMILLA DELANTERA LH,Brazo Plumilla Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,BRAZO PLUMILLA DELANTERA RH,Brazo Plumilla Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,BUJE 1,Buje 1,,DISPONIBLE,,15000,10000,,,Sin ubic
TIIGO 2019,BUJE 2,Buje 2,,DISPONIBLE,,15000,10000,,,Sin ubic
TIIGO 2019,CAJA,Caja,,VENDIDO,SANTIAGO,390000,350000,,,
TIIGO 2019,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CALIPER TRASERO LH ,Caliper Trasero ,Trasera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CÁMARA DE RETROCESO,Cámara De Retroceso,,VENDIDO,SANTIAGO,15000,15000,,,
TIIGO 2019,CANISTER,Canister,,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CAÑERÍA DE ANTICONGELANTE MOTOR,Cañería De Anticongelante Motor,,VENDIDO,SANTIAGO,,,,,
TIIGO 2019,CAÑERIA DE BOMBA DE EMBREAGUE,Cañeria De Bomba De Embreague,,VENDIDO,SANTIAGO,25000,20000,,,
TIIGO 2019,CAÑERÍA DE COMPRESOR AIRE,Cañería De Compresor Aire,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,CAÑERÍA HIDRÁULICA,Cañería Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
TIIGO 2019,CAÑERIAS DE AIRE ACONDICIONADO (2),Cañerias De Aire Acondicionado (2),,DISPONIBLE,SANTIAGO,53550,45000,,,
TIIGO 2019,CAPOT,Capot,,VENDIDO,SANTIAGO,155000,150000,,,
TIIGO 2019,CATALÍTICO ,Catalítico ,,NO DISPONIBLE,SANTIAGO,70000,60000,,,
TIIGO 2019,CHAPA CAPOT ,Chapa Capot ,,DISPONIBLE,SANTIAGO,20000,15000,,,
TIIGO 2019,CHAPA DE CONTACTO,Chapa De Contacto,,POR CONFIRMAR,SANTIAGO,50000,45000,,SOLA,
TIIGO 2019,CHAPA DE SEGURIDAD CAPOT,Chapa De Seguridad Capot,,DISPONIBLE,SANTIAGO,15000,10000,,,
TIIGO 2019,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,30000,25000,,,
TIIGO 2019,CHAPA PUERTA DELANTERA LH,Chapa Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
TIIGO 2019,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,35000,30000,,,
TIIGO 2019,CHAPA PUERTA TRASERA LH,Chapa Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,35000,30000,,,
