vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
TRACKER,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-11-05 02:14:41,fc2716959f13e115ef989fa8952562d37d2622747b7939be08d17a7c35d660fb,90,NO
TRACKER,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada,2025-11-05 02:14:41,e71f7ee76c57b008844e8abea7ede4b4ad7b377a3a3b4e1efd1dd5aabd9ab334,90,NO
TRACKER,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-11-05 02:14:41,cb13c30438938a5d0992acbb1d975cc3ba37034e978dba909dd9fd24bbb3d134,90,NO
TRACKER,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-11-05 02:14:41,58aa634b55098f2bd8cbe2142153ef8b6046bcef0017b606808f8465d55bad2d,90,NO
TRACKER,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-11-05 02:14:41,974304773f25714b9ce7021003664bb62b3eddff77237f546584d29758aa68cb,90,NO
TRACKER,AUXILIAR DE USB,Auxiliar DE USB,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,,2025-11-05 02:14:41,09ef5a8f301a5ee5ea700079289aeda6fda9c15206e3632609b2f2bb1c8c6040,100,NO
TRACKER,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-11-05 02:14:41,9abb440f37ee96e37fc052bdb8d43882a4bfa27ac60b7cae37f1e890b58608cf,90,NO
TRACKER,BANDEJA DELANTERA LH,Bandeja,Izquierda Delantera,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición LH detectada; Posición DELANTERA detectada,2025-11-05 02:14:41,9abb440f37ee96e37fc052bdb8d43882a4bfa27ac60b7cae37f1e890b58608cf,90,NO
TRACKER,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada,2025-11-05 02:14:41,7b9056470a005de836255db574bc3da35cb664d35b7980e7089f8e74fcab06dd,100,NO
TRACKER,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición RH detectada,2025-11-05 02:14:41,67775ade03ffe7b7c7b9b1f6d0f291b30d08ee099d7e8175896ed50a9cfccd02,100,NO
TRACKER,BASE DE TERMOSTATO,BASE DE Termostato,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-05 02:14:41,e0ea4a6b9dd02801efc43a2c87657f2d9fa8c2cc57c1b5153d02f8827e9def3d,75,NO
TRACKER,BOMBA DE ALTA,Bomba DE ALTA,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-05 02:14:41,48488966bbee95e4c356b33f5406ffbb46e5ea9f8e946b3de85eb0cb4697ca9e,65,SI
TRACKER,BOMBA DE BENCINA,Bomba DE Bencina,,VENDIDO,SANTIAGO,55000.0,50000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-10-06 02:14:41,9126d5a50f62ce3d92613088ba469ecc210aeb53ca13c36fd48a44b69bad9b6c,90,NO
TRACKER,CALIPER DELANTERO LH,Caliper,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-05 02:14:41,d9f1682a2244053838cf1d89cd7ac3e61ba06f3302299325e49779f36b8c97fa,75,NO
TRACKER,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-05 02:14:41,bd92b088807902f1f8a94bfb542eb72e425faf20a9f3577aa46344ba95d0503d,75,NO
TRACKER,CHAPA CAPOT,Chapa CAPÓ,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-11-05 02:14:41,28fdcd9ecac3437abd3900316b538aba6a311d6fe45efea9f9cee2b2f244268f,90,NO
TRACKER,COLUMNA DE DIRECCIÓN,Columna DE Dirección,,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,,2025-11-05 02:14:41,9f65c49ea7974c96e21ee7f28900799665e00a7e1bfd8a8902e22cc7453f236d,100,NO
