vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
UNO WAY 20149,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,80000.0,70000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-10-10 02:14:41,53d43370672a14c956ad2088722873da4406d0b9d1a2d9fd68f9150e31ba49a5,90,NO
UNO WAY 20149,AMORTIGUADOR DELANTERO LH O RH,Amortiguador O,Izquierda Derecha Delantera,DISPONIBLE,SANTIAGO,70000.0,60000.0,,CONFIRMAR CON FOTO,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición RH detectada; Posición DELANTERO detectada,2025-11-09 02:14:41,2a109d05ee515c7da9f7e11220a97f7161d1c73ca1a4ee730c8ba81b661a57d2,90,NO
UNO WAY 20149,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,VENDIDO,SANTIAGO,70000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-10-10 02:14:41,fcd4669360bf143aa5a29d2ca03aa880e1af8357c5d335b99062d00fb44f5eb0,90,NO
UNO WAY 20149,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-11-09 02:14:41,f5cb9b0911a90194ac10d79f7afdccdf66908490b95a43a5b61283e0707e7394,90,NO
UNO WAY 20149,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-11-09 02:14:41,fe59ba9b7d620fba9862d8457ec82aa6930cec9dbacd4b392b0c4ccc07015613,90,NO
UNO WAY 20149,AMORTIGUADORES PORTALÓN,Amortiguadores Portalón,,DISPONIBLE,,35000.0,30000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); AMORTIGUADORES mal escrito (debería ser AMORTIGUADORES); Sin ubicación especificada,2025-11-09 02:14:41,9e2b98505676996ed0e4f44ed533fd70b379f67100062e18aa0d8beef6dccbd9,80,NO
UNO WAY 20149,ANTENA,Antena,,DISPONIBLE,,15000.0,10000.0,,,Sin ubicación especificada,2025-11-09 02:14:41,c028b35ebfc1b424e7acba53fd3f94125b399df6fb5632283b9c5cf34d9ab740,90,NO
UNO WAY 20149,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,Posición LH detectada,2025-11-09 02:14:41,120389ceca8b96cb627b0c3e4d5fae95616d81fe406069e3354d175a8a509e78,100,NO
UNO WAY 20149,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,Posición RH detectada,2025-11-09 02:14:41,eda1806132ee2129c5df0e37d67174150ea5663960c30347c58d33f1f7e8aee5,100,NO
UNO WAY 20149,BISAGRA CAPOT LH,Bisagra CAPÓ,Izquierda,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición LH detectada,2025-11-09 02:14:41,88465c1de78aba47692cd9d6ca2110c6a21b6478c5853f608658b7caa21be2ac,90,NO
UNO WAY 20149,BISAGRA CAPOT RH,Bisagra CAPÓ,Derecha,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Posición RH detectada,2025-11-09 02:14:41,4b755a64e6042e9a8c880bea15a82d83597a5fd144c73a570021d1cebdfbcb3b,90,NO
UNO WAY 20149,BISEL RADIO,Bisel Radio,,DISPONIBLE,,35000.0,30000.0,,,Sin ubicación especificada,2025-11-09 02:14:41,1764a81551911d51a14c39f7f9bd80026ff0e1a87c618bc8c7587952c6419522,90,NO
UNO WAY 20149,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control DE AIRE,,DISPONIBLE,SANTIAGO,0,0,,ESCRITO ASÍ EN INVENTARIO,AIRE mal escrito (debería ser AIRE); CONTROL mal escrito (debería ser CONTROL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-09 02:14:41,df77d4317419bbfe0832b6a4c7514f45487682b42b5dbc5442fdca63cf5fdfb5,65,SI
UNO WAY 20149,BOBINA,Bobina,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,ES UNA COMPLETA,BOBINA mal escrito (debería ser BOBINA),2025-11-09 02:14:41,34cf930115c65738e23c475acbbfa9f59b11b9e1e90c09efcd15a36f53d61256,90,NO
UNO WAY 20149,BOMBA DE BENCINA,Bomba DE Bencina,,DISPONIBLE,SANTIAGO,95200.0,80000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-11-09 02:14:41,075d2d3eaa3e14003a8198fe9854a30ca69a1264cee2d636434e426b30c2125e,90,NO
UNO WAY 20149,BOMBA DE FRENO CON DEPÓSITO,Bomba DE Freno CON Depósito,,DISPONIBLE,,90000.0,85000.0,,,FRENO mal escrito (debería ser FRENO); BOMBA mal escrito (debería ser BOMBA); Sin ubicación especificada,2025-11-09 02:14:41,3ec4900cded3d9d2893cd35eb46bf8d2a001e7fac4461b59c9bfa5b56fed95b2,80,NO
UNO WAY 20149,BOMBA HIDRAULICA,Bomba Hidraulica,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-09 02:14:41,e970f28b4486a0615b1786133f8ef5ef3953789ac6e517e11ebf3caa9678ba5f,65,SI
UNO WAY 20149,BOTÓN DE ALZAVIDRIOS DELANTERA RH,Botón DE Alzavidrios,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-09 02:14:41,310f2074dc52a7eaf6c7ea02acc1f9fbc32794fd4e871919557a654e5b5035c0,75,NO
UNO WAY 20149,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera DE Alzavidrios,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-09 02:14:41,89b306005111c8ff353d7bc1e3c80d91586fd36a3be98ebc78c6b30d2d36023b,75,NO
UNO WAY 20149,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisass,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición LH detectada,2025-11-09 02:14:41,2d7e85313a922abae8492c1c7bcee724cbee65cf1608e0b5c4eacd5d43e86051,90,NO
