vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
UNO WAY 20149,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,80000,70000,,,
UNO WAY 20149,AMORTIGUADOR DELANTERO LH O RH,Amortiguador Delantero O Rh,Delantera Izquierda,DISPONIBLE,SANTIAGO,70000,60000,,CONFIRMAR CON FOTO,
UNO WAY 20149,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,VENDIDO,SANTIAGO,70000,60000,,,
UNO WAY 20149,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,AMORTIGUADORES PORTALÓN,Amortiguadores Portalón,,DISPONIBLE,,35000,30000,,,Sin ubic
UNO WAY 20149,ANTENA,Antena,,DISPONIBLE,,15000,10000,,,Sin ubic
UNO WAY 20149,BARRA TECHO LH,Barra Techo,Izquierda,DISPONIBLE,SANTIAGO,40000,35000,,,
UNO WAY 20149,BARRA TECHO RH,Barra Techo,Derecha,DISPONIBLE,SANTIAGO,40000,35000,,,
UNO WAY 20149,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,BISEL RADIO,Bisel Radio,,DISPONIBLE,,35000,30000,,,Sin ubic
UNO WAY 20149,BISEL RADIO Y CONTROL DE AIRE,Bisel Radio Y Control De Aire,,DISPONIBLE,SANTIAGO,,,,ESCRITO ASÍ EN INVENTARIO,
UNO WAY 20149,BOBINA ,Bobina ,,DISPONIBLE,SANTIAGO,60000,50000,,ES UNA COMPLETA,
UNO WAY 20149,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,95200,80000,,,
UNO WAY 20149,BOMBA DE FRENO CON DEPÓSITO,Bomba De Freno Con Depósito,,DISPONIBLE,,90000,85000,,,Sin ubic
UNO WAY 20149,BOMBA HIDRAULICA,Bomba Hidraulica,,DISPONIBLE,SANTIAGO,,,,,
UNO WAY 20149,BOTÓN DE ALZAVIDRIOS DELANTERA RH,Botón De Alzavidrios Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,
UNO WAY 20149,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,
UNO WAY 20149,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
UNO WAY 20149,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
UNO WAY 20149,BUTACA LH,Butaca,Izquierda,DISPONIBLE,,65000,60000,,"SE VENDIO EN 70,000",Sin ubic
UNO WAY 20149,CAJA,Caja,,VENDIDO,SANTIAGO,100000,100000,,,
UNO WAY 20149,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,36000,30000,,,
UNO WAY 20149,CAPOT,Capot,,VENDIDO,,,,,,Sin ubic
UNO WAY 20149,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,CHAPA DE SEGURIDAD CAPOT ,Chapa De Seguridad Capot ,,VENDIDO,SANTIAGO,20000,15000,,,
UNO WAY 20149,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,25000,20000,,,
UNO WAY 20149,COLUMNA DE DIRECCIÓN,Columna De Dirección,,DISPONIBLE,SANTIAGO,60000,50000,,,
UNO WAY 20149,COMPRESOR DE AIRE ACONDICIONADO,Compresor De Aire Acondicionado,,DISPONIBLE,SANTIAGO,90000,80000,,,
UNO WAY 20149,CREMALLERA DE ALZAVIDRIO DELANTERA LH,Cremallera De Alzavidrio Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,55000,50000,,,
UNO WAY 20149,CREMALLERA DE ALZAVIDRIO DELANTERA RH,Cremallera De Alzavidrio Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,55000,50000,,,
UNO WAY 20149,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera De Alzavidrio Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,40000,40000,,,
UNO WAY 20149,CREMALLERA DE DIRECCIÓN,Cremallera De Dirección,,DISPONIBLE,SANTIAGO,130000,120000,,,
UNO WAY 20149,CUARTO POLLO DELANTERO,Cuarto Pollo Delantero,Delantera,VENDIDO,SANTIAGO,85000,75000,,,
UNO WAY 20149,CUNA,Cuna,,DISPONIBLE,SANTIAGO,90000,80000,,,
UNO WAY 20149,DEPÓSITO DE LIMPIAPARABRISAS ,Depósito De Limpiaparabrisas ,,DISPONIBLE,SANTIAGO,30000,25000,,,
