vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
VERNA 2021,ABSORBEDOR DE IMPACTO,Absorbedor DE Impacto,,DISPONIBLE,,25000.0,20000.0,,REVISAR QUÉ LADO ES,Sin ubicación especificada,2025-11-13 02:14:41,e79a02194d9cf84413d733296db2838d9e6a5fe5769438011965aa3ff15243ba,90,NO
VERNA 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000.0,90000.0,,PRECIO ACTUALIZADO,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-11-13 02:14:41,e9980a32ef7cf91a4a071abbbf4dc83146ad10b792d8fdd82739321fb0ea819c,90,NO
VERNA 2021,AMORTIGUADOR DELANTERO LH,Amortiguador,Izquierda Delantera,NO DISPONIBLE,,80000.0,75000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-11-13 02:14:41,a98a28d89eba07d735d7a08ffaf8f9a3765e73b37215c4b723f26510aad556e2,80,NO
VERNA 2021,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,80000.0,75000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-11-13 02:14:41,c8726e4661032f162871fdc2b540b49f4e975177b5de7be0b58eaf8a00acef33,90,NO
VERNA 2021,AMORTIGUADOR TRASERO LH,Amortiguador,Izquierda Trasera,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición LH detectada; Posición TRASERO detectada,2025-11-13 02:14:41,c12e68de8e9047875fb05cb764363444965f1863dca0a79194438358e27c218b,90,NO
VERNA 2021,AMORTIGUADOR TRASERO RH,Amortiguador,Derecha Trasera,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición TRASERO detectada,2025-11-13 02:14:41,fed00f77317582c0d3e788c0ee971748211d20dc806079ab859939c13f124cef,90,NO
VERNA 2021,ASIENTO DELANTERO DERECHO,Asiento,Derecha Delantera,DISPONIBLE,,55000.0,50000.0,,,Posición DERECHO detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-11-13 02:14:41,449e13c7173562fb913852a597053db0936bf00f137848beb9d5a6dab927d45f,90,NO
VERNA 2021,ASIENTO DELANTERO IZQUIERDO,Asiento,Izquierda Delantera,DISPONIBLE,,75000.0,70000.0,,,Posición IZQUIERDO detectada; Posición DELANTERO detectada; Sin ubicación especificada,2025-11-13 02:14:41,64b516af9ede3e01d20fb7370e65a2c1c9f0dfd2cd696098bbca14c51ba53509,90,NO
VERNA 2021,ASIENTOS TRASEROS,Asientos,Trasera,DISPONIBLE,REQUINOA,50000.0,45000.0,,,Posición TRASEROS detectada,2025-11-13 02:14:41,8c55a176a1f4d9ae145d5710dee1261934db3e0a4e5123fc9b4b3ac1f7f6739a,100,NO
VERNA 2021,AUXILIAR USB,Auxiliar USB,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-11-13 02:14:41,331cfd2f2a54dcaa289dca9b9207fc6cf91ebccd0073979fa010834872fdfa3b,100,NO
