vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
VERNA 2021,ABSORBEDOR DE IMPACTO,Absorbedor De Impacto,,DISPONIBLE,,25000,20000,,REVISAR QUÉ LADO ES,Revisar; Sin ubic
VERNA 2021,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000,90000,,PRECIO ACTUALIZADO ,
VERNA 2021,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,NO DISPONIBLE,,80000,75000,,,Sin ubic
VERNA 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,80000,75000,,,
VERNA 2021,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,30000,25000,,,
VERNA 2021,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,30000,25000,,,
VERNA 2021,ASIENTO DELANTERO DERECHO,Asiento Delantero Derecho,Delantera,DISPONIBLE,,55000,50000,,,Sin ubic
VERNA 2021,ASIENTO DELANTERO IZQUIERDO,Asiento Delantero Izquierdo,Delantera,DISPONIBLE,,75000,70000,,,Sin ubic
VERNA 2021,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,REQUINOA,50000,45000,,,
VERNA 2021,AUXILIAR USB,Auxiliar Usb,,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,BANDEJA DELANTERA DERECHA,Bandeja Delantera Derecha,Delantera,DISPONIBLE,SANTIAGO,60000,50000,,,
VERNA 2021,BANDEJA DELANTERA IZQUIERDA,Bandeja Delantera Izquierda,Delantera,VENDIDO,SANTIAGO,60000,50000,,,
VERNA 2021,BIELETA 1,Bieleta 1,,DISPONIBLE,,10000,10000,,,Sin ubic
VERNA 2021,BISAGRAS PUERTA DELANTERA LH,Bisagras Puerta Delantera,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,SUPERIOR O INFERIOR,
VERNA 2021,BISAGRAS PUERTA DELANTERA RH,Bisagras Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,SUPERIOR O INFERIOR,
VERNA 2021,BISAGRAS PUERTA TRASERA LH,Bisagras Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,SUPERIOR O INFERIOR,
VERNA 2021,BISAGRAS PUERTA TRASERA RH,Bisagras Puerta Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,SUPERIOR O INFERIOR,
VERNA 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,BOMBA DE AGUA,Bomba De Agua,,DISPONIBLE,,20000,20000,,,Sin ubic
VERNA 2021,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,10000,90000,,,
VERNA 2021,BOMBA DE FRENO CON DEPÓSITO ,Bomba De Freno Con Depósito ,,DISPONIBLE,SANTIAGO,60000,50000,,,
VERNA 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,BOTÓN DE ALZAVIDRIOS TRASERO LH,Botón De Alzavidrios Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,BOTÓN DE ALZAVIDRIOS TRASERO RH,Botón De Alzavidrios Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,BOTONERA ALZAVIDRIOS DELANTERA LH,Botonera Alzavidrios Delantera,Delantera Izquierda,POR CONFIRMAR,,45000,40000,,,Sin ubic
VERNA 2021,BRAZO LIMPIAPARABRISAS LH,Brazo Limpiaparabrisas,Izquierda,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,BRAZO LIMPIAPARABRISAS RH,Brazo Limpiaparabrisas,Derecha,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,BRAZO LIMPIAPARABRISAS TRASERO (PORTALÓN),Brazo Limpiaparabrisas Trasero (Portalón),Trasera,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,CAJA DE CAMBIOS,Caja De Cambios,,VENDIDO,SANTIAGO,260000,260000,,PRECIO ACTUALIZADO,
VERNA 2021,CAJETÍN,Cajetín,,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,85000,80000,,,
VERNA 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,85000,80000,,,
VERNA 2021,CALIPER TRASERO LH,Caliper Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,75000,70000,,,
VERNA 2021,CALIPER TRASERO RH,Caliper Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,75000,70000,,,
VERNA 2021,CÁMARA DE RETROCESO,Cámara De Retroceso,,DISPONIBLE,,25000,20000,,,Sin ubic
VERNA 2021,CANERÍAS DE AIRE,Canerías De Aire,,DISPONIBLE,SANTIAGO,60000,50000,,,
VERNA 2021,CAPOT,Capot,,NO DISPONIBLE,,,,,,Sin ubic
VERNA 2021,CATALÍTICO,Catalítico,,VENDIDO,SANTIAGO,55000,50000,,,
VERNA 2021,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,35000,30000,,,
VERNA 2021,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,SANTIAGO,35000,30000,,,
VERNA 2021,CHAPA PUERTA DELANTERA RH,Chapa Puerta Delantera,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
VERNA 2021,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,35000,30000,,REVISAR SI ESTA BUENA,Revisar
VERNA 2021,CINTURÓN DELANTERO RH,Cinturón Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,REVISAR SI ESTÁ BLOQUEADO,Revisar
VERNA 2021,COLUMNA DE DIRECCION ELECTRONICA,Columna De Direccion Electronica,,VENDIDO,SANTIAGO,150000,140000,,,
VERNA 2021,COLUMNA DE DIRECCIÓN INFERIOR,Columna De Dirección Inferior,,VENDIDO,SANTIAGO,,,,,
VERNA 2021,COLUMNA DE DIRECCIÓN SUPERIOR,Columna De Dirección Superior,,NO DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,COMPRESOR AIRE,Compresor Aire,,DISPONIBLE,SANTIAGO,90000,80000,,,
VERNA 2021,CORTE COLA,Corte Cola,,VENDIDO,SANTIAGO,160000,150000,,,
VERNA 2021,CREMALLERA ALZAVIDRIO TRASERA RH,Cremallera Alzavidrio Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
VERNA 2021,CREMALLERA DE ALZAVIDRIO DELANTERA LH ,Cremallera De Alzavidrio Delantera ,Delantera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,,
VERNA 2021,CREMALLERA DE ALZAVIDRIO TRASERA LH ,Cremallera De Alzavidrio Trasera ,Trasera Izquierda,DISPONIBLE,SANTIAGO,45000,40000,,,
VERNA 2021,CREMALLERA DE DIRECCIÓN ,Cremallera De Dirección ,,DISPONIBLE,SANTIAGO,45000,40000,,,
VERNA 2021,CUBRE RUEDA DE REPUESTO,Cubre Rueda De Repuesto,,DISPONIBLE,REQUINOA,30000,25000,,,
VERNA 2021,CUERPO DE ACELERACION ,Cuerpo De Aceleracion ,,VENDIDO,SANTIAGO,150000,140000,,,
VERNA 2021,CUNA,Cuna,,VENDIDO,SANTIAGO,83300,70000,,,
VERNA 2021,DEPÓSITO DE LIMPIAPARABRISAS,Depósito De Limpiaparabrisas,,NO DISPONIBLE,SANTIAGO,,,,MALO,
VERNA 2021,DISCO DE FRENO DELANTERO LH,Disco De Freno Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,DISCO DE FRENO DELANTERO RH,Disco De Freno Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
VERNA 2021,DISCO DE FRENO TRASERO LH,Disco De Freno Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,20000,15000,,,
VERNA 2021,DISCO DE FRENO TRASERO RH,Disco De Freno Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,20000,15000,,,
VERNA 2021,ECU,Ecu,,DISPONIBLE,SANTIAGO,160000,150000,,,
VERNA 2021,EJE PALIER DERECHO,Eje Palier Derecho,,VENDIDO,,100000,90000,,,Sin ubic
VERNA 2021,EJE PALIER IZQUIERDO,Eje Palier Izquierdo,,DISPONIBLE,SANTIAGO,90000,80000,,,
VERNA 2021,EJE TRASERO SOLO ,Eje Trasero Solo ,Trasera,VENDIDO,,160000,150000,,,Sin ubic
VERNA 2021,ELECTROVENTILADOR,Electroventilador,,NO DISPONIBLE,N/A,,,,,
VERNA 2021,ENCENDEDOR DE CIGARROS ,Encendedor De Cigarros ,,DISPONIBLE,SANTIAGO,15000,10000,,,
VERNA 2021,ESPEJO CENTRAL,Espejo Central,Central,DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,ESPEJO DERECHO,Espejo Derecho,,VENDIDO,SANTIAGO,55000,50000,,,
VERNA 2021,ESPEJO IZQUIERDO,Espejo Izquierdo,,NO DISPONIBLE,SANTIAGO,,,,,
VERNA 2021,ESPIRAL TRASERO LH,Espiral Trasero,Trasera Izquierda,DISPONIBLE,,25000,20000,,,Sin ubic
VERNA 2021,ESPIRAL TRASERO RH,Espiral Trasero,Trasera Derecha,DISPONIBLE,,25000,20000,,,Sin ubic
