vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
VERSA 2022,ALFOMBRA CAPOT,Alfombra CAPÓ,,VENDIDO,SANTIAGO,0,0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-18 02:14:41,17980f601f7aa3e195bad19d4dc82cb341b010d8d1f5185861232ef189ba74df,75,NO
VERSA 2022,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000.0,90000.0,,,ALTERNADOR mal escrito (debería ser ALTERNADOR),2025-11-17 02:14:41,ec8b5a6e23f528c465012f31656746018da30b0a1ec7aa6d1db2edc4dc023ee0,90,NO
VERSA 2022,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador,Izquierda Delantera,VENDIDO,SANTIAGO,65000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición IZQUIERDO detectada; Posición DELANTERO detectada,2025-10-18 02:14:41,e85db9a4b948a3cdf8fa5e6e1691346fcaa6e8910b7c21c6626f54dd453841e4,90,NO
VERSA 2022,AMORTIGUADOR DELNATERO DERECHO,Amortiguador Delnatero,Derecha,VENDIDO,SANTIAGO,65000.0,60000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición DERECHO detectada,2025-10-18 02:14:41,79536af28eefb812791b4f5c9f5fbb599a9e3582eb66e206e4cd829c7c6991f0,90,NO
VERSA 2022,AMORTIGUDOR TRASERO LH,Amortigudor,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-17 02:14:41,63fa4723b71ccffe2171decb60aef3215dab0f6f0eecacca4d5f1897a93bb5bf,75,NO
VERSA 2022,AMORTIGUDOR TRASERO RH,Amortigudor,Derecha Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-17 02:14:41,19ade336d5ceeebe4036e017fe619f147866d041e099060f4427972557da2624,75,NO
VERSA 2022,ASIENTO DELANTERO LH,Asiento,Izquierda Delantera,VENDIDO,SANTIAGO,80000.0,70000.0,,,Posición LH detectada; Posición DELANTERO detectada,2025-10-18 02:14:41,a4bfc1b8a49a551be37fb9e016e4af1bc4c0125325a465546911560113d0fb66,100,NO
VERSA 2022,ASIENTO DELANTERO RH,Asiento,Derecha Delantera,VENDIDO,SANTIAGO,80000.0,70000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-10-18 02:14:41,1c1a55bff79437091b9f19023e7b6f27e524e18cf25cd03e6b32e474d6b50794,100,NO
VERSA 2022,AUXILIAR USB,Auxiliar USB,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-11-17 02:14:41,94eb1b877a964d1f1c9d8c833e8a9ee5ec8f86b7b94620cb963eec535957e054,100,NO
VERSA 2022,BANDEJA DERECHA,Bandeja,Derecha,VENDIDO,SANTIAGO,45000.0,40000.0,,,BANDEJA mal escrito (debería ser BANDEJA); Posición DERECHA detectada,2025-10-18 02:14:41,b2e169208f8082a8fc8689e804c9559df295ba67418a194554e03bd60bb8f9cb,90,NO
